"Genus"	"Phylum"	"Family"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"rab.all"	"rab.win.10"	"rab.win.5"	"diff.btw"	"diff.win"	"effect"	"overlap"
"Achromobacter"	"Proteobacteria"	"Alcaligenaceae"	0.728633337798814	0.893749414960608	0.691191620879121	0.891270083051037	-1.44429347600935	-1.25562860340231	-1.95132005595081	-0.582897250787907	7.35136833146414	-0.0857383658840994	0.464843794925346
"Acidovorax"	"Proteobacteria"	"Comamonadaceae"	0.51238366418016	0.814542832024627	0.230769230769231	0.688170732634315	11.0480385159845	10.4168877981876	13.7077431009747	2.25637271450142	3.14385649877395	0.579390015892097	0.272373903130409
"Acinetobacter"	"Proteobacteria"	"Moraxellaceae"	0.143327068778478	0.623976408194169	0.0884958791208791	0.512883132475959	5.0851777672858	5.58567471389528	2.57237912632956	-4.28501708011719	5.18450996663045	-0.762625746511542	0.203125583031286
"Actinomyces"	"Actinobacteria"	"Actinomycetaceae"	0.502776940185608	0.782412693497758	0.530812156593407	0.798557434277754	-2.21703384289612	-2.08891510085344	-2.61049443030453	-0.697389924884505	4.3747405186131	-0.130942430775066	0.431906702321737
"Aerococcus"	"Firmicutes"	"Aerococcaceae"	0.495489697829259	0.787049986132651	0.547682005494506	0.803513636379838	-2.28846052210907	-2.49301683627606	-1.65511842063734	1.24777641635069	5.64376800530488	0.219222009692912	0.408560430643848
"Aggregatibacter"	"Proteobacteria"	"Pasteurellaceae"	0.517415391339651	0.786688701728248	0.542084478021978	0.801625292720125	-2.47576980668967	-2.27031206317669	-2.8707609997581	-0.888470526365627	4.41390292225109	-0.19841576897625	0.414062612600893
"Agrobacterium"	"Proteobacteria"	"Rhizobiaceae"	0.446794369464077	0.792992456012881	0.425858516483516	0.793299364655096	5.51974317280523	8.42978676213233	3.92614831411337	-3.9863849316988	8.617074714488	-0.414505176224839	0.32684849725881
"Alkaliphilus"	"Firmicutes"	"Clostridiaceae"	0.474170572625595	0.758955540597189	0.532735233516483	0.799896649466387	-2.20515895866273	-2.35004864194675	-1.61956118324337	1.04803177417101	4.95675571347116	0.190758430175637	0.40625012355222
"Anaerococcus"	"Firmicutes"	"[Tissierellaceae]"	0.335090217252912	0.686187916358279	0.338890796703297	0.69393322849983	-1.66427169594413	-2.18120200932388	0.480919051061236	2.45849229677359	5.15001436849865	0.480935007379944	0.289062826291343
"Ancylobacter"	"Proteobacteria"	"Xanthobacteraceae"	0.569596095234881	0.829309280838092	0.589663461538461	0.847208810649456	-2.13055316271947	-2.18845463586499	-1.94781579797667	0.336373130001649	5.2528691237724	0.0642690836617328	0.457031305043806
"Aquicella"	"Proteobacteria"	"Coxiellaceae"	0.447529983654079	0.749059059767293	0.463676167582418	0.770146106282662	-1.73112514475508	-2.01805039844318	-0.166377370435404	2.03818601858693	4.72549007397834	0.347484388342116	0.338521628236864
"Arthrobacter"	"Actinobacteria"	"Micrococcaceae"	0.629280486405811	0.853653901377395	0.616638049450549	0.861605992945741	-1.47791545200336	-1.44248623048122	-1.62882293276249	-0.341740343929385	6.74154313607896	-0.0470854378409194	0.478599248840434
"Asticcacaulis"	"Proteobacteria"	"Caulobacteraceae"	0.0209897854185949	0.3157178210918	0.00155391483516484	0.0482353193681319	12.9481852530635	13.1880787579271	6.8819112207966	-6.28492472254856	3.20375891023162	-2.11474859579952	0.0117320958078942
"Azospirillum"	"Proteobacteria"	"Rhodospirillaceae"	0.0539307739800968	0.43894463038759	0.473154189560439	0.814630545716642	3.5788939903568	2.91022583246438	3.72296656753626	2.38120749059334	4.41492534378998	0.52480441521692	0.354085804348295
"Bacillus"	"Firmicutes"	"Bacillaceae"	0.727503967726678	0.890960644572102	0.764852335164835	0.92234726885177	8.06403985328438	8.07840278562771	8.03761616936626	-0.0691516192023269	0.901143429443681	-0.0617109422272134	0.466926111951107
"Balneimonas"	"Proteobacteria"	"Bradyrhizobiaceae"	0.499941188780468	0.769605522315644	0.569840315934066	0.818470629355013	-2.18308044813175	-2.28131463202348	-1.77376380968373	0.401661466162682	4.31744825255946	0.0926194552699079	0.459144020765433
"Bosea"	"Proteobacteria"	"Bradyrhizobiaceae"	0.467288774339042	0.791764662727678	0.193440934065934	0.650357936736212	5.79089152157666	6.07930278855465	4.86853152974495	-1.32533141860659	2.28132978672329	-0.441586514754936	0.280155985870794
"Bradyrhizobium"	"Proteobacteria"	"Bradyrhizobiaceae"	0.488120999956102	0.810758680541876	0.579773351648352	0.854071029833321	7.55935841721838	7.44036968561335	7.90756298299112	0.304836535103612	1.421053686691	0.236584664608309	0.394531390354669
"Burkholderia"	"Proteobacteria"	"Burkholderiaceae"	0.13225479457802	0.577549902957453	0.163899381868132	0.591735654534176	7.29170152190912	7.04167021797599	7.6672402911294	0.770843538211617	1.31831044305764	0.575768386725187	0.253906662959858
