"Genus"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"rab.all"	"rab.win.10"	"rab.win.5"	"diff.btw"	"diff.win"	"effect"	"overlap"
"Acetobacter"	0.670099731628299	0.828885487083659	0.809895833333333	0.893152980622874	-4.89310842082004	-5.30138775749732	-2.92618444742378	1.39242070026089	4.87353928275138	0.288714966605059	0.34375088071336
"Achromobacter"	0.664644665045496	0.828186933356821	0.799479166666667	0.89012896474254	-5.0304676283563	-5.22724209060869	-3.08279594577591	1.98417357357544	5.06735479317079	0.336088524143746	0.367188226780927
"Acidovorax"	0.312304280758057	0.607777640733907	0.333333333333333	0.557908760276326	3.41779202551836	6.89445309382864	2.22424536050411	-4.68911021007855	1.54707747108172	-1.55375516520342	0.000547999460257121
"Acinetobacter"	0.302789081069901	0.609974130280317	0.333333333333333	0.557908760276326	2.55438926869189	4.43337128079215	-1.18963952258543	-5.61415675814245	5.20688805327157	-1.693590493645	0.000547999460257121
"Agrobacterium"	0.651985180082474	0.822641290392043	0.78125	0.878740361471637	-5.27232328520078	-5.69461925981501	-3.68635343763611	1.31410102167631	4.51455552493276	0.239981385151837	0.364341818575481
"Ancylobacter"	0.609759544109063	0.79778854747264	0.734375	0.851632891054398	-4.87559481058025	-5.25087323711837	-4.2117203532205	0.578437356463592	4.67585055958136	0.15239219847789	0.437500322930131
"Aquicella"	0.0858947961120649	0.458857336187194	0.333333333333333	0.557908760276326	4.78095823042369	5.55694541603439	4.25725395263514	-1.35482068751942	0.426248537704951	-3.08607774720635	0.000547999460257121
"Arcobacter"	0.147208754804502	0.500954880687019	0.333333333333333	0.557908760276326	-0.901598432847995	-5.21643690708605	-0.104472207106161	5.14681633716025	2.35662392695296	2.16112824191821	0.000547999460257121
"Arthrobacter"	0.798061128760379	0.901223313016599	0.934895833333333	0.968550756496787	-0.852174152140541	-0.852174152140541	-1.27733115753117	0.783630764002757	6.80906394042557	0.0811884487304749	0.453125240527371
"Asticcacaulis"	0.329466724446182	0.617023469959916	0.484375	0.664729264157439	-5.58800498629787	-1.56255049496215	-7.44586167460373	-5.52462984208584	4.31164869773616	-1.09913494695696	0.139538641846235
"Azospirillum"	0.319605665044789	0.607993662314652	0.4765625	0.662757841010593	-5.61985806443408	-2.32121768425867	-7.48620741988032	-5.0286615285402	3.90114303203898	-1.11572736400353	0.0937560784418437
"Bacillus"	0.119053276278581	0.486391805311172	0.333333333333333	0.557908760276326	1.08771421126958	1.99727733557317	0.0612581113224371	-1.97382401010954	0.655103414424889	-3.03692430829825	0.000547999460257121
"Bacteroides"	0.50244604687513	0.725688962962381	0.640625	0.783249022025688	4.05309970816227	4.1522315149717	3.9469157430927	-0.247570184080496	0.373870872999652	-0.619450820398431	0.234376882168507
"Bdellovibrio"	0.263786662415957	0.584789343447222	0.333333333333333	0.557908760276326	2.86900937249133	-0.537670457826614	4.45966752889715	5.32289888672116	3.32098660144262	2.01498096993465	0.000547999460257121
"Bifidobacterium"	0.16638334012444	0.524047416001836	0.348958333333333	0.570618087915518	0.570934680062051	-0.419982685086171	1.31225356770086	1.63875729003353	0.810178741222656	2.11105444181805	0.0234638632116018
"Blautia"	0.699874124934023	0.850709552080686	0.747395833333333	0.88016819354322	-0.780931223754542	-0.0781040903470389	-1.82501520062544	-1.49153923828649	6.22819121468714	-0.270176293568196	0.320313549445968
"Bosea"	0.0518080791023816	0.442737453429471	0.333333333333333	0.557908760276326	3.22618172623191	5.70002163191703	0.576162465434876	-5.30965646613044	0.934739343274856	-5.61082708528199	0.000547999460257121
"Bradyrhizobium"	0.187396108274733	0.525070757408085	0.3515625	0.573593501308446	4.13286550306613	4.62718484302841	3.73161543455187	-0.863253996677607	0.409483511778948	-1.84013291033318	0.0234638632116018
"Candidatus Amoebophilus"	0.32752070484481	0.61912380703101	0.481770833333333	0.668843764844832	-3.68406495364438	-5.36080687865228	-3.03171197176788	2.27156606602802	2.62229776866165	0.748858565217148	0.13281655334062
"Candidatus Protochlamydia"	0.246216772660049	0.576174643700787	0.333333333333333	0.557908760276326	3.49510170999674	4.73338123366343	3.02409723142859	-1.68804825990556	0.98365269244306	-1.8329652077292	0.000547999460257121
"Candidatus Rhabdochlamydia"	0.123497100048842	0.480832621552682	0.3359375	0.560417765772464	2.13580159409972	2.86676250678303	1.74419397483328	-1.15454581913302	0.428255087907558	-2.73407370844143	0.000547999460257121
"Caulobacter"	0.407340788159112	0.675677308831132	0.544270833333333	0.711627152915718	-5.60106817786427	-0.200296399061018	-7.30216760806584	-6.45110014051796	5.79871808069009	-0.961881145967121	0.155042055993885
"CM44"	0.636373802304334	0.809786219964414	0.7734375	0.875808889107644	-4.76686285611691	-5.24279451403203	-4.08721026088314	0.585205332352541	4.83260539721387	0.0757077344003105	0.457364556151575
"Collinsella"	0.467764321653128	0.720098626742296	0.572916666666667	0.73715531113472	-1.09909184487623	-1.85285302657008	-0.701984546992072	1.2570675932143	2.26915425643587	0.533819849870014	0.178297322477122
"Comamonas"	0.678601344286247	0.837300543811107	0.856770833333333	0.927875598915499	-4.88517487545631	-5.00109468871421	-1.07035468071459	4.34271707633582	8.13699511657625	0.440282880856797	0.382813130675644
"Coraliomargarita"	0.0939447623580536	0.462580329838619	0.333333333333333	0.557908760276326	-0.799139770249975	0.354423155310802	-1.98799551560893	-2.32527326502463	0.763580277064764	-3.02298664963452	0.000547999460257121
"Crenothrix"	0.23329474839529	0.560983367313563	0.375	0.594936001751292	-2.54434525798055	-5.15468549645836	-1.19241543800064	3.95530798228097	2.90005616228289	1.24054163776013	0.0542744309441129
"Cytophaga"	0.750680970460722	0.876996047095523	0.755208333333333	0.883948191324715	0.319970287709481	1.11010957662747	-1.04832235151699	-1.81937699576819	7.82589632692522	-0.219280030876267	0.328125991312833
"Dechloromonas"	0.862752505413933	0.933043000854013	0.984375	0.992430741217771	4.18624775447881	4.22995251221458	4.18624775447881	0.0410569081782475	0.62243812828505	0.0659898091352046	0.496124050418246
"Desulfomonile"	0.328950671974475	0.619625677426226	0.484375	0.671622745646615	-5.35778240336803	-2.78650661983415	-7.13779163636552	-4.21030524906951	4.06439512065681	-1.04388290340012	0.125004358959289
"Devosia"	0.345064584856657	0.623253733649513	0.526041666666667	0.696572008722148	4.56072578164108	4.73756226171832	4.44473162792996	-0.293257108277472	0.232236248643559	-1.15223915455496	0.155042055993885
"Dialister"	0.677938360005826	0.832308968128401	0.815104166666667	0.899810471002116	-4.49516613174655	-4.77536725062023	-2.53855255524213	1.61284362796029	4.7576635631117	0.270003279097615	0.379845599803593
"Dokdonella"	0.707757132452533	0.852703984587674	0.765625	0.886541905899893	1.39842678068814	1.25445348813363	1.63082983531585	0.34605303127417	0.989193320160933	0.351283287929246	0.348838042407879
"Eggerthella"	0.678397354888729	0.831342979730649	0.8125	0.899326469060625	-4.87913652600403	-5.02385480015579	-4.31744433608479	0.486513978823996	4.15016997303029	0.0977984422220862	0.403101279361307
"Emticicia"	0.35513478513938	0.639200150426785	0.481770833333333	0.666359564118601	-5.39595705907405	0.782879325469037	-7.43448903551477	-7.29262741193276	6.35996158639392	-1.03407171680849	0.147290337182451
"[Eubacterium]"	0.2793648769136	0.588044431836924	0.411458333333333	0.616871429504862	-3.00395285913882	-5.12699122940136	-2.08778931138274	2.99151621609748	2.8963384595924	1.01665107520701	0.0852779721736082
"Fimbriimonas"	0.510529708306155	0.748898529535347	0.690104166666667	0.85339788744927	1.95507704352984	0.476183159831838	2.15946788991742	1.8073138611562	4.7709190896794	0.540383719369466	0.265626527726068
"Flavihumibacter"	0.192490503328205	0.534222271790618	0.338541666666667	0.561380982498548	-1.22756237625846	-5.41280974695732	-0.518089939453603	4.83477614807882	2.39702448419144	2.06202083909063	0.00782930484115282
"Flavobacterium"	0.0526403620291746	0.431577815327952	0.333333333333333	0.557908760276326	3.98133086040179	4.65769931649093	3.47905524299096	-1.18645986011069	0.255515039465569	-4.48082553222987	0.000547999460257121
"Flectobacillus"	0.650078654882469	0.814218962458473	0.763020833333333	0.865267905865412	-4.69181259717223	-5.13228473878381	-3.69414146206986	0.628264452226996	4.49683877682496	0.123958538952838	0.44531278151662
"Fusobacterium"	0.574159765160305	0.772520377925883	0.677083333333333	0.809218420061632	-4.68573629157846	-5.23472404405318	-4.41454950457639	0.355227706379647	4.50086013568768	0.0465058547234769	0.460937699897913
"Gemmata"	0.119737001647585	0.484398695421953	0.333333333333333	0.557908760276326	4.73590799786436	5.39029380271677	3.96697072187148	-1.44553284366018	0.60700813482986	-2.51510003059289	0.000547999460257121
"Gemmatimonas"	0.0809058623589959	0.455922797887134	0.333333333333333	0.557908760276326	3.62079268310381	6.02461987259184	1.84738598811751	-3.97265673156013	0.447185697756213	-8.96629549199413	0.000547999460257121
"Geothrix"	0.784574917000336	0.892562171872034	0.984375	0.992531735297877	-1.71128347853505	-1.30131174700959	-1.71399480065319	-0.302271792001878	3.81622203510804	-0.0670266577576776	0.484375079548842
"Gordonia"	0.312563817873011	0.619460037721852	0.411458333333333	0.621707472298521	6.34971335153275	6.12680502345603	6.84398137648574	0.707194258669291	0.530418541378545	1.23490018249736	0.0697757370552277
"Hyphomicrobium"	0.0777607699470485	0.448263287655119	0.333333333333333	0.557908760276326	2.63950892114234	1.50542880500038	3.05763345644851	1.56840202465846	0.397397190331011	3.82627890721585	0.000547999460257121
"Janthinobacterium"	0.298888376849527	0.602577294978748	0.442708333333333	0.652024992447311	8.56088606189977	9.53224199486419	7.90793757306604	-1.46810758712838	1.36487772862923	-1.16229986293734	0.0930292930848227
"Kaistia"	0.0893237512772607	0.462082582389185	0.333333333333333	0.557908760276326	3.02256075182537	1.72842649742382	3.59076955463962	1.87426478222594	0.529552047647992	3.60424215792398	0.000547999460257121
"Kaistobacter"	0.686261795624304	0.835814555809703	0.822916666666667	0.900264801542737	-4.64606030953358	-5.01001299821713	-1.98315478166678	2.00394003690975	5.75937548241956	0.373881599501847	0.375000678151136
"Lachnospira"	0.656681547580073	0.819122802448376	0.794270833333333	0.880140927643858	-4.80356834095995	-5.20930917460583	-2.4881766931361	2.26140242563165	5.51509996727331	0.329715005901513	0.348838042407879
"Lactobacillus"	0.621097932976251	0.800119344928008	0.776041666666667	0.8752378766699	-4.83550493517742	-5.16151068290754	-3.99621194894033	0.559465482573128	3.75204775754772	0.123371973858475	0.426356966101453
"Legionella"	0.797895423856943	0.901322019522946	0.973958333333333	0.986569018134911	1.90818875680259	2.2508720595067	1.90818875680259	-0.468288882670468	1.93805392354372	-0.370237491879693	0.484375079548842
"Leptolyngbya"	0.224842930536775	0.559073708059744	0.333333333333333	0.557908760276326	2.46653214797001	3.35928647515754	1.11623583236069	-2.25445779086235	1.36651004947437	-1.79090902644525	0.000547999460257121
"Leptothrix"	0.582613243060068	0.792090532838214	0.71875	0.865011102693014	4.61033684837669	4.73517261546013	3.89572785444698	-0.693149658337335	1.29606345306325	-0.681190693866549	0.333334272252202
"Luteimonas"	0.646572953305843	0.814717591552221	0.778645833333333	0.877916153977045	-4.82240588826476	-5.41723252100302	-1.9913555129492	1.98898829581337	5.50240973028378	0.418174243134279	0.341086156513212
"Mesorhizobium"	0.0857818014747476	0.463746541397297	0.333333333333333	0.557908760276326	2.54622429949212	3.5152867085116	1.58858134064301	-1.86461916797793	0.549928621163032	-3.274317581151	0.000547999460257121
"Methylibium"	0.113058573427895	0.482825701672232	0.333333333333333	0.557908760276326	6.59548150561927	8.04591993523313	5.58790290907409	-2.32488988170922	0.801019734794796	-2.98623171461849	0.000547999460257121
"Methyloversatilis"	0.151723914197877	0.495095701569692	0.333333333333333	0.557908760276326	-1.29924106948507	-4.8821574158715	-0.355657416541982	4.50125905135434	2.18018606335983	2.01015819323437	0.000547999460257121
"Mycobacterium"	0.190662337887349	0.532574699618823	0.333333333333333	0.557908760276326	5.96564835431773	5.30351286706298	6.27538152076403	0.986465501658791	0.436776026927786	2.2195378911137	0.000547999460257121
"Mycoplana"	0.336665658618207	0.620621964628163	0.338541666666667	0.562070686313252	5.72261550583548	6.90215671310298	5.36697136162581	-1.5262449829949	1.38876435847224	-1.37653378293694	0.0155432426385351
"Nevskia"	0.182264148564966	0.524281609346055	0.348958333333333	0.570941498719886	-1.95880317836171	-5.41095161460403	-0.833357151448542	4.54018664474763	2.83260707621886	1.90963231695878	0.0155432426385351
"Nitrospira"	0.705277513531366	0.856773460021326	0.7109375	0.862134890010587	6.14814979520333	6.49195995321961	5.91095367732583	-0.608393790263979	1.59220364475588	-0.423172394018259	0.302326754637769
"Novosphingobium"	0.0254871317754413	0.424798662476957	0.333333333333333	0.557908760276326	7.06207385478497	9.59129512433658	4.57858582023132	-4.95377163046739	0.909322426215667	-5.48841193816007	0.000547999460257121
"Odoribacter"	0.646690799992083	0.817036329220423	0.7734375	0.876864570786385	-5.11878944528254	-5.33254068973574	-4.10538853564177	0.67894039711557	4.8658699839963	0.152905283304529	0.437500322930131
"Opitutus"	0.517994516771717	0.74379133908395	0.6953125	0.8389563299417	4.76761684928763	4.48755909202838	4.88287675578838	0.446967536220702	0.718211529814049	0.703845055226827	0.263567416398401
"Paludibacter"	0.211548355585302	0.544316784274907	0.3515625	0.572407921809384	-2.20066410627824	-5.19317526638911	-1.50228860573145	3.76723880549984	2.39907591883456	1.57242617196972	0.023281977911024
"Parabacteroides"	0.176016203397363	0.519730601530642	0.333333333333333	0.557908760276326	-1.48681781306123	-5.31645322952756	-0.262656895043166	5.13513949727177	2.74685729698616	1.72979457640059	0.000547999460257121
"Paracoccus"	0.0827879759064724	0.455955897494416	0.333333333333333	0.557908760276326	3.29415329894866	4.06450396224654	2.89549004576677	-1.15511282698159	0.316997544955759	-3.54161925476403	0.000547999460257121
"Parvibaculum"	0.149107615291091	0.50751774777934	0.338541666666667	0.562608770315709	6.12584544709659	5.34578181201893	6.5487970016978	1.19288238127396	0.57973808928463	2.11065841642471	0.000547999460257121
"Pedobacter"	0.358135030422798	0.643958552290362	0.34375	0.567064837040146	0.728134026723464	-0.988238671584296	1.12207477078209	2.12293682559784	2.86146153482292	1.1695241359596	0.00789046640005469
"Pedomicrobium"	0.663882567946282	0.82996519733426	0.7421875	0.878785555705653	-2.31480272544622	-1.42898393743465	-3.27676796059439	-2.35820394057494	6.11671758581753	-0.387788228067503	0.296876237317214
"Perlucidibaca"	0.257038118992948	0.584382775260787	0.333333333333333	0.557908760276326	5.83704846441777	3.39087143712401	7.18496162481624	3.93245351471233	3.23190183783345	1.52014332593964	0.000547999460257121
"Phaeospirillum"	0.77306651288848	0.885921339950583	0.8125	0.910374759755862	3.37373518293376	3.36655128709375	3.46433876808719	0.129406171212369	0.711540074643326	0.163873836837469	0.414062950395739
"Phascolarctobacterium"	0.670818026265047	0.830589482546638	0.8125	0.895169431275442	-5.24363913775177	-5.54576984155191	-3.88949966127661	1.08910785510253	5.08159198859116	0.217110629291315	0.403101279361307
"Phenylobacterium"	0.0384898524742259	0.413984937396296	0.333333333333333	0.557908760276326	4.6178947136031	5.86097339370642	3.42380491159708	-2.48045289469739	0.369961774450958	-6.81228029460496	0.000547999460257121
"Phormidium"	0.874747706156471	0.942012235127144	1	1	4.79786493215168	4.5195655979281	4.79786493215168	0.61217614517053	1.8908955602177	0.0838963344428604	0.5
"Pirellula"	0.711244216441253	0.851697812061001	0.760416666666667	0.883118081876808	-2.21046276933534	-2.05457418324697	-3.01086612882859	-1.35701145533442	5.20622838936166	-0.248240004165694	0.348838042407879
"Planctomyces"	0.0769404688902312	0.459323674853509	0.333333333333333	0.557908760276326	5.1076087964849	5.76290376664048	4.33587327621535	-1.4382794769866	0.377189059628806	-3.91082992379395	0.000547999460257121
"Polaromonas"	0.298432153456399	0.601106807118357	0.333333333333333	0.557908760276326	8.65769724714942	9.92353653651511	8.36805911327402	-1.52064080340423	0.532289841693442	-1.83741170932593	0.000547999460257121
"Polynucleobacter"	0.960841341602168	0.977726657059206	1	1	7.02213384187767	7.01858903429082	7.02213384187767	0.105508614760415	1.14680758797206	-0.00497416942147144	0.5
"Prevotella"	0.373646816723876	0.656507576611802	0.489583333333333	0.681360515981499	2.65560019559684	2.42051893269451	3.17883193702521	0.720175466758976	0.636065702045645	1.19327690205479	0.131786974150592
"[Prevotella]"	0.272718420138512	0.582640306892852	0.419270833333333	0.618688996111467	-2.63398109219369	-5.26851080374447	-2.03595828581554	3.26935069535507	2.83266290555969	1.14201605183746	0.0697757370552277
"Prosthecobacter"	0.0974999658287355	0.47305444181456	0.333333333333333	0.557908760276326	7.31185719877684	8.1290396888578	6.37868657972244	-1.77556311939771	0.530707012292237	-3.40936237905562	0.000547999460257121
"Pseudanabaena"	0.152225632629835	0.511824435645334	0.333333333333333	0.557908760276326	11.3514082337272	13.1710552880529	10.1832638673548	-2.98788437188051	1.12629517998131	-2.46956969040848	0.000547999460257121
"Pseudomonas"	0.597793751968789	0.800215573174315	0.953125	0.977772930505861	3.20021204419028	3.20021204419028	4.48861017069781	1.38787231550822	0.846301934364972	0.688094376319021	0.457364556151575
"Rhizobium"	0.704866307110773	0.858848444101318	1	1	1.28013960326497	0.894073501340619	1.28013960326497	0.522559234619903	5.35012806706328	0.099614879058756	0.5
