"Genus"	"Phylum"	"Family"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"rab.all"	"rab.win.ambient_water"	"rab.win.treated_tissue"	"diff.btw"	"diff.win"	"effect"	"overlap"
"Acetobacter"	"Proteobacteria"	"Acetobacteraceae"	0.399399294382331	0.496092546005194	0.335748271770743	0.420785676577121	-1.98375718248646	-3.41347450968846	-1.30934687677747	1.91606596682171	4.94615045787927	0.34253687073504	0.351562551747701
"Achromobacter"	"Proteobacteria"	"Alcaligenaceae"	0.35582541428614	0.459759083769527	0.366496796780566	0.459947760320166	-0.779058321344349	-2.1881810109355	-0.21219770863787	1.97088597921998	6.55467650680328	0.302983918325222	0.356725195625685
"Acidiphilium"	"Proteobacteria"	"Acetobacteraceae"	0.590726326753031	0.675470493800321	0.627745168997146	0.705534633407971	-1.61811681256733	-2.15080409981628	-1.3805592392966	0.0881693376798705	4.9124298042611	0.0169455820402767	0.493177390075032
"Acidovorax"	"Proteobacteria"	"Comamonadaceae"	5.1434206773251e-06	4.94073064651964e-05	0.000109219976042563	0.000717165271829733	10.3410319278341	6.89727318330424	11.952652360123	4.75793902690445	2.80133050846079	1.5472183172023	0.0526322891800969
"Acinetobacter"	"Proteobacteria"	"Moraxellaceae"	0.599513456593198	0.700539377795802	0.93514021329529	0.956461341890261	6.2821755306754	6.23079133291857	6.45912438996004	-0.193884428863951	3.05958661483754	-0.0443533358063176	0.483430804472726
"Actinomyces"	"Actinobacteria"	"Actinomycetaceae"	0.144223893771084	0.21533691300254	0.135148959816227	0.191960834359056	-1.98294244107753	-3.90535368246816	-1.03299127572478	2.7881830519836	4.51912241866618	0.566256933584535	0.23976619489039
"Aerococcus"	"Firmicutes"	"Aerococcaceae"	0.139789161769632	0.209651705615886	0.124999341408431	0.185082169152212	-2.05572894531629	-3.79581509600117	-1.11345059621639	2.81751680611299	4.94300636110173	0.543973178248124	0.25925935849588
"Aggregatibacter"	"Proteobacteria"	"Pasteurellaceae"	0.190263583870164	0.264992279640553	0.163045857688474	0.227440054265206	-2.02267284747694	-3.73078437598319	-1.20150579648763	2.4214163786402	4.60209269612083	0.503415658941241	0.263671971738184
"Agrobacterium"	"Proteobacteria"	"Rhizobiaceae"	0.859872837257067	0.899950995966535	0.909208658890017	0.939942962199982	7.23030515710608	6.51366993560168	7.32712309095462	0.384642356838986	8.28280861226436	0.0523894569077569	0.473684218882433
"Alkaliphilus"	"Firmicutes"	"Clostridiaceae"	0.15435160765313	0.231088108432876	0.123115355245142	0.186558177414529	-2.02333913896119	-3.79134350911909	-1.08882747481585	2.52472880623863	4.59917214852584	0.50709209704242	0.276803207172379
"Anaerococcus"	"Firmicutes"	"[Tissierellaceae]"	0.0833889650799818	0.137646410613519	0.0784406778105459	0.123983660856783	-1.72200818906138	-3.81332704621613	-0.594122756551164	3.3197532770188	4.78373005285908	0.610618902014983	0.218750130789157
"Ancylobacter"	"Proteobacteria"	"Xanthobacteraceae"	0.110976172308205	0.176572592967251	0.107516921979249	0.162273417194859	-1.97351848131253	-3.86462945854296	-0.914426660015977	3.1421938269949	4.74442293935986	0.628688845257613	0.228515747382471
"Anoxybacillus"	"Firmicutes"	"Bacillaceae"	0.577237158723826	0.663535832706777	0.603225210018478	0.684419935326959	-1.34957215962232	-1.10756037866902	-1.39592304132323	-0.779663413233369	4.77716273132926	-0.130195279712743	0.436647193877451
"Aquicella"	"Proteobacteria"	"Coxiellaceae"	4.08821157147292e-06	3.52416770582091e-05	5.60865078296765e-06	5.17269059980242e-05	1.33121879461754	5.25146926836705	-0.543450673354888	-5.69377901023147	2.7495302742462	-1.89900092253505	0.00975060361899759
"Arcobacter"	"Proteobacteria"	"Campylobacteraceae"	0.224197675505685	0.307006839565722	0.107582844870838	0.176442905883486	-0.639111480932772	1.72332080970504	-1.22896445363537	-2.69533925614909	4.35671329187054	-0.530994634310249	0.242187611636967
"Arthrobacter"	"Actinobacteria"	"Micrococcaceae"	8.65241484724256e-05	0.00052652502950041	0.0010606935895501	0.00521574638068504	3.34866640184272	7.12533452793818	-0.216835143106456	-7.21322747572539	5.01046303992337	-1.27810775758355	0.117187794069708
"Asticcacaulis"	"Proteobacteria"	"Caulobacteraceae"	0.0337531060521212	0.0842049977221457	0.023270823220766	0.0584676520184562	12.587645424745	10.0926956657172	14.1392337126056	2.8555930183275	4.00939802364136	0.72044023326138	0.230019613850541
"Azospirillum"	"Proteobacteria"	"Rhodospirillaceae"	0.0303629317168719	0.073076975988313	0.0249473424173081	0.0568442681806197	2.16777521716587	-2.74045614423011	4.83367219001314	5.70717213913667	6.73608276233509	0.780243197528592	0.197265776934169
"Bacillus"	"Firmicutes"	"Bacillaceae"	7.99656470736091e-08	1.63600484800765e-06	2.71934583416613e-06	2.83822368793302e-05	8.83217644259686	4.06652228431117	9.23093343155735	5.08096294549452	1.30953337833166	3.946314120205	0.000137056276785441
"Bacteroides"	"Bacteroidetes"	"Bacteroidaceae"	7.62974968373552e-07	7.93434105529915e-06	2.80432539148382e-06	2.90686176334591e-05	0.231221008410722	5.33037011878436	-1.28212009312815	-6.52646249456535	2.84386054399441	-2.21795134034874	0.00196888864670557
"Balneimonas"	"Proteobacteria"	"Bradyrhizobiaceae"	0.163770144470662	0.238931834041094	0.150204394955749	0.21086088197488	-1.99732495355036	-3.63847360463753	-1.03750808714022	2.67512106630305	4.3895843556611	0.535260900774196	0.242187611636967
"Bdellovibrio"	"Proteobacteria"	"Bdellovibrionaceae"	2.22815904234788e-06	1.91415548804993e-05	3.29295784606055e-06	3.3079969418104e-05	0.346414797973351	5.21121096073449	-1.2920744909352	-6.24172264924174	2.82950536679729	-2.20462504371114	0.00391628806195076
"Bifidobacterium"	"Actinobacteria"	"Bifidobacteriaceae"	0.287099473020559	0.379845586923608	0.229248756919036	0.323470042588871	-0.808502167231998	2.39223781325664	-1.18712431962974	-2.93408719235466	5.39261224977272	-0.476212262238683	0.317738857980427
"Blautia"	"Firmicutes"	"Lachnospiraceae"	0.440404681422371	0.527546416762901	0.378201498597497	0.467725247937613	-0.89888128045496	0.44629490531869	-1.25387002192186	-1.38719716383354	4.68703150730309	-0.233224366238214	0.376218365341616
"Bosea"	"Proteobacteria"	"Bradyrhizobiaceae"	0.0202403032855537	0.0534651826810118	0.000435860149482441	0.00240695103784744	6.04390331211985	3.90347941519021	6.96427381355713	3.68846001631528	3.45395891429772	0.99636697035115	0.0839848047518494
"Bradyrhizobium"	"Proteobacteria"	"Bradyrhizobiaceae"	0.00916162056648098	0.0297247206150492	0.0125791627066193	0.0353941102334545	8.31606295623325	7.33411425112571	8.65315939034991	1.27444119136724	1.31495766152792	0.887978081652286	0.187134665743741
"Burkholderia"	"Proteobacteria"	"Burkholderiaceae"	0.000145905950655608	0.000776373810313505	2.71934583416613e-06	2.83822368793302e-05	7.68162392791398	-3.47410973507017	8.50068054326569	11.9536337094552	3.83610109433251	2.91203589495207	0.000137056276785441
"Candidatus Amoebophilus"	"Bacteroidetes"	"[Amoebophilaceae]"	0.281676202740694	0.372594174017075	0.230372739033898	0.320066896061138	-0.600400111994852	0.548483456733686	-1.28492244171687	-1.83032017292825	4.61474337454588	-0.328621781771127	0.316406317457888
"Candidatus Protochlamydia"	"Chlamydiae"	"Parachlamydiaceae"	1.00011997956158e-06	9.97073004352353e-06	2.7830805021544e-06	2.88661903999475e-05	0.941506038315747	6.54371445371803	-0.909707989351913	-7.58282232903986	3.09296258078077	-2.21657934566409	0.000137056276785441
