"Genus"	"Phylum"	"Family"	"kw.ep"	"kw.eBH"	"glm.ep"	"glm.eBH"
"Acetobacter"	"Proteobacteria"	"Acetobacteraceae"	0.434652201119896	0.504118425111366	0.403819375603893	0.467711879120874
"Achromobacter"	"Proteobacteria"	"Alcaligenaceae"	0.412148124173032	0.483781485748684	0.374578966253921	0.44581541040539
"Acidiphilium"	"Proteobacteria"	"Acetobacteraceae"	0.360761153672398	0.428431595281531	0.365645695879788	0.426233822102257
"Acidovorax"	"Proteobacteria"	"Comamonadaceae"	0.000662447351641649	0.00370657749729481	2.90028001127569e-05	0.000159477276194356
"Acinetobacter"	"Proteobacteria"	"Moraxellaceae"	0.495058664319009	0.570476098950691	0.262304825166161	0.345264822224041
"Actinomyces"	"Actinobacteria"	"Actinomycetaceae"	0.183614296391068	0.238245256469854	0.211740406061163	0.262049343399871
"Aerococcus"	"Firmicutes"	"Aerococcaceae"	0.156728347996189	0.209502280028243	0.182011488163972	0.232682540388862
"Aggregatibacter"	"Proteobacteria"	"Pasteurellaceae"	0.134608541784715	0.188942242158893	0.177321998095265	0.224443460990674
"Agrobacterium"	"Proteobacteria"	"Rhizobiaceae"	0.0335519000927597	0.0722187924051978	0.0181960156050293	0.0389075224763037
"Alkaliphilus"	"Firmicutes"	"Clostridiaceae"	0.1801316770768	0.235976454844588	0.215077936531178	0.266106913513427
"Anaerococcus"	"Firmicutes"	"[Tissierellaceae]"	0.088528355344155	0.132870167790127	0.100137647363169	0.14015208412867
"Ancylobacter"	"Proteobacteria"	"Xanthobacteraceae"	0.141174737979774	0.19372704672348	0.150272438623224	0.195913358147861
"Anoxybacillus"	"Firmicutes"	"Bacillaceae"	0.337127458549255	0.408905486224043	0.360919432335209	0.420015558426197
"Aquicella"	"Proteobacteria"	"Coxiellaceae"	2.62164885328524e-05	0.000522900042147585	6.06144908820018e-06	3.18688778647419e-05
"Arcobacter"	"Proteobacteria"	"Campylobacteraceae"	0.176166130612474	0.245161304436056	0.260439013423377	0.321433710860396
"Arcobacter"	"Proteobacteria"	"Campylobacteraceae"	0.176166130612474	0.245161304436056	0.260439013423377	0.321433710860396
"Arthrobacter"	"Actinobacteria"	"Micrococcaceae"	0.00298704432111468	0.0118525447700774	0.000989034374999375	0.00348999236987179
"Asticcacaulis"	"Proteobacteria"	"Caulobacteraceae"	0.00114693613468731	0.00570448887751993	9.58829984478744e-09	1.37999522160492e-07
"Azospirillum"	"Proteobacteria"	"Rhodospirillaceae"	0.0299588894362509	0.0621502641635539	0.0235956965360469	0.0436007173461995
"Bacillus"	"Firmicutes"	"Bacillaceae"	4.58577181431611e-05	0.000522900042147585	4.51951042340358e-15	5.86088489466268e-13
"Bacillus"	"Firmicutes"	"Bacillaceae"	4.58577181431611e-05	0.000522900042147585	4.51951042340358e-15	5.86088489466268e-13
"Bacteroides"	"Bacteroidetes"	"Bacteroidaceae"	3.11757590782698e-05	0.000522900042147585	1.48426248413151e-06	9.44694460115715e-06
"Bacteroides"	"Bacteroidetes"	"Bacteroidaceae"	3.11757590782698e-05	0.000522900042147585	1.48426248413151e-06	9.44694460115715e-06
"Balneimonas"	"Proteobacteria"	"Bradyrhizobiaceae"	0.145848065048946	0.198526126648749	0.160143996708892	0.205555687553113
"Bdellovibrio"	"Proteobacteria"	"Bdellovibrionaceae"	0.000417612170441228	0.00255065172727104	0.000127277602210309	0.000500993873401487
"Bdellovibrio"	"Proteobacteria"	"Bdellovibrionaceae"	0.000417612170441228	0.00255065172727104	0.000127277602210309	0.000500993873401487
"Bifidobacterium"	"Actinobacteria"	"Bifidobacteriaceae"	0.0283410345744496	0.0620108270562709	0.0303802836285947	0.058716870970964
"Bifidobacterium"	"Actinobacteria"	"Bifidobacteriaceae"	0.0283410345744496	0.0620108270562709	0.0303802836285947	0.058716870970964
"Blautia"	"Firmicutes"	"Lachnospiraceae"	0.435053019588661	0.502482740850283	0.431293313148658	0.49787355689801
"Bosea"	"Proteobacteria"	"Bradyrhizobiaceae"	0.00616835301298644	0.0202300838004366	0.0222366256077245	0.0437045827723876
"Bradyrhizobium"	"Proteobacteria"	"Bradyrhizobiaceae"	0.00545000707625321	0.0182300054035655	0.00134932780709369	0.0046684348449337
"Burkholderia"	"Proteobacteria"	"Burkholderiaceae"	4.51682567502514e-05	0.000522900042147585	1.71079974748581e-09	2.05369138253988e-08
"Candidatus Amoebophilus"	"Bacteroidetes"	"[Amoebophilaceae]"	0.216940840181235	0.286347141796263	0.232048062843597	0.292251865695829
