X5A_C_432_9509_DAM_2	T0_W_A_C_2	T0_W_D_E_2	T10_432_DAM_B_A_2	T10_432_DAM_B_B_2	T10_432_DAM_B_C_2	T10_432_DAM_B_D_2	T10_432_DAM_B_E_2	T10_432_DAM_B_F_2	T10_432_DAM_B_G_2	T10_432_DAM_B_H_2	T10_432_DAM_B_I_2	T10_432_DAM_B_K_2	T10_432_DAM_B_L_2	T10_432_DAM_BJ_2	T10_432_DAM_W_A_C_2	T10_432_DAM_W_D_F_2	T10_432_DAM_W_G_I_2	T10_432_DAM_W_J_L_2	T10_W_A_C_2	T10_W_D_E_2	T5_432_DAM_B_H_2	T5_432_DAM_B_I_2	T5_432_DAM_B_J_2	T5_432_DAM_B_L_2	T5_432_DAM_W_D_F_2	T5_432_DAM_W_G_I_2	T5_432_DAM_W_J_L_2	T5_W_A_C_2	T5_W_D_E_2
5A_C_432_9509_DAM_2	0	0.237874848836024	0.234818282885842	0.304518279582359	0.30842214006779	0.329049974585647	0.327459058645896	0.316714298448985	0.314054845215824	0.337693998478844	0.312293849188872	0.352296396063823	0.332153636279683	0.331918537612986	0.321888974796634	0.211465773764992	0.21996500504799	0.2508465470191	0.255179602295724	0.253837734496624	0.318028400044379	0.286705840131246	0.33935096358023	0.313288261916422	0.317371245646637	0.124252459408088	0.13384303762738	0.114547308079827	0.209458748127674	0.213726974215086
T0_W_A_C_2	0.237874848836024	0	0.101710296536705	0.380216493567058	0.386840375122207	0.402963899405455	0.395069805394175	0.388170721148258	0.386450582586924	0.406796382581992	0.397359759069536	0.422692496934265	0.398245193701844	0.40233143954675	0.39959632065792	0.30073541150991	0.305993745494498	0.350050121164288	0.33627388714729	0.303863648143493	0.368284962473769	0.382100218567498	0.422108053359685	0.403560129125386	0.405276921905788	0.22034799581633	0.283398450166621	0.221359245405529	0.200274208545759	0.22844957685728
T0_W_D_E_2	0.234818282885842	0.101710296536705	0	0.380556268487753	0.385721019623499	0.401362517718742	0.391849382975552	0.385010688172603	0.384402214588575	0.402733855412919	0.39484458196524	0.416099788843647	0.3928206307021	0.400251646419331	0.398412698993691	0.303977037020558	0.309577963467553	0.352509421204953	0.327877318120944	0.296827520358087	0.363986340261847	0.383083468605193	0.419967246065412	0.402056816485496	0.402282212151469	0.214613748569877	0.279863333579165	0.217450116318729	0.21148236513101	0.233641096608324
T10_432_DAM_B_A_2	0.304518279582359	0.380216493567058	0.380556268487753	0	0.126103602586735	0.14636645480731	0.142149495722839	0.119608314315232	0.120137988183976	0.137781008753578	0.128234167851268	0.174822069948301	0.115505098019776	0.125995381608704	0.124087638836814	0.216134571306243	0.216311499080434	0.253765216974569	0.263502316056234	0.366394434882772	0.384934700903531	0.151098069429627	0.214162878317566	0.177917989334095	0.182947549839629	0.328301065212809	0.310771984092601	0.310875859173768	0.356830159073671	0.351420690161539
T10_432_DAM_B_B_2	0.30842214006779	0.386840375122207	0.385721019623499	0.126103602586735	0	0.0918635270188017	0.112160828723082	0.0944851991758904	0.099411082442148	0.10248977244513	0.0860442883841879	0.14912918911984	0.124423825725472	0.111400102092468	0.098528932586182	0.253866597571896	0.241388238207546	0.215862596628528	0.243831115283496	0.338393820539051	0.352321737070151	0.177087879449398	0.182569135736988	0.148363394460636	0.148246597896273	0.347210997055536	0.272460487789782	0.305944769513941	0.378444308441083	0.375458001502952
T10_432_DAM_B_C_2	0.329049974585647	0.402963899405455	0.401362517718742	0.14636645480731	0.0918635270188017	0	0.102248707113154	0.090158902508777	0.104637372807636	0.0957344354893458	0.103872358943538	0.123558836058894	0.106026006227655	0.102287270663464	0.0888474706658824	0.268756766617096	0.263263033007352	0.21229545559446	0.247281810256563	0.326208113501567	0.338663855575351	0.2063229379383	0.16631516209695	0.16209869481826	0.159998812989137	0.368456992091439	0.278102187873995	0.328509340080648	0.401115578366793	0.396872806463761
T10_432_DAM_B_D_2	0.327459058645896	0.395069805394175	0.391849382975552	0.142149495722839	0.112160828723082	0.102248707113154	0	0.0819369572246475	0.101750876125048	0.080219558712887	0.115964716226967	0.119468280777942	0.0792512128817358	0.0701465706139092	0.0874392230758794	0.258572660312959	0.22982535789466	0.195323832610015	0.215097067434988	0.331523081794851	0.341893039234925	0.210349025853132	0.170438897367191	0.167190300768813	0.165257864698126	0.361706184548174	0.285363008886621	0.316415735997973	0.395799471554383	0.397442953874233
T10_432_DAM_B_E_2	0.316714298448985	0.388170721148258	0.385010688172603	0.119608314315232	0.0944851991758904	0.090158902508777	0.0819369572246475	0	0.0767190344022764	0.105265878847507	0.109520489051036	0.150384648404904	0.0940187458654675	0.0798449994473814	0.0875954876045281	0.248532319030538	0.235226138203818	0.211302694952651	0.22559746941632	0.335289003365561	0.353771970645936	0.195820115825427	0.194022859208852	0.156954530283375	0.161304463854786	0.357794463848208	0.267069176722613	0.314878019292942	0.388153249355792	0.384906697054884
T10_432_DAM_B_F_2	0.314054845215824	0.386450582586924	0.384402214588575	0.120137988183976	0.099411082442148	0.104637372807636	0.101750876125048	0.0767190344022764	0	0.115751163400329	0.10989227498712	0.14412087372393	0.119706650881319	0.086717665910837	0.109822297922733	0.247376454722535	0.222341169076243	0.212105603099152	0.234879457389197	0.349889252987634	0.367030040420478	0.189754136657153	0.199041943698502	0.16840941364514	0.169458890473291	0.35291983200716	0.284398408559116	0.308052303754442	0.388427780406767	0.384513934655167
T10_432_DAM_B_G_2	0.337693998478844	0.406796382581992	0.402733855412919	0.137781008753578	0.10248977244513	0.0957344354893458	0.080219558712887	0.105265878847507	0.115751163400329	0	0.0841612705337368	0.101891576893542	0.0836520168221834	0.0751894121907225	0.0739102944618762	0.273105795227124	0.254686297008741	0.207792982485606	0.236180639974562	0.330217843071688	0.341659782605602	0.192518224749097	0.159551521762754	0.151494724682719	0.155953599293573	0.375353505022003	0.294708340495588	0.332978020347339	0.404951991179329	0.402636413413795
