"feature_id"	"reads"	"Phylum"	"Genus"
"9be26df1412866d8b40718bb61333ddf"	16	"Proteobacteria"	"Haemophilus"
"19fb68f013c65619b894f1cfcc60ff6d"	15	"Proteobacteria"	"Acinetobacter"
"c186bbf5fe907012cc30b1f04ee6f278"	187	"Proteobacteria"	"Pseudomonas"
"49429ce4bb74658cf376c23e9e2b81e5"	118	"Proteobacteria"	"Burkholderia"
"6daa85b18815cb0ab2c4e8513e16a5c3"	30	"Proteobacteria"	""
"33327bc4a8c5bd67534bde08b21ccc27"	53	"Firmicutes"	"Paenibacillus"
"1705006243d4303893d7b3180f28dcb8"	28	"Proteobacteria"	""
"f17aa005e00cd905946bf8f4db5b7db7"	30	"Proteobacteria"	"Herbaspirillum"
"67fc9b3fd91f7fd01221ac4c548af024"	34	"Proteobacteria"	"Variovorax"
"0aa9a65322f1b805dcd91e79ef7bf5ac"	65	"Proteobacteria"	"Burkholderia"
"5bbd231134bb8cad5c17ed64f2bdf83d"	44	"Proteobacteria"	"Sphingomonas"
"7aee3802931ef6b3fb7f1cd4d6c73306"	21	"Proteobacteria"	"Azospirillum"
"388ba15685cb5a33806aeb9d945158d4"	9	"Actinobacteria"	"Brachybacterium"
"44384661389a8846f46a164734ab8eec"	12	"Proteobacteria"	"Pseudomonas"
"d03aae7d0a4a9f6f094a0c570b7939f2"	26	"Proteobacteria"	NA
"cc467b706782bcb7f6b1e9aa59717206"	34	"Firmicutes"	"Bacillus"
"e1fcbb834ebf0815e524d05179a7cc9d"	258	"Proteobacteria"	"Pseudomonas"
"04c51e70be19f6288fd3bf9d928705cc"	62	"Proteobacteria"	"Pseudomonas"
"7cbbf7027613d12b1488f0fecd5aa6e7"	63	"Firmicutes"	"Paenibacillus"
"541503e6ed562c899d8f70f85a3ce8ce"	603	"Proteobacteria"	"Pseudomonas"
"f07c2e77ab1459a512a6f694c84d40b7"	8	"Cyanobacteria"	"Pseudanabaena"
"1e5f814299678b219eb343b60c904356"	19	"Actinobacteria"	"Streptomyces"
"a77610abb81548cf15ea767b4f91e328"	17	"Proteobacteria"	"Rhodanobacter"
"78ffd3191bf131b845b8287971548af3"	34	"Actinobacteria"	"Streptomyces"
"437ef8c72d4a11fb08716a650dd4984c"	85	"Firmicutes"	"Staphylococcus"
"4dcb8e6462e83389453ddbe48c1cda7e"	192	"Actinobacteria"	"Streptomyces"
"736ea4c8e472b24752c29206df553db9"	127	"Proteobacteria"	"Acinetobacter"
"65846924ddf81ee0006a1d33423a5e7a"	105	"Actinobacteria"	NA
"217f64242ea31e0e6438494a11e19f48"	27	"Proteobacteria"	""
"09d883a9db9c640d39e09abdc75ba62b"	32	"Proteobacteria"	"Janthinobacterium"
"b13d6bd8e5b6656c9f3b11e3d8b2f347"	50	"Proteobacteria"	"Burkholderia"
"8def41efd53b327a3d72f21d4d559ff4"	28	"Proteobacteria"	"Phyllobacterium"
"911ad4900425f42d6db85eb50eed6aba"	23	"Actinobacteria"	"Kocuria"
"8126db7d622a9a5d8b625bbbe798dc67"	70	"Firmicutes"	"Staphylococcus"
"ea5b48a6bcf6dd6db2b6843fbc1d4dc6"	29	"Proteobacteria"	NA
"27ff24c48bf633fa9d425f192041c87c"	29	"Actinobacteria"	"Mycobacterium"
"37b1c5d6978ef0cfdb8bfb9ffdb941e4"	98	"Firmicutes"	"Paenibacillus"
"c2bc54e29cde81040c02d696a9e0a635"	328	"Proteobacteria"	"Pseudomonas"
"2d4992b95ff3f5d76bb78ec49b468307"	29	"Proteobacteria"	"Janthinobacterium"
"2b2ac513650b680b298bdfe5277961d4"	20	"Firmicutes"	"Streptococcus"
"9e36717821ac72f09f54d10eca32cb4c"	29	"Proteobacteria"	"Variovorax"
"07d99aaa339316df8a0c38caf16c2d5c"	8	"Firmicutes"	""
"93de5d20f99bcb79e846c93e2995a07f"	14	"Chloroflexi"	""
"5ebc260d37543424ccfd64d974adeab6"	196	"Actinobacteria"	"Streptomyces"
"1e35ea977bafe73b2f0a4e7f6db441e3"	219	"Proteobacteria"	"Acinetobacter"
"962bc55d0c646ddf2cda50c3ca1293d2"	179	"Firmicutes"	"Bacillus"
"ab82b18f7e87230bcc2b5a8ef39c14d4"	29	"Proteobacteria"	"Pseudomonas"
"ba0a879098b4951a1359e472b0ffc9bd"	208	"Actinobacteria"	"Streptomyces"
"daf0866b9f8d399298da6c573c1177da"	12	"Firmicutes"	"Alicyclobacillus"
"07c3b6dd6830c5b6d7d8096e10ec34fb"	18	"Acidobacteria"	""
"491ab07f0cde5a3fcfb9196b4d9e2a87"	20	"Proteobacteria"	""
"8ecfc194cbca75b25d72b757c872f515"	114	"Proteobacteria"	"Acinetobacter"
"ff0678bc432bc85ad41994eacb77739a"	54	"Firmicutes"	"Bacillus"
"fe6b2a9538fa32ab25fd46c7c9702727"	180	"Actinobacteria"	NA
"661d26d31046ed45c8d8ccd1c4c0dc07"	175	"Proteobacteria"	"Pseudomonas"
"937f73e15eb6d45f8b55421d79e5b11c"	101	"Actinobacteria"	NA
"48ec20894fbd62d7d008be56d25ccb9e"	15	"Firmicutes"	"Virgibacillus"
"d7ee7b54e7cf627adc354c46730fd660"	118	"Proteobacteria"	"Pseudomonas"
"f7af907d1f0a52ac371e34177f1d3c97"	25	"Firmicutes"	"Jeotgalicoccus"
"a75ec9355a1c64b317af54803f7f49bc"	40	"Proteobacteria"	"Sphingomonas"
"c1efe1d5e061ffa531c2c84259e3eb81"	39	"Firmicutes"	"Lysinibacillus"
"fea19db02e1a0389c1d36ed0e55b3926"	15	"Proteobacteria"	""
"6ece40f57d33b055163c8a7d12ca710c"	244	"Proteobacteria"	"Pseudomonas"
"65b870bb87fba97058fc07f91c1250f8"	22	"Proteobacteria"	""
"2571a786f188945c966a1b28817a667d"	27	"Acidobacteria"	""
"20b463c88a7b480390f53caa7ca349ca"	20	"Proteobacteria"	"Haemophilus"
"f2dae820f97b894978782a6abe09f5e2"	63	"Firmicutes"	"Paenibacillus"
"46bac9270516057a8f842a0a06049a94"	84	"Proteobacteria"	"Pseudomonas"
"3114e6e2247cfde6754a36dce2362713"	312	"Proteobacteria"	"Pseudomonas"
"bb77ec57614b856a061229861a7f8b31"	53	"Actinobacteria"	"Streptomyces"
"4c1c134ae425476284285f0a31ca7e4c"	8	"Chloroflexi"	""
"2871e375c985330c64d5087a7124687b"	23	"Proteobacteria"	"Delftia"
"be37c227c8f629026ef42c68cefa4a9e"	10	"Firmicutes"	"Bacillus"
"c94a7d92d8f20028535f11dcd4b88aad"	12	"Proteobacteria"	"Ralstonia"
"69d8dc41b6fa06f19764922f199c2778"	72	"Firmicutes"	"Lysinibacillus"
"eabdaba6494a71a1a7f6cd6156d838f7"	130	"Firmicutes"	"Bacillus"
"7b527a78fe52b883c799bd3e4ac6f4eb"	61	"Firmicutes"	"Paenibacillus"
"674ac01b13151a924cddc8693f9d273c"	7	"Actinobacteria"	"Corynebacterium"
"ba0a834ccc72b629a999699b088026df"	14	"Firmicutes"	"Alicyclobacillus"
"13709b98d22de7c338a735d56d7b0d5e"	135	"Firmicutes"	"Bacillus"
"2593baf4d2258d34bd0625c56342d3b4"	17	"Firmicutes"	"Virgibacillus"
"6905c15e30bcf6814b126f423f086b32"	34	"Proteobacteria"	NA
"d6f752f66aa32dd4d170aa84254987fb"	48	"Firmicutes"	"Bacillus"
