"Genus"	"Phylum"	"Family"	"Mean_RA"	"Median_RA"	"Sample_Percent"	"OTU_Count"	"Mean_RA_Rank"
"Aerococcus"	"Firmicutes"	"Aerococcaceae"	0.0258010924560123	0.0129005462280061	25	2	33
"Alkaliphilus"	"Firmicutes"	"Clostridiaceae"	0.00351708953806546	0.00351708953806546	25	1	67
"Balneimonas"	"Proteobacteria"	"Bradyrhizobiaceae"	0.00145269305080068	0.00145269305080068	25	1	76
"Caulobacter"	"Proteobacteria"	"Caulobacteraceae"	0.0145269305080068	0.00726346525400338	25	2	41
"Cellulomonas"	"Actinobacteria"	"Cellulomonadaceae"	0.0134828557526991	0.0134828557526991	50	2	43
"Flavisolibacter"	"Bacteroidetes"	"Chitinophagaceae"	0.0172859883124414	0.0172859883124414	25	1	40
"Gemella"	"Firmicutes"	"Gemellaceae"	0.0106980139451758	0.0106980139451758	25	1	52
"Geothrix"	"Acidobacteria"	"Holophagaceae"	0.0196957014131666	0.0196957014131666	25	1	37
"Hydrogenophilus"	"Proteobacteria"	"Rhodocyclaceae"	0.00334567515724673	0.00334567515724673	25	1	68
"Jeotgalicoccus"	"Firmicutes"	"Staphylococcaceae"	0.0144737835728849	0.00723689178644247	25	2	42
"Lactobacillus"	"Firmicutes"	"Lactobacillaceae"	0.00613373778828568	0.00306686889414284	25	2	61
"Nesterenkonia"	"Actinobacteria"	"Micrococcaceae"	0.00947941294553241	0.00947941294553241	25	1	55
"Porphyromonas"	"Bacteroidetes"	"Porphyromonadaceae"	0.00377576962770912	0.00377576962770912	25	1	66
"Psychrobacter"	"Proteobacteria"	"Moraxellaceae"	0.00111522505241558	0.00111522505241558	25	1	77
"Skermanella"	"Proteobacteria"	"Rhodospirillaceae"	0.0050185127358701	0.0050185127358701	25	1	63
"Stenotrophomonas"	"Proteobacteria"	"Xanthomonadaceae"	0.0127134168147758	0.00818083419336975	50	3	46
"Sulfuritalea"	"Proteobacteria"	"Rhodocyclaceae"	0.00881012913132127	0.00881012913132127	25	1	56
"Weissella"	"Firmicutes"	"Leuconostocaceae"	0.0128250881027791	0.00641254405138957	25	2	45
"Zoogloea"	"Proteobacteria"	"Rhodocyclaceae"	0.0661212833156306	0.0330606416578153	25	2	22
