index,k__Archaea;p__Euryarchaeota,k__Archaea;p__[Parvarchaeota],k__Bacteria;p__Acidobacteria,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Armatimonadetes,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Chlorobi,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__FBP,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteria,k__Bacteria;p__GN02,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__Lentisphaerae,k__Bacteria;p__Nitrospirae,k__Bacteria;p__OD1,k__Bacteria;p__OP11,k__Bacteria;p__OP3,k__Bacteria;p__Planctomycetes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__SAR406,k__Bacteria;p__Spirochaetes,k__Bacteria;p__Synergistetes,k__Bacteria;p__TM6,k__Bacteria;p__TM7,k__Bacteria;p__Tenericutes,k__Bacteria;p__Verrucomicrobia,k__Bacteria;p__WPS-2,k__Bacteria;p__WS3,k__Bacteria;p__[Thermi],tissue,bacteria,type,treatment,time,plate,library,notes
5A_C_432_9509_DAM_2,0.0,0.0,1284.0,10230.0,133.0,32146.0,1046.0,8.0,2126.0,3879.0,0.0,443.0,1281.0,0.0,0.0,205.0,4.0,5806.0,33.0,0.0,0.0,1955.0,190111.0,49.0,0.0,0.0,43.0,28.0,124.0,4875.0,12.0,0.0,5.0,S_polyrhiza432_9509,none,ambient_water,none,5.0,ducitaplate1,,filter; wastewater + Duckweed 432-9509; 05 days; 3 replicates pooled
T0_432_B_3_2,0.0,0.0,45.0,1156.0,0.0,0.0,0.0,0.0,22.0,8.0,0.0,0.0,1305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3726.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,treated_tissue,none,0.0,ducitaplate1,,tissue; Duckweed 432-9509; 0 days
T0_W_A_C_2,55.0,0.0,4746.0,41567.0,881.0,38916.0,4899.0,277.0,5706.0,1101.0,6.0,2987.0,3121.0,54.0,24.0,329.0,27.0,30916.0,544.0,91.0,8.0,6014.0,153011.0,0.0,14.0,0.0,51.0,177.0,39.0,13714.0,46.0,0.0,0.0,wastewater,wastewater,wastewater,none,0.0,ducitaplate1,,filter; wastewater only; 00 days; 3 replicates pooled
T0_W_D_E_2,18.0,4.0,3772.0,34032.0,597.0,43687.0,2458.0,296.0,4707.0,940.0,7.0,1787.0,2785.0,107.0,15.0,365.0,10.0,23889.0,277.0,35.0,4.0,6133.0,119784.0,0.0,66.0,0.0,43.0,145.0,0.0,22882.0,68.0,10.0,0.0,wastewater,wastewater,wastewater,none,0.0,ducitaplate1,,filter; wastewater only; 00 days; 2 replicates pooled
T10_432_DAM_B_A_2,0.0,0.0,0.0,2867.0,0.0,174.0,9.0,0.0,0.0,0.0,0.0,0.0,789.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,108655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,10.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_B_2,0.0,0.0,0.0,1691.0,0.0,239.0,12.0,0.0,86.0,5.0,0.0,0.0,653.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,96.0,0.0,155449.0,104.0,0.0,0.0,10.0,0.0,0.0,469.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,10.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_C_2,0.0,0.0,0.0,2060.0,0.0,127.0,0.0,0.0,0.0,3.0,0.0,3.0,305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,176336.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,10.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_D_2,0.0,0.0,16.0,9349.0,0.0,374.0,9.0,0.0,7.0,0.0,0.0,0.0,427.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,119128.0,17.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,10.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_E_2,0.0,0.0,0.0,3838.0,0.0,395.0,5.0,0.0,6.0,9.0,0.0,0.0,639.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,150185.0,21.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,10.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_F_2,0.0,0.0,0.0,2232.0,0.0,72.0,6.0,0.0,0.0,2.0,0.0,0.0,618.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,141055.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,10.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_G_2,0.0,0.0,0.0,823.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131573.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,10.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_H_2,0.0,0.0,0.0,701.0,0.0,129.0,4.0,0.0,8.0,0.0,0.0,0.0,392.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,159878.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,10.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 10 days
T10_432_DAM_B_I_2,0.0,0.0,8.0,251.0,0.0,199.0,0.0,0.0,0.0,6.0,0.0,0.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170774.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,S_polyrhiza432_9509,none,treated_tissue,SD_treated,10.0,ducitaplate1,,tissue; wastewater + Duckweed 432-9509; 10 days
