"sample_id"	"tissue"	"bacteria"	"type"	"treatment"	"time"	"tax"	"RA"
"T0_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Acidobacteria"	1.40274673578752
"T0_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Actinobacteria"	12.6559588844965
"T0_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Bacteroidetes"	16.2464996411319
"T0_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Chloroflexi"	1.75045834712403
"T0_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Firmicutes"	1.03569715248363
"T0_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"low abundance (< 1% RA)"	2.68872187161818
"T0_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Nitrospirae"	8.88393869862886
"T0_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Planctomycetes"	2.28076503992176
"T0_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Proteobacteria"	44.5457621950086
"T0_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Verrucomicrobia"	8.50945143379906
"T0_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Acidobacteria"	1.53460128174452
"T0_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Actinobacteria"	13.4405333919668
"T0_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Bacteroidetes"	12.5833424948103
"T0_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Chlamydiae"	1.58407325732541
"T0_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Chloroflexi"	1.84501367754619
"T0_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Firmicutes"	1.00916363260106
"T0_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"low abundance (< 1% RA)"	2.15219261089159
"T0_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Nitrospirae"	9.99657252979636
"T0_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Planctomycetes"	1.94460432119923
"T0_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Proteobacteria"	49.4755323895934
"T0_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"0"	"Verrucomicrobia"	4.43437041252514
"T5_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Acidobacteria"	1.08354846489857
"T5_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Actinobacteria"	3.24483907563401
"T5_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Bacteroidetes"	13.0963759636256
"T5_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Chloroflexi"	1.05183703002314
"T5_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Cyanobacteria"	21.9813840478083
"T5_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"low abundance (< 1% RA)"	2.90539273048853
"T5_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Planctomycetes"	1.20503452526642
"T5_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Proteobacteria"	51.9317176878344
"T5_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Verrucomicrobia"	3.49987047442093
"T5_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Acidobacteria"	1.42742926229988
"T5_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Actinobacteria"	6.0533140929389
"T5_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Bacteroidetes"	13.3031727150407
"T5_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Chloroflexi"	1.45901990990815
"T5_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Cyanobacteria"	16.9123067022874
"T5_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"low abundance (< 1% RA)"	2.70977555039878
"T5_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Nitrospirae"	1.75737602620854
"T5_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Planctomycetes"	1.03313117918917
"T5_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Proteobacteria"	51.4354244262007
"T5_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"5"	"Verrucomicrobia"	3.90905013552778
"T10_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"10"	"Acidobacteria"	1.90525808383525
"T10_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"10"	"Bacteroidetes"	15.3019539485536
"T10_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"10"	"Cyanobacteria"	46.7443117358639
"T10_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"10"	"low abundance (< 1% RA)"	3.06555197951105
"T10_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"10"	"Proteobacteria"	31.6989565632319
"T10_W_D_E_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"10"	"Verrucomicrobia"	1.28396768900423
"T10_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"10"	"Acidobacteria"	1.41557128412538
"T10_W_A_C_2"	"wastewater"	"wastewater"	"wastewater"	"none"	"10"	"Actinobacteria"	1.39286158438005
