sample-id	tissue	bacteria	type	treatment	time	input	filtered	denoised	non-chimeric	classified	no_chloroplast	filtered
5A_C_432_9509_DAM_2	S_polyrhiza432_9509	none	ambient_water	none	5	550284	493486	493486	266326	261903	255826	255826
T5_432_DAM_W_D_F_2	S_polyrhiza432_9509	none	ambient_water	none	5	516482	460481	460481	274710	269043	259519	259519
T5_432_DAM_W_G_I_2	S_polyrhiza432_9509	none	ambient_water	none	5	510384	454216	454216	241524	236899	234513	234513
T5_432_DAM_W_J_L_2	S_polyrhiza432_9509	none	ambient_water	none	5	589694	526142	526142	314285	308321	302196	302196
T5_432_DAM370_1_W_A_C_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	5	563606	511664	511664	289086	286036	285185	285185
T5_432_DAM370_1_W_D_F_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	5	445200	398873	398873	213538	210142	206914	206914
T5_432_DAM370_1_W_G_I_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	5	476420	430621	430621	247761	246368	244999	244999
T5_432_DAM370_1_W_J_L_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	5	496660	443210	443210	259804	257031	248355	248355
T10_432_DAM_W_A_C_2	S_polyrhiza432_9509	none	ambient_water	none	10	472584	420926	420926	238882	234040	214264	214264
T10_432_DAM_W_D_F_2	S_polyrhiza432_9509	none	ambient_water	none	10	452876	407698	407698	242465	236300	201942	201942
T10_432_DAM_W_G_I_2	S_polyrhiza432_9509	none	ambient_water	none	10	308252	278469	278469	152954	145295	139299	139299
T10_432_DAM_W_J_L_2	S_polyrhiza432_9509	none	ambient_water	none	10	488364	435210	435210	252493	242748	198984	198984
T10_432_DAM370_1_W_A_C_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	10	398450	355903	355903	202892	200569	195441	195441
T10_432_DAM370_1_W_D_F_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	10	327694	294027	294027	164247	156824	129097	129097
T10_432_DAM370_1_W_G_I_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	10	517630	463758	463758	261608	255262	237140	237140
T10_432_DAM370_1_W_J_L_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	10	496902	444696	444696	257122	249735	233879	233879
T0_432_B_3_2	S_polyrhiza432_9509	none	treated_tissue	none	0	363304	311170	311170	151471	151153	6262	6262
T5_432_DAM_B_H_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	5	463412	419377	419377	193336	193260	158908	158908
T5_432_DAM_B_I_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	5	466400	414535	414535	223845	222696	206513	206513
T5_432_DAM_B_J_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	5	437018	388698	388698	215639	206396	142163	142163
T5_432_DAM_B_L_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	5	478342	426223	426223	219757	216888	179336	179336
T5_432_DAM370_1_B_H_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	5	482776	435693	435693	233751	233557	217305	217305
T5_432_DAM370_1_B_I_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	5	457904	405375	405375	204348	201057	162873	162873
T5_432_DAM370_1_B_J_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	5	397920	355678	355678	174068	170715	127391	127391
T5_432_DAM370_1_B_K_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	5	470412	418554	418554	228371	226465	205015	205015
T5_432_DAM370_1_B_K_2a	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	5	511202	460070	460070	228359	225147	179303	179303
T5_432_DAM370_1_B_L_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	5	336738	301353	301353	153367	151142	124918	124918
T10_432_DAM_B_A_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	348470	310513	310513	145881	143193	112502	112502
T10_432_DAM_B_B_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	433748	384979	384979	194583	192717	158828	158828
T10_432_DAM_B_C_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	472122	421002	421002	225454	223168	178849	178849
T10_432_DAM_B_D_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	400634	357331	357331	176358	169465	129356	129356
T10_432_DAM_B_E_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	470980	421702	421702	214502	203590	155118	155118
T10_432_DAM_B_F_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	456708	406470	406470	208304	204786	143996	143996
T10_432_DAM_B_G_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	374540	338158	338158	153873	150661	132685	132685
T10_432_DAM_B_H_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	386294	350714	350714	178099	177489	161127	161127
T10_432_DAM_B_I_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	463062	412490	412490	182943	178614	171528	171528
T10_432_DAM_B_K_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	416562	369197	369197	196623	194736	167429	167429
T10_432_DAM_B_L_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	460556	410677	410677	224330	220542	183542	183542
T10_432_DAM_BJ_2	S_polyrhiza432_9509	none	treated_tissue	SD_treated	10	462716	412834	412834	211850	209144	191955	191955
T10_432_DAM370_1_B_A_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	408898	366536	366536	189305	187131	164388	164388
T10_432_DAM370_1_B_B_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	431182	383132	383132	188243	185288	133175	133175
T10_432_DAM370_1_B_C_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	488866	437730	437730	220670	217067	129660	129660
T10_432_DAM370_1_B_D_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	503088	434673	434673	214321	211856	149450	149450
T10_432_DAM370_1_B_E_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	484682	432551	432551	223285	220333	175201	175201
T10_432_DAM370_1_B_F_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	490226	425530	425530	231421	230212	200385	200385
T10_432_DAM370_1_B_G_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	490824	434019	434019	226792	223825	205506	205506
T10_432_DAM370_1_B_H_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	464368	407037	407037	210898	209365	147113	147113
T10_432_DAM370_1_B_I_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	473910	425473	425473	219342	214666	185006	185006
T10_432_DAM370_1_B_J_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	479020	422461	422461	230882	222942	175127	175127
T10_432_DAM370_1_B_K_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	444002	395479	395479	207951	204475	174629	174629
T10_432_DAM370_1_B_L_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	493650	428941	428941	218278	216588	200908	200908
T0_W_A_C_2	wastewater	wastewater	wastewater	none	0	548110	482174	482174	312900	311164	309321	309321
T0_W_D_E_2	wastewater	wastewater	wastewater	none	0	486890	427320	427320	273693	272300	268923	268923
T5_W_A_C_2	wastewater	wastewater	wastewater	none	5	478560	433358	433358	276139	273071	256405	256405
T5_W_D_E_2	wastewater	wastewater	wastewater	none	5	463774	418704	418704	265844	263789	223906	223906
T10_W_A_C_2	wastewater	wastewater	wastewater	none	10	395556	355427	355427	215102	210797	184943	184943
T10_W_D_E_2	wastewater	wastewater	wastewater	none	10	420684	380631	380631	221447	217089	205379	205379
