	pielou_e
5A_C_432_9509_DAM_2	0.7525357650654788
T0_W_A_C_2	0.8164370949645517
T0_W_D_E_2	0.8112462260856158
T10_432_DAM_B_A_2	0.640163528544179
T10_432_DAM_B_B_2	0.6710895440269551
T10_432_DAM_B_C_2	0.629767967849428
T10_432_DAM_B_D_2	0.6965096239941625
T10_432_DAM_B_E_2	0.6840153879980025
T10_432_DAM_B_F_2	0.688977267013635
T10_432_DAM_B_G_2	0.657089958260034
T10_432_DAM_B_H_2	0.6845343789626556
T10_432_DAM_B_I_2	0.4816378073722622
T10_432_DAM_B_K_2	0.5583816783424909
T10_432_DAM_B_L_2	0.6014706645948433
T10_432_DAM_BJ_2	0.6768343984947918
T10_432_DAM_W_A_C_2	0.7304267902146163
T10_432_DAM_W_D_F_2	0.7395330239927951
T10_432_DAM_W_G_I_2	0.7177742081965935
T10_432_DAM_W_J_L_2	0.743241315992283
T10_432_DAM370_1_B_A_2	0.5744398837925617
T10_432_DAM370_1_B_B_2	0.6286147108408656
T10_432_DAM370_1_B_C_2	0.662429047313956
T10_432_DAM370_1_B_D_2	0.6342759047504933
T10_432_DAM370_1_B_E_2	0.5864918466810923
T10_432_DAM370_1_B_F_2	0.705016835148654
T10_432_DAM370_1_B_G_2	0.6596095826302966
T10_432_DAM370_1_B_H_2	0.6526891768881278
T10_432_DAM370_1_B_I_2	0.6010855201614838
T10_432_DAM370_1_B_J_2	0.6312909841973092
T10_432_DAM370_1_B_K_2	0.6427426862637561
T10_432_DAM370_1_B_L_2	0.620781226098622
T10_432_DAM370_1_W_A_C_2	0.778082267585707
T10_432_DAM370_1_W_D_F_2	0.7871231337103151
T10_432_DAM370_1_W_G_I_2	0.7385628920693187
T10_432_DAM370_1_W_J_L_2	0.7278639353468587
T10_W_A_C_2	0.7094124606238343
T10_W_D_E_2	0.5982494637327881
T5_432_DAM_B_H_2	0.595380381009441
T5_432_DAM_B_I_2	0.619852723670937
T5_432_DAM_B_J_2	0.6804917708413877
T5_432_DAM_B_L_2	0.6666068794252946
T5_432_DAM_W_D_F_2	0.8116851009429801
T5_432_DAM_W_G_I_2	0.7157353192058904
T5_432_DAM_W_J_L_2	0.8001603774507012
T5_432_DAM370_1_B_H_2	0.6243571117424486
T5_432_DAM370_1_B_I_2	0.6587576925240914
T5_432_DAM370_1_B_J_2	0.7610553494882324
T5_432_DAM370_1_B_K_2	0.7031141473680433
T5_432_DAM370_1_B_K_2a	0.7150305794607833
T5_432_DAM370_1_B_L_2	0.7184789944853781
T5_432_DAM370_1_W_A_C_2	0.7440464051630118
T5_432_DAM370_1_W_D_F_2	0.7343948937255854
T5_432_DAM370_1_W_G_I_2	0.7181157481429733
T5_432_DAM370_1_W_J_L_2	0.7778176807332705
T5_W_A_C_2	0.8008652408522023
T5_W_D_E_2	0.7952295289841997
