	faith_pd
5A_C_432_9509_DAM_2	69.296343126
T0_W_A_C_2	98.86865386299999
T0_W_D_E_2	93.10592253499999
T10_432_DAM_B_A_2	17.667841085
T10_432_DAM_B_B_2	20.191964285999997
T10_432_DAM_B_C_2	18.673480056
T10_432_DAM_B_D_2	17.999451179
T10_432_DAM_B_E_2	19.670790087
T10_432_DAM_B_F_2	18.531708764
T10_432_DAM_B_G_2	14.835150032000001
T10_432_DAM_B_H_2	17.497366259
T10_432_DAM_B_I_2	16.186251926
T10_432_DAM_B_K_2	19.531568985
T10_432_DAM_B_L_2	17.383244091999998
T10_432_DAM_BJ_2	22.29275137
T10_432_DAM_W_A_C_2	46.527294456
T10_432_DAM_W_D_F_2	46.762218446000006
T10_432_DAM_W_G_I_2	36.75687559000001
T10_432_DAM_W_J_L_2	43.837532533
T10_W_A_C_2	58.886149768
T10_W_D_E_2	48.459728487
T5_432_DAM_B_H_2	18.398951499
T5_432_DAM_B_I_2	19.019268074
T5_432_DAM_B_J_2	17.453021172
T5_432_DAM_B_L_2	21.884657742
T5_432_DAM_W_D_F_2	75.354090005
T5_432_DAM_W_G_I_2	60.401082689999996
T5_432_DAM_W_J_L_2	75.060049472
T5_W_A_C_2	80.19964771800001
T5_W_D_E_2	77.738565765
