	observed_otus
5A_C_432_9509_DAM_2	1037
T0_W_A_C_2	1653
T0_W_D_E_2	1517
T10_432_DAM_B_A_2	186
T10_432_DAM_B_B_2	219
T10_432_DAM_B_C_2	211
T10_432_DAM_B_D_2	198
T10_432_DAM_B_E_2	246
T10_432_DAM_B_F_2	221
T10_432_DAM_B_G_2	147
T10_432_DAM_B_H_2	168
T10_432_DAM_B_I_2	117
T10_432_DAM_B_K_2	192
T10_432_DAM_B_L_2	187
T10_432_DAM_BJ_2	279
T10_432_DAM_W_A_C_2	557
T10_432_DAM_W_D_F_2	558
T10_432_DAM_W_G_I_2	412
T10_432_DAM_W_J_L_2	532
T10_W_A_C_2	770
T10_W_D_E_2	583
T5_432_DAM_B_H_2	142
T5_432_DAM_B_I_2	203
T5_432_DAM_B_J_2	205
T5_432_DAM_B_L_2	279
T5_432_DAM_W_D_F_2	1204
T5_432_DAM_W_G_I_2	829
T5_432_DAM_W_J_L_2	1189
T5_W_A_C_2	1295
T5_W_D_E_2	1120
