	shannon
5A_C_432_9509_DAM_2	7.535908556009816
T0_W_A_C_2	8.728423669467363
T0_W_D_E_2	8.57167146308298
T10_432_DAM_B_A_2	4.826294506773856
T10_432_DAM_B_B_2	5.217578302734422
T10_432_DAM_B_C_2	4.862500945635992
T10_432_DAM_B_D_2	5.313920310769023
T10_432_DAM_B_E_2	5.432802141049383
T10_432_DAM_B_F_2	5.365687821138002
T10_432_DAM_B_G_2	4.730832400554448
T10_432_DAM_B_H_2	5.060295416096677
T10_432_DAM_B_I_2	3.3090273993878982
T10_432_DAM_B_K_2	4.235304091317536
T10_432_DAM_B_L_2	4.539235626415758
T10_432_DAM_BJ_2	5.509128343618307
T10_432_DAM_W_A_C_2	6.660718857905661
T10_432_DAM_W_D_F_2	6.745675265530111
T10_432_DAM_W_G_I_2	6.2349460378982275
T10_432_DAM_W_J_L_2	6.7282425911893755
T10_432_DAM370_1_B_A_2	4.390935861381246
T10_432_DAM370_1_B_B_2	4.879025283659651
T10_432_DAM370_1_B_C_2	5.044204987609439
T10_432_DAM370_1_B_D_2	4.8797934006540045
T10_432_DAM370_1_B_E_2	4.563704028074933
T10_432_DAM370_1_B_F_2	5.5954633614763285
T10_432_DAM370_1_B_G_2	5.215460805672753
T10_432_DAM370_1_B_H_2	5.2716501239163
T10_432_DAM370_1_B_I_2	4.641040922062469
T10_432_DAM370_1_B_J_2	4.874260305924005
T10_432_DAM370_1_B_K_2	4.984397224813778
T10_432_DAM370_1_B_L_2	4.952145611842199
T10_432_DAM370_1_W_A_C_2	7.184515736117192
T10_432_DAM370_1_W_D_F_2	6.994137174581286
T10_432_DAM370_1_W_G_I_2	6.701824161776608
T10_432_DAM370_1_W_J_L_2	6.74836356591338
T10_W_A_C_2	6.802353643848186
T10_W_D_E_2	5.499284246731897
T5_432_DAM_B_H_2	4.2568191641318505
T5_432_DAM_B_I_2	4.7425252297243885
T5_432_DAM_B_J_2	5.225823012053657
T5_432_DAM_B_L_2	5.415595155750986
T5_432_DAM_W_D_F_2	8.310360584334163
T5_432_DAM_W_G_I_2	6.937970981743915
T5_432_DAM_W_J_L_2	8.174064740936577
T5_432_DAM370_1_B_H_2	4.812144486867806
T5_432_DAM370_1_B_I_2	5.188716128846061
T5_432_DAM370_1_B_J_2	5.707797832701991
T5_432_DAM370_1_B_K_2	5.733767981687651
T5_432_DAM370_1_B_K_2a	5.963247780178609
T5_432_DAM370_1_B_L_2	5.581277262642802
T5_432_DAM370_1_W_A_C_2	7.286290414989939
T5_432_DAM370_1_W_D_F_2	7.054215109850188
T5_432_DAM370_1_W_G_I_2	6.913683698220005
T5_432_DAM370_1_W_J_L_2	7.726600226356711
T5_W_A_C_2	8.279042054378232
T5_W_D_E_2	8.054080153424708
