	5A_C_432_9509_DAM_2	T0_W_A_C_2	T0_W_D_E_2	T10_432_DAM_B_A_2	T10_432_DAM_B_B_2	T10_432_DAM_B_C_2	T10_432_DAM_B_D_2	T10_432_DAM_B_E_2	T10_432_DAM_B_F_2	T10_432_DAM_B_G_2	T10_432_DAM_B_H_2	T10_432_DAM_B_I_2	T10_432_DAM_B_K_2	T10_432_DAM_B_L_2	T10_432_DAM_BJ_2	T10_432_DAM_W_A_C_2	T10_432_DAM_W_D_F_2	T10_432_DAM_W_G_I_2	T10_432_DAM_W_J_L_2	T10_W_A_C_2	T10_W_D_E_2	T5_432_DAM_B_H_2	T5_432_DAM_B_I_2	T5_432_DAM_B_J_2	T5_432_DAM_B_L_2	T5_432_DAM_W_D_F_2	T5_432_DAM_W_G_I_2	T5_432_DAM_W_J_L_2	T5_W_A_C_2	T5_W_D_E_2
5A_C_432_9509_DAM_2	0.0	0.7515822222222223	0.71024	0.8504088888888889	0.7940355555555556	0.8353333333333334	0.8229688888888889	0.8290755555555556	0.8465422222222222	0.8396177777777778	0.7843911111111112	0.8863555555555556	0.84872	0.84568	0.7879555555555555	0.7609688888888889	0.8014133333333333	0.7525066666666667	0.7960266666666667	0.7704533333333333	0.81088	0.6452622222222222	0.7674755555555556	0.7107466666666666	0.6859911111111111	0.34968	0.3950488888888889	0.42020444444444444	0.6782044444444445	0.7227644444444444
T0_W_A_C_2	0.7515822222222223	0.0	0.3045333333333333	0.9675911111111111	0.9642311111111111	0.9701511111111111	0.96792	0.9714755555555555	0.97112	0.9749155555555555	0.9626755555555555	0.9788355555555556	0.9748355555555556	0.9713244444444444	0.9689511111111111	0.8555466666666667	0.87856	0.8735555555555555	0.8526222222222222	0.7873511111111111	0.85368	0.9851555555555556	0.9693155555555556	0.9578755555555556	0.9545866666666667	0.6568088888888889	0.7980977777777778	0.668	0.6299733333333334	0.6859555555555555
T0_W_D_E_2	0.71024	0.3045333333333333	0.0	0.9630577777777778	0.9591022222222222	0.9633066666666666	0.9630666666666666	0.9658844444444444	0.9667644444444444	0.9719555555555556	0.9613422222222222	0.9762488888888889	0.9721066666666667	0.9696977777777778	0.9630133333333334	0.8569777777777777	0.8785244444444444	0.8703733333333333	0.8519466666666666	0.7960266666666667	0.8691377777777778	0.9833777777777778	0.9614133333333333	0.9537422222222223	0.9517688888888889	0.6140622222222222	0.7645777777777778	0.63792	0.6497422222222222	0.6911377777777777
T10_432_DAM_B_A_2	0.8504088888888889	0.9675911111111111	0.9630577777777778	0.0	0.5501244444444444	0.45809777777777777	0.4997066666666667	0.5097333333333334	0.40426666666666666	0.5269422222222222	0.5495555555555556	0.5888888888888889	0.5615022222222222	0.57016	0.5100444444444444	0.6225066666666667	0.6877866666666667	0.7195822222222222	0.7230044444444444	0.9648355555555556	0.9721955555555556	0.9036266666666667	0.8985333333333333	0.8349955555555556	0.8379644444444444	0.8385866666666667	0.8553688888888888	0.8487822222222222	0.9577511111111111	0.9457777777777778
T10_432_DAM_B_B_2	0.7940355555555556	0.9642311111111111	0.9591022222222222	0.5501244444444444	0.0	0.3723911111111111	0.47731555555555555	0.42246222222222224	0.5552444444444444	0.42488	0.5193066666666667	0.8599822222222222	0.5327822222222223	0.5154488888888888	0.36563555555555555	0.72552	0.7701866666666667	0.74336	0.7653155555555555	0.9492177777777778	0.9235288888888888	0.8766044444444444	0.8107022222222222	0.7042844444444445	0.70784	0.7849955555555556	0.7936977777777777	0.7782755555555556	0.9337244444444445	0.9295911111111111
T10_432_DAM_B_C_2	0.8353333333333334	0.9701511111111111	0.9633066666666666	0.45809777777777777	0.3723911111111111	0.0	0.4792622222222222	0.42289777777777776	0.39983111111111114	0.4840088888888889	0.4074844444444444	0.8274222222222222	0.5160088888888889	0.5029777777777777	0.4103911111111111	0.6661066666666666	0.73104	0.7518577777777777	0.7747822222222223	0.9585422222222222	0.9528977777777777	0.9291466666666667	0.8233866666666667	0.7588	0.7632177777777778	0.8306666666666667	0.8451022222222222	0.8324177777777778	0.9543644444444445	0.9462133333333334
T10_432_DAM_B_D_2	0.8229688888888889	0.96792	0.9630666666666666	0.4997066666666667	0.47731555555555555	0.4792622222222222	0.0	0.29072888888888887	0.3907822222222222	0.31877333333333335	0.5405511111111111	0.83584	0.41414222222222224	0.37391111111111114	0.3367111111111111	0.6869955555555556	0.6521244444444444	0.6925955555555555	0.6697955555555556	0.9658577777777778	0.9686311111111111	0.9195022222222222	0.8613155555555555	0.8259822222222222	0.8298666666666666	0.8070311111111111	0.8498933333333333	0.7715022222222222	0.9538933333333334	0.9588711111111111
T10_432_DAM_B_E_2	0.8290755555555556	0.9714755555555555	0.9658844444444444	0.5097333333333334	0.42246222222222224	0.42289777777777776	0.29072888888888887	0.0	0.3699822222222222	0.4001955555555556	0.5713422222222222	0.8635288888888889	0.41242666666666666	0.33837333333333336	0.2949866666666667	0.7027466666666666	0.6988622222222223	0.7246666666666667	0.7027555555555556	0.9614577777777777	0.9755822222222222	0.9112444444444444	0.9010933333333333	0.8189511111111111	0.8382755555555556	0.8202755555555555	0.8385066666666666	0.8042044444444445	0.9474933333333333	0.9550666666666666
T10_432_DAM_B_F_2	0.8465422222222222	0.97112	0.9667644444444444	0.40426666666666666	0.5552444444444444	0.39983111111111114	0.3907822222222222	0.3699822222222222	0.0	0.4553422222222222	0.4507111111111111	0.7453955555555556	0.5359911111111111	0.42050666666666664	0.4213955555555556	0.6662044444444445	0.6445688888888889	0.7049511111111111	0.6940888888888889	0.9583555555555555	0.9661422222222222	0.9331644444444445	0.8484355555555556	0.8020088888888889	0.82048	0.83536	0.8601955555555556	0.7956177777777778	0.95528	0.93944
T10_432_DAM_B_G_2	0.8396177777777778	0.9749155555555555	0.9719555555555556	0.5269422222222222	0.42488	0.4840088888888889	0.31877333333333335	0.4001955555555556	0.4553422222222222	0.0	0.5026488888888889	0.8722044444444444	0.46128	0.43751111111111113	0.34141333333333335	0.7378222222222223	0.7650044444444445	0.7607911111111111	0.7498933333333333	0.9658488888888889	0.9539644444444444	0.9321955555555556	0.8507466666666667	0.8081244444444444	0.8079733333333333	0.8289688888888889	0.8607288888888889	0.8283022222222223	0.9563822222222222	0.9587822222222222
