	5A_C_432_9509_DAM_2	T0_W_A_C_2	T0_W_D_E_2	T10_432_DAM_B_A_2	T10_432_DAM_B_B_2	T10_432_DAM_B_C_2	T10_432_DAM_B_D_2	T10_432_DAM_B_E_2	T10_432_DAM_B_F_2	T10_432_DAM_B_G_2	T10_432_DAM_B_H_2	T10_432_DAM_B_I_2	T10_432_DAM_B_K_2	T10_432_DAM_B_L_2	T10_432_DAM_BJ_2	T10_432_DAM_W_A_C_2	T10_432_DAM_W_D_F_2	T10_432_DAM_W_G_I_2	T10_432_DAM_W_J_L_2	T10_W_A_C_2	T10_W_D_E_2	T5_432_DAM_B_H_2	T5_432_DAM_B_I_2	T5_432_DAM_B_J_2	T5_432_DAM_B_L_2	T5_432_DAM_W_D_F_2	T5_432_DAM_W_G_I_2	T5_432_DAM_W_J_L_2	T5_W_A_C_2	T5_W_D_E_2
5A_C_432_9509_DAM_2	0.0	0.771689497716895	0.764392839864538	0.9429559204840103	0.8855368234250222	0.9147826086956522	0.9031971580817052	0.8958691910499139	0.9192439862542955	0.925589836660617	0.9392605633802817	0.9584837545126353	0.9046345811051694	0.9090909090909091	0.8856900931414056	0.7951625094482238	0.8034508627156789	0.8286176232821342	0.8022900763358779	0.7631759069130732	0.7919463087248322	0.9407008086253369	0.9208006962576153	0.9190600522193212	0.9078838174273859	0.6360316494217894	0.6249078850405306	0.6468085106382979	0.6986607142857143	0.7517361111111112
T0_W_A_C_2	0.771689497716895	0.0	0.6294855166450497	0.9737723214285714	0.961730449251248	0.9638688160088938	0.9606962380685008	0.9588815789473685	0.963495575221239	0.9749430523917996	0.9723476297968398	0.9821736630247269	0.9646464646464646	0.9680314077397645	0.9612903225806452	0.8695652173913043	0.8776649746192894	0.8795442213781878	0.8542212899842685	0.7768803634528016	0.8181818181818182	0.9789533560864618	0.9654403567447045	0.9620111731843576	0.9545454545454546	0.7469298245614036	0.7851199216837983	0.7419212040725985	0.728762397585166	0.7418330308529946
T0_W_D_E_2	0.764392839864538	0.6294855166450497	0.0	0.9672528805336568	0.9554753309265944	0.9558912386706948	0.9529914529914529	0.9530878859857482	0.9549007817197835	0.9683818970861748	0.964987714987715	0.9761904761904762	0.9572910311165345	0.9616087751371115	0.9539895165987187	0.8635616438356164	0.865500273373428	0.8612750885478159	0.8338076266363119	0.7743837084673098	0.8188976377952756	0.9765576804441702	0.9607250755287009	0.9519172245891662	0.9460093896713615	0.7379406307977736	0.7857142857142857	0.7448979591836735	0.7200728265817024	0.7496443812233285
T10_432_DAM_B_A_2	0.9429559204840103	0.9737723214285714	0.9672528805336568	0.0	0.7764350453172205	0.6587837837837838	0.7848101265822784	0.7899159663865546	0.652317880794702	0.7757352941176471	0.7032967032967034	0.7782258064516129	0.7687296416938111	0.788961038961039	0.7795275590551181	0.8317610062893082	0.8375	0.8925925925925926	0.8902627511591963	0.9540481400437637	0.9537414965986395	0.8993288590604027	0.8388059701492537	0.8258258258258259	0.8015463917525774	0.9461713419257013	0.9338235294117647	0.9414934565050038	0.9643356643356643	0.9493161705551086
T10_432_DAM_B_B_2	0.8855368234250222	0.961730449251248	0.9554753309265944	0.7764350453172205	0.0	0.760806916426513	0.680379746835443	0.7083333333333334	0.7743732590529248	0.6881720430107527	0.7753164556962026	0.8648648648648649	0.6869009584664537	0.7232704402515723	0.6128133704735376	0.8588235294117647	0.8820143884892087	0.863063063063063	0.8723723723723724	0.9284940411700975	0.9205921938088829	0.8392282958199357	0.8011363636363636	0.7885714285714286	0.78239608801956	0.8934681181959565	0.8779443254817987	0.8869565217391304	0.9345531315974666	0.944006309148265
T10_432_DAM_B_C_2	0.9147826086956522	0.9638688160088938	0.9558912386706948	0.6587837837837838	0.760806916426513	0.0	0.7827380952380952	0.7813333333333333	0.65	0.7905405405405406	0.6014760147601476	0.7622641509433963	0.7750759878419453	0.7865853658536586	0.775	0.7981220657276995	0.8330804248861912	0.8652094717668488	0.8621745788667687	0.9325353645266594	0.9299191374663073	0.896875	0.8137535816618912	0.8148148148148148	0.7780548628428927	0.9198473282442748	0.9006342494714588	0.918918918918919	0.9461161651504548	0.9352
T10_432_DAM_B_D_2	0.9031971580817052	0.9606962380685008	0.9529914529914529	0.7848101265822784	0.680379746835443	0.7827380952380952	0.0	0.5904761904761905	0.7455089820359282	0.6575875486381323	0.8116883116883117	0.8333333333333334	0.6267605633802817	0.6101083032490975	0.6601123595505618	0.8595166163141994	0.8493150684931506	0.8512241054613936	0.8575899843505478	0.9466811751904244	0.9359673024523161	0.8704318936877077	0.8100890207715133	0.7934131736526946	0.7984886649874056	0.9046875	0.9016042780748663	0.8912869704236611	0.938122332859175	0.949800796812749
T10_432_DAM_B_E_2	0.8958691910499139	0.9588815789473685	0.9530878859857482	0.7899159663865546	0.7083333333333334	0.7813333333333333	0.5904761904761905	0.0	0.7612732095490716	0.6677966101694915	0.8205128205128205	0.8439490445859873	0.6925373134328359	0.6383647798742138	0.6607142857142857	0.8721910112359551	0.8547008547008547	0.8556521739130435	0.8525073746312685	0.9438669438669439	0.9398976982097187	0.855457227138643	0.8427835051546392	0.8131578947368421	0.8202247191011236	0.898176291793313	0.8917525773195877	0.8893188854489165	0.937973811164714	0.9492307692307692
T10_432_DAM_B_F_2	0.9192439862542955	0.963495575221239	0.9549007817197835	0.652317880794702	0.7743732590529248	0.65	0.7455089820359282	0.7612732095490716	0.0	0.7609427609427609	0.6813559322033899	0.779783393501805	0.7671641791044777	0.7598784194528876	0.7405541561712846	0.7993827160493827	0.7922480620155039	0.8696428571428572	0.8659638554216867	0.9412393162393162	0.9365079365079365	0.9099099099099099	0.8156424581005587	0.8	0.7980769230769231	0.9309827456864216	0.9130434782608695	0.9211935730680949	0.9530386740331491	0.9374009508716323
T10_432_DAM_B_G_2	0.925589836660617	0.9749430523917996	0.9683818970861748	0.7757352941176471	0.6881720430107527	0.7905405405405406	0.6575875486381323	0.6677966101694915	0.7609427609427609	0.0	0.7790697674418605	0.8214285714285714	0.6547619047619048	0.6477732793522267	0.6561514195583596	0.9	0.8984375	0.8729838709677419	0.8887070376432079	0.9555808656036446	0.9541547277936963	0.8754863813229572	0.8215488215488216	0.8067796610169492	0.8232044198895028	0.9345425867507886	0.9155555555555556	0.919967663702506	0.9573391178597253	0.9623259623259623
