	5A_C_432_9509_DAM_2	T0_W_A_C_2	T0_W_D_E_2	T10_432_DAM_B_A_2	T10_432_DAM_B_B_2	T10_432_DAM_B_C_2	T10_432_DAM_B_D_2	T10_432_DAM_B_E_2	T10_432_DAM_B_F_2	T10_432_DAM_B_G_2	T10_432_DAM_B_H_2	T10_432_DAM_B_I_2	T10_432_DAM_B_K_2	T10_432_DAM_B_L_2	T10_432_DAM_BJ_2	T10_432_DAM_W_A_C_2	T10_432_DAM_W_D_F_2	T10_432_DAM_W_G_I_2	T10_432_DAM_W_J_L_2	T10_W_A_C_2	T10_W_D_E_2	T5_432_DAM_B_H_2	T5_432_DAM_B_I_2	T5_432_DAM_B_J_2	T5_432_DAM_B_L_2	T5_432_DAM_W_D_F_2	T5_432_DAM_W_G_I_2	T5_432_DAM_W_J_L_2	T5_W_A_C_2	T5_W_D_E_2
5A_C_432_9509_DAM_2	0.0	0.43572237402866304	0.4044637534153702	0.7959556776488316	0.7632116078750604	0.7719309497850643	0.7734191262470439	0.7605133181891589	0.7752453173638685	0.8055496624287715	0.7669425925638534	0.7926621998579195	0.773231916451418	0.7827974402534711	0.7572639557706987	0.4101069787772647	0.44073891913183993	0.5226278665836069	0.4653214110855128	0.35748154671737076	0.4360470765200733	0.7921575568266392	0.7653395436806618	0.7831113401131582	0.7405389954842225	0.24672981353406823	0.3042207071046053	0.3007313798297248	0.33590862369735236	0.3441624791109398
T0_W_A_C_2	0.43572237402866304	0.0	0.2494863353381087	0.8589321398214772	0.84322900949765	0.8503310307559626	0.8483487849251303	0.8409159564997637	0.849309394239024	0.8808229850273941	0.8582838484673707	0.8672529059328569	0.8490531204162634	0.8515196412161978	0.8442221961311028	0.6106487569406112	0.6140406416228282	0.6864245122539505	0.6408025924710288	0.520356200787424	0.5813134025656552	0.8549458126520387	0.8404925584161608	0.8470349569244899	0.8179155804646843	0.4021210609491945	0.5004619041606362	0.39413912109677945	0.3580278958250679	0.3968023747212529
T0_W_D_E_2	0.4044637534153702	0.2494863353381087	0.0	0.8515782001905973	0.8312276481502197	0.8394717736490162	0.8350047850848626	0.82752486307071	0.8372627758626712	0.8669974025098707	0.8421673343456495	0.8506147702885275	0.8335034494156878	0.8392998709543499	0.8343199101994055	0.583051895855084	0.5943716910942443	0.6651245502189579	0.6219466523991943	0.4963613225327908	0.5539048812548617	0.8428876395109464	0.8317286746300409	0.8370470293437805	0.8002272203154323	0.36759689544785834	0.47391323666653906	0.3780244210666277	0.34356062448872	0.3896749615601905
T10_432_DAM_B_A_2	0.7959556776488316	0.8589321398214772	0.8515782001905973	0.0	0.38108867392795304	0.4098806936759628	0.4338084759481849	0.39200395122695425	0.35761680049107425	0.34500358474266596	0.357109603066179	0.48346298214892164	0.4303659057215843	0.3388097576647947	0.4135509961193736	0.7072577747373893	0.6989439102568464	0.6392306239142872	0.6833961699841928	0.7833364713248376	0.7639686744130988	0.5197800196480573	0.4097382574082687	0.4483675219907344	0.4550284250441087	0.8090358665638779	0.7670465746138614	0.802469256382561	0.8279288966939238	0.8224886237478911
T10_432_DAM_B_B_2	0.7632116078750604	0.84322900949765	0.8312276481502197	0.38108867392795304	0.0	0.4444756945053113	0.4229379191643779	0.37381615758332326	0.44837004279951737	0.40547316434929853	0.4275424331251103	0.47988910870244145	0.4325199763940323	0.38702511248010485	0.3986735726064422	0.655814047751012	0.6674234099165268	0.6019541752076949	0.6595228698747853	0.7453462148833822	0.7066583274260403	0.5336211620720553	0.479457345252165	0.4970204075436018	0.49527720160027455	0.771906853077488	0.7367657386933464	0.774100868766007	0.8032669889785988	0.7992358085514095
T10_432_DAM_B_C_2	0.7719309497850643	0.8503310307559626	0.8394717736490162	0.4098806936759628	0.4444756945053113	0.0	0.477773220157491	0.4199129765167238	0.39960018017940563	0.3824478500712118	0.36782368294479983	0.39557170403583003	0.41705640873095046	0.4397837401885725	0.4774906663917832	0.6670981560762957	0.6837134120007002	0.6091889880228444	0.6551201184074736	0.7589929387045539	0.7288964383747432	0.5476431076712808	0.5040679029157631	0.5135799676799381	0.4832819478921164	0.7869370802669083	0.751903326802137	0.7871415668316892	0.8170680738784311	0.8136392737056383
T10_432_DAM_B_D_2	0.7734191262470439	0.8483487849251303	0.8350047850848626	0.4338084759481849	0.4229379191643779	0.477773220157491	0.0	0.340253036147414	0.4109511481529362	0.41939683552834284	0.4611210419499832	0.5113112978491854	0.4257124876895191	0.3632625470941964	0.44771447022958594	0.6657099792388922	0.6664209106927538	0.6128048502221949	0.6561429561042061	0.758308709148818	0.7245441138057261	0.5485266323761718	0.5097475468706694	0.46847026576653206	0.47321634037367755	0.7880883320749822	0.7473260484839173	0.7871029244456714	0.8087178679724916	0.8077900742843457
T10_432_DAM_B_E_2	0.7605133181891589	0.8409159564997637	0.82752486307071	0.39200395122695425	0.37381615758332326	0.4199129765167238	0.340253036147414	0.0	0.39497196343831653	0.3822050639131356	0.4442012065081156	0.48347695641733374	0.37384080641000683	0.33712245281727976	0.393317658972188	0.6465533829594352	0.6486915693226218	0.596243720972505	0.6549687590758397	0.7423204157770644	0.7034519353363862	0.5341509531901895	0.47264501062229675	0.46596434991180485	0.44519917798644604	0.7716591163571701	0.73206440399239	0.7705886682597112	0.8027235912988027	0.7969094774571552
T10_432_DAM_B_F_2	0.7752453173638685	0.849309394239024	0.8372627758626712	0.35761680049107425	0.44837004279951737	0.39960018017940563	0.4109511481529362	0.39497196343831653	0.0	0.4300970934422593	0.4125200421521442	0.4747091322729805	0.3749182633836909	0.37668942435944913	0.4450497390168545	0.6820845684704854	0.6739738110742871	0.6111772050774942	0.6623589410337284	0.7717719406321579	0.7403630974794988	0.5379296392152847	0.44205785476328197	0.46199635845711284	0.43168644404884676	0.7956746543621797	0.7461587548300012	0.786421621721648	0.8196656784240157	0.8114596718110348
T10_432_DAM_B_G_2	0.8055496624287715	0.8808229850273941	0.8669974025098707	0.34500358474266596	0.40547316434929853	0.3824478500712118	0.41939683552834284	0.3822050639131356	0.4300970934422593	0.0	0.3034922084465181	0.4301252418472227	0.43962045503269054	0.3620416823758889	0.3904512422402827	0.7326146529234807	0.7353458956941006	0.6687204137610749	0.7181339788268033	0.8052310986345461	0.7776378796296379	0.5437085441471217	0.46399025249054965	0.46495711637312354	0.5149823079814793	0.8198451728769296	0.7974823717635321	0.827522837837883	0.8531383646965317	0.8526554763474506
