	5A_C_432_9509_DAM_2	T0_W_A_C_2	T0_W_D_E_2	T10_432_DAM_B_A_2	T10_432_DAM_B_B_2	T10_432_DAM_B_C_2	T10_432_DAM_B_D_2	T10_432_DAM_B_E_2	T10_432_DAM_B_F_2	T10_432_DAM_B_G_2	T10_432_DAM_B_H_2	T10_432_DAM_B_I_2	T10_432_DAM_B_K_2	T10_432_DAM_B_L_2	T10_432_DAM_BJ_2	T10_432_DAM_W_A_C_2	T10_432_DAM_W_D_F_2	T10_432_DAM_W_G_I_2	T10_432_DAM_W_J_L_2	T10_W_A_C_2	T10_W_D_E_2	T5_432_DAM_B_H_2	T5_432_DAM_B_I_2	T5_432_DAM_B_J_2	T5_432_DAM_B_L_2	T5_432_DAM_W_D_F_2	T5_432_DAM_W_G_I_2	T5_432_DAM_W_J_L_2	T5_W_A_C_2	T5_W_D_E_2
5A_C_432_9509_DAM_2	0.0	0.25833179167298687	0.2801007287267111	0.3931998212616976	0.41088524042382224	0.5375187030712891	0.5196694979063289	0.46896483750679113	0.4217551223279644	0.5296748797904534	0.43590531409931565	0.6074242813212535	0.5485044535466844	0.5315993412328623	0.49133903010211555	0.2840748317714221	0.2673847549814845	0.42225045024504	0.4253682520951112	0.5218653003471467	0.7642272511421155	0.27761803917164446	0.5754483466908356	0.44450087497483554	0.4583147662045868	0.19265144931533323	0.2568893031102489	0.12827404450369784	0.30133125717978665	0.33560810167102206
T0_W_A_C_2	0.25833179167298687	0.0	0.08992150964757321	0.49123531196702225	0.4966377421608976	0.6070049380575555	0.5716178101400265	0.5297727738836887	0.48759966789209763	0.5901334596391733	0.5435766142581333	0.6741159229327289	0.5981684561535198	0.5946167947598043	0.5698448468091288	0.34257071038286224	0.34171737593966245	0.5018149131317687	0.45008471315126214	0.5168626642344266	0.7653031787046132	0.44382162305746675	0.6915092445396976	0.5752900792073953	0.5835890283891111	0.3023422787667023	0.40976251884520876	0.23404791082390214	0.30874779222664017	0.37329972172395554
T0_W_D_E_2	0.2801007287267111	0.08992150964757321	0.0	0.519230691355982	0.5147374012999377	0.6239851366827113	0.58395780423624	0.5436533125003822	0.5014049577530044	0.5977624057359379	0.5530160940510045	0.6760329021511469	0.6025921779676533	0.6084354545334579	0.5850399887291111	0.37476910156110216	0.37230971739075563	0.5166506252645688	0.43294998713808897	0.4951305819083823	0.7468023989003645	0.47221443040408007	0.6983233530732801	0.5835926129187021	0.5914452990048801	0.31427654482856876	0.4150196053713422	0.23284117200850668	0.33808880163243554	0.39879714903369756
T10_432_DAM_B_A_2	0.3931998212616976	0.49123531196702225	0.519230691355982	0.0	0.3144087216773065	0.4120714428970222	0.3805355624247021	0.3175421180244888	0.27703351195805315	0.369106189801271	0.3227180261398044	0.4310894246875022	0.3169269000651465	0.33007410838618656	0.32783895845229316	0.24349033904668452	0.2446988690883909	0.48155189822442657	0.5196881602394755	0.7259451005215556	0.9381181797825153	0.293514068693271	0.6180761261171555	0.47191339691230194	0.4917992030960799	0.40285471018179564	0.5288981234881954	0.4055727157855199	0.4517412826304623	0.47164285870418665
T10_432_DAM_B_B_2	0.41088524042382224	0.4966377421608976	0.5147374012999377	0.3144087216773065	0.0	0.18075177852088897	0.2085235371866311	0.14438910355182222	0.1335582270344889	0.19202677218375114	0.13113774408201784	0.3048932482381957	0.25699874017516444	0.21186109588381336	0.17732159228467553	0.4091366003568799	0.3347851989000445	0.26411401219586667	0.35047987368378675	0.5519917314539555	0.7636404021835912	0.3448220965086044	0.42389631298208885	0.28583168154196437	0.2972932546761779	0.5275440382883289	0.3039208745571822	0.360017200383271	0.5889636638353244	0.6137037999647821
T10_432_DAM_B_C_2	0.5375187030712891	0.6070049380575555	0.6239851366827113	0.4120714428970222	0.18075177852088897	0.0	0.12589769824323543	0.14226369736016012	0.2165271301499379	0.15348884190167117	0.2160770609275467	0.2182791595122756	0.17126320658389346	0.15495599314056002	0.11921110558334236	0.515942581718231	0.45402502740671125	0.25504065071677345	0.3799204288060267	0.5017170775143645	0.6831656511086932	0.48645175955379566	0.36798412589904883	0.3559629638723113	0.3548856879333512	0.6524591735329511	0.3425803965703379	0.4913314849328534	0.7136867707896	0.7378999266767465
T10_432_DAM_B_D_2	0.5196694979063289	0.5716178101400265	0.58395780423624	0.3805355624247021	0.2085235371866311	0.12589769824323543	0.0	0.1628391248557867	0.20380417025052447	0.09950084712399995	0.19568872346230215	0.15923341005741348	0.12025515639854228	0.10069315411520882	0.1008638059718578	0.47470048212934207	0.3779052000713512	0.20899870140646226	0.30951188603185764	0.4929427008414755	0.6694255064724445	0.47030264208319994	0.3472557685390667	0.3448678196773601	0.33528781877011543	0.6215638377591377	0.3609324647941956	0.45236336199694216	0.6913100689847467	0.724498242887111
T10_432_DAM_B_E_2	0.46896483750679113	0.5297727738836887	0.5436533125003822	0.3175421180244888	0.14438910355182222	0.14226369736016012	0.1628391248557867	0.0	0.11235707783073781	0.18759992915468449	0.1622890493201688	0.27484926815158234	0.18184985824407107	0.1426306102336623	0.1380635651271111	0.4310728824525065	0.36049180171727113	0.25472525801840884	0.3202192054308801	0.53835412056272	0.7538774402207644	0.4213868601533511	0.4522643019423557	0.30875237654605325	0.3296093300722845	0.5869476833852176	0.2845189389404711	0.4236040967370844	0.6472144469261333	0.6726347929157688
T10_432_DAM_B_F_2	0.4217551223279644	0.48759966789209763	0.5014049577530044	0.27703351195805315	0.1335582270344889	0.2165271301499379	0.20380417025052447	0.11235707783073781	0.0	0.22424687539139565	0.1942006937135379	0.2906230010829424	0.24800197909971552	0.17880373110418674	0.19844076445148445	0.3826507794458399	0.29130828387154667	0.2781385136798667	0.3561758946498311	0.5959291285914312	0.8076372217190577	0.3718236408005866	0.495086591166249	0.36075354317124436	0.374404733916409	0.5358787270179288	0.3499783526465334	0.3686228919665777	0.6046269932414577	0.6295952916440176
T10_432_DAM_B_G_2	0.5296748797904534	0.5901334596391733	0.5977624057359379	0.369106189801271	0.19202677218375114	0.15348884190167117	0.09950084712399995	0.18759992915468449	0.22424687539139565	0.0	0.15074164510240887	0.15060096190619565	0.12473567833914656	0.11613981263604443	0.0929558501111112	0.48950118554552	0.405747215587849	0.2145683567741423	0.3320501413298844	0.4788916917904	0.6853735135203732	0.4347599006069156	0.34397742531803555	0.30670999585021347	0.3008359112872355	0.6412533906411111	0.3690287233953156	0.4647726656822223	0.6930658063993245	0.7168225327321954
