"Genus"	"Phylum"	"Family"	"(Intercept) Estimate"	"(Intercept) Std. Error"	"(Intercept) t value"	"(Intercept) Pr(>|t|)"	"model.TIME7 Estimate"	"model.TIME7 Std. Error"	"model.TIME7 t value"	"model.TIME7 Pr(>|t|)"	"model.SPECIESS_polyrhiza432_9509 Estimate"	"model.SPECIESS_polyrhiza432_9509 Std. Error"	"model.SPECIESS_polyrhiza432_9509 t value"	"model.SPECIESS_polyrhiza432_9509 Pr(>|t|)"	"model.TREATMENTSD_treated Estimate"	"model.TREATMENTSD_treated Std. Error"	"model.TREATMENTSD_treated t value"	"model.TREATMENTSD_treated Pr(>|t|)"	"(Intercept) Pr(>|t|).BH"	"model.TIME7 Pr(>|t|).BH"	"model.SPECIESS_polyrhiza432_9509 Pr(>|t|).BH"	"model.TREATMENTSD_treated Pr(>|t|).BH"
"Achromobacter"	"Proteobacteria"	"Alcaligenaceae"	0.181231571758176	1.81352375386237	0.199861139944011	0.620473390635508	-2.00121555241805	1.85072811546153	-1.19549372206766	0.365280547821728	-4.34151710407781	1.85072811546153	-2.50978066250578	0.0853379706865589	0.40933776233156	1.80881940416421	0.220836163592713	0.577711220320391	1	0.995911681581073	0.875102232698616	1
"Acidovorax"	"Proteobacteria"	"Comamonadaceae"	9.89892551843463	1.88201793043409	5.40244003132314	0.000527959235802648	-7.07153694550637	1.92062744711169	-3.73121179220629	0.0038500331809606	-4.44684376907038	1.92062744711169	-2.34973947445257	0.0410849805614854	-0.401415518268086	1.87713590423283	-0.215385658377149	0.73959243464521	0.0566145130266369	0.441524621173194	1	1
"Acinetobacter"	"Proteobacteria"	"Moraxellaceae"	6.25196022478798	1.37441141139511	4.55766969232843	0.00087483155934507	-4.21185579853764	1.40260740222602	-3.00665673615146	0.012367205840643	2.51416948367965	1.40260740222602	1.79771152753412	0.102156977496335	-1.25627031709712	1.37084613583995	-0.91547972716708	0.381789271855965	0.0958356363991014	0.983807019450791	1	1
"Acinetobacter"	"Proteobacteria"	"Moraxellaceae"	6.25196022478798	1.37441141139511	4.55766969232843	0.00087483155934507	-4.21185579853764	1.40260740222602	-3.00665673615146	0.012367205840643	2.51416948367965	1.40260740222602	1.79771152753412	0.102156977496335	-1.25627031709712	1.37084613583995	-0.91547972716708	0.381789271855965	0.0958356363991014	0.983807019450791	1	1
"Actinomyces"	"Actinobacteria"	"Actinomycetaceae"	-3.70276414079468	1.75410378868635	-2.17253672054897	0.118407388941697	-2.38941753096681	1.79008915226251	-1.43925358681687	0.286394927342634	-0.612533504117231	1.79008915226251	-0.36387578779964	0.521045381558581	1.85068467615428	1.74955357664128	1.16612576908381	0.354615574829913	0.929056492869797	0.978485577449092	1	0.993482796893915
"Aerococcus"	"Firmicutes"	"Aerococcaceae"	-4.44204624784029	1.69793564248063	-2.6988833026326	0.0568074134871215	-1.88070078403775	1.73276871895973	-1.20703179476054	0.353376079545061	0.44285472333946	1.73276871895973	0.282458701505526	0.523316262035884	0.866875828526088	1.69353113274637	0.541730990050849	0.489849724541368	0.809053829648861	0.976616046112345	0.997184752321272	1
"Agrobacterium"	"Proteobacteria"	"Rhizobiaceae"	8.14100162232393	0.474144103712359	17.2581926935687	3.56886356300986e-09	-0.00902417968441789	0.483871149551739	-0.019233572117044	0.857476834242102	-1.69758814789708	0.483871149551739	-3.52451788228689	0.00552352024653104	0.0161695069449994	0.472914155846261	0.0359431361148416	0.85608627566709	4.52314269699096e-07	1	0.637652779401373	1
"Agrobacterium"	"Proteobacteria"	"Rhizobiaceae"	8.14100162232393	0.474144103712359	17.2581926935687	3.56886356300986e-09	-0.00902417968441789	0.483871149551739	-0.019233572117044	0.857476834242102	-1.69758814789708	0.483871149551739	-3.52451788228689	0.00552352024653104	0.0161695069449994	0.472914155846261	0.0359431361148416	0.85608627566709	4.52314269699096e-07	1	0.637652779401373	1
"Anaeromyxobacter"	"Proteobacteria"	"Myxococcaceae"	-5.44531067033265	2.01795941881466	-2.86316350076883	0.0553878837158996	-1.12322447371175	2.05935776926368	-0.557810327530419	0.520789180880417	1.35418126631489	2.05935776926368	0.725091412055387	0.486731626333851	2.06049380391243	2.01272475521427	1.15571401155684	0.363245689299316	0.751878447802907	1	1	0.992033492770465
"Ancylobacter"	"Proteobacteria"	"Xanthobacteraceae"	-1.39764012755975	1.81185860001353	-0.743083428291858	0.480216678179482	-1.56399351896144	1.8490288010533	-0.899284628184959	0.41265507832362	-2.7654856580106	1.8490288010533	-1.61063194958562	0.235672237416858	-0.279889526074026	1.80715856978789	-0.180637218242006	0.548042957622658	1	0.987637399331938	0.974887498641639	1
