"Genus"	"Phylum"	"Family"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"	"rab.all"	"rab.win.L_minor370_DWC112"	"rab.win.S_polyrhiza432_9509"	"diff.btw"	"diff.win"	"effect"	"overlap"
"Achromobacter"	"Proteobacteria"	"Alcaligenaceae"	0.0546079079169355	0.236821508090819	0.0459103396603397	0.210809155733464	-3.26515305117937	0.247298708689865	-4.63228280493912	-5.31951282416974	5.2050045367295	-0.931002249286983	0.158854527379495
"Acidovorax"	"Proteobacteria"	"Comamonadaceae"	0.0374167945267086	0.242957484893398	0.057967032967033	0.269119944356608	6.40275344350316	7.3634138947917	5.53465230322541	-2.56886160940258	4.42760155548461	-0.628435869562801	0.177083646408939
"Acinetobacter"	"Proteobacteria"	"Moraxellaceae"	0.205580770001602	0.532916226221633	0.183816183816184	0.495906652200552	5.1866258923398	4.50332742357022	7.83633913113608	2.9880641458607	3.33715189334482	0.618383743737392	0.290909233375191
"Acinetobacter"	"Proteobacteria"	"Moraxellaceae"	0.205580770001602	0.532916226221633	0.183816183816184	0.495906652200552	5.1866258923398	4.50332742357022	7.83633913113608	2.9880641458607	3.33715189334482	0.618383743737392	0.290909233375191
"Actinomyces"	"Actinobacteria"	"Actinomycetaceae"	0.528044071271566	0.751058385763339	0.581680819180819	0.776765539014942	-3.7265636401556	-3.15676853411854	-3.99507628515269	-0.886151617001363	5.09980126275829	-0.161510334725696	0.416666715107143
"Aerococcus"	"Firmicutes"	"Aerococcaceae"	0.558155536122015	0.77651638911552	0.594602272727273	0.790505126872234	-4.06734909180746	-4.25628251914175	-3.9693695485711	0.407840069977701	4.68775430671661	0.0840815507491948	0.460937522211308
"Agrobacterium"	"Proteobacteria"	"Rhizobiaceae"	0.00463738683610383	0.0874759200272789	0.00356206293706294	0.0503958303347379	7.05380436288087	8.16367094617812	6.67191711283121	-1.74999794304479	1.33121256277767	-1.2930757026111	0.0493519992944814
"Agrobacterium"	"Proteobacteria"	"Rhizobiaceae"	0.00463738683610383	0.0874759200272789	0.00356206293706294	0.0503958303347379	7.05380436288087	8.16367094617812	6.67191711283121	-1.74999794304479	1.33121256277767	-1.2930757026111	0.0493519992944814
"Anaeromyxobacter"	"Proteobacteria"	"Myxococcaceae"	0.48427587719249	0.709916365339102	0.532100711788212	0.747205432287232	-3.65746948822705	-4.11856075059166	-3.36457617449488	1.24135881670679	5.25253413902186	0.188834783105387	0.411458384991597
"Ancylobacter"	"Proteobacteria"	"Xanthobacteraceae"	0.250688938025684	0.48688733277548	0.218006993006993	0.465077932359544	-3.49229811010256	-1.13853314692213	-4.29407539074921	-3.20054028659208	4.84345958064241	-0.54929574461141	0.27083349728541
"Ancylobacter"	"Proteobacteria"	"Xanthobacteraceae"	0.250688938025684	0.48688733277548	0.218006993006993	0.465077932359544	-3.49229811010256	-1.13853314692213	-4.29407539074921	-3.20054028659208	4.84345958064241	-0.54929574461141	0.27083349728541
