	370(-)_SD_t2A	370(-)_SD_t2B	370(-)_SD_t7C	370(-)_W_t2A	370(-)_W_t2B	370(-)_W_t7C	432(-)_SD_t2A	432(-)_SD_t2B	432(-)_SD_t2C	432(-)_SD_t7C	432(-)_SD_t7D	432(-)_W_t2A	432(-)_W_t2B	432(-)_W_t7C	432(-)_W_t7D
370(-)_SD_t2A	0	0.337518518518518	0.52712037037037	0.445509259259259	0.561462962962963	0.580907407407407	0.68887037037037	0.622175925925926	0.581564814814815	0.694462962962963	0.785472222222222	0.715833333333333	0.679611111111111	0.806564814814815	0.74975
370(-)_SD_t2B	0.337518518518518	0	0.537814814814815	0.463185185185185	0.491527777777778	0.621851851851852	0.630027777777778	0.524074074074074	0.502796296296296	0.69662037037037	0.791268518518519	0.646555555555556	0.621833333333333	0.815574074074074	0.745157407407407
370(-)_SD_t7C	0.52712037037037	0.537814814814815	0	0.624694444444444	0.68937037037037	0.45487037037037	0.721527777777778	0.72562037037037	0.67912962962963	0.667055555555556	0.737768518518519	0.791972222222222	0.715444444444444	0.709259259259259	0.649824074074074
370(-)_W_t2A	0.445509259259259	0.463185185185185	0.624694444444444	0	0.37012037037037	0.640407407407407	0.578296296296296	0.585435185185185	0.515509259259259	0.639083333333333	0.695574074074074	0.626962962962963	0.577953703703704	0.773212962962963	0.730111111111111
370(-)_W_t2B	0.561462962962963	0.491527777777778	0.68937037037037	0.37012037037037	0	0.662518518518519	0.519231481481481	0.582888888888889	0.539314814814815	0.665555555555556	0.695222222222222	0.617805555555556	0.515240740740741	0.777898148148148	0.756231481481481
370(-)_W_t7C	0.580907407407407	0.621851851851852	0.45487037037037	0.640407407407407	0.662518518518519	0	0.699861111111111	0.75225	0.698814814814815	0.573981481481482	0.575037037037037	0.772740740740741	0.701333333333333	0.595925925925926	0.651287037037037
432(-)_SD_t2A	0.68887037037037	0.630027777777778	0.721527777777778	0.578296296296296	0.519231481481481	0.699861111111111	0	0.408092592592593	0.456953703703704	0.641796296296296	0.691814814814815	0.325592592592593	0.079787037037037	0.72362037037037	0.707490740740741
432(-)_SD_t2B	0.622175925925926	0.524074074074074	0.72562037037037	0.585435185185185	0.582888888888889	0.75225	0.408092592592593	0	0.282518518518519	0.607824074074074	0.736685185185185	0.346740740740741	0.391175925925926	0.743064814814815	0.67387962962963
432(-)_SD_t2C	0.581564814814815	0.502796296296296	0.67912962962963	0.515509259259259	0.539314814814815	0.698814814814815	0.456953703703704	0.282518518518519	0	0.543537037037037	0.698046296296296	0.496	0.447009259259259	0.697712962962963	0.625546296296296
432(-)_SD_t7C	0.694462962962963	0.69662037037037	0.667055555555556	0.639083333333333	0.665555555555556	0.573981481481482	0.641796296296296	0.607824074074074	0.543537037037037	0	0.413314814814815	0.689055555555556	0.642675925925926	0.507907407407407	0.50662037037037
432(-)_SD_t7D	0.785472222222222	0.791268518518519	0.737768518518519	0.695574074074074	0.695222222222222	0.575037037037037	0.691814814814815	0.736685185185185	0.698046296296296	0.413314814814815	0	0.739009259259259	0.693416666666667	0.465259259259259	0.56
432(-)_W_t2A	0.715833333333333	0.646555555555556	0.791972222222222	0.626962962962963	0.617805555555556	0.772740740740741	0.325592592592593	0.346740740740741	0.496	0.689055555555556	0.739009259259259	0	0.316	0.781787037037037	0.762046296296296
432(-)_W_t2B	0.679611111111111	0.621833333333333	0.715444444444444	0.577953703703704	0.515240740740741	0.701333333333333	0.079787037037037	0.391175925925926	0.447009259259259	0.642675925925926	0.693416666666667	0.316	0	0.727740740740741	0.70375
432(-)_W_t7C	0.806564814814815	0.815574074074074	0.709259259259259	0.773212962962963	0.777898148148148	0.595925925925926	0.72362037037037	0.743064814814815	0.697712962962963	0.507907407407407	0.465259259259259	0.781787037037037	0.727740740740741	0	0.311944444444444
432(-)_W_t7D	0.74975	0.745157407407407	0.649824074074074	0.730111111111111	0.756231481481481	0.651287037037037	0.707490740740741	0.67387962962963	0.625546296296296	0.50662037037037	0.56	0.762046296296296	0.70375	0.311944444444444	0
