	370(-)_SD_t2A	370(-)_SD_t2B	370(-)_SD_t7C	370(-)_W_t2A	370(-)_W_t2B	370(-)_W_t7C	432(-)_SD_t2A	432(-)_SD_t2B	432(-)_SD_t2C	432(-)_SD_t7C	432(-)_SD_t7D	432(-)_W_t2A	432(-)_W_t2B	432(-)_W_t7C	432(-)_W_t7D
370(-)_SD_t2A	0	0.608108108108108	0.698717948717949	0.779239766081871	0.803571428571429	0.7865055387714	0.855882352941176	0.836589698046181	0.852892561983471	0.888	0.906507791017415	0.876068376068376	0.857931034482759	0.888205128205128	0.871676300578035
370(-)_SD_t2B	0.608108108108108	0	0.697761194029851	0.802325581395349	0.768774703557312	0.798458149779736	0.828924162257496	0.803097345132743	0.842315369261477	0.893041237113402	0.922077922077922	0.875	0.839024390243902	0.903954802259887	0.886304909560723
370(-)_SD_t7C	0.698717948717949	0.697761194029851	0	0.813229571984436	0.822766570605187	0.647368421052632	0.846774193548387	0.86046511627907	0.83609022556391	0.824776785714286	0.854185418541854	0.871428571428571	0.844783715012723	0.81586978636826	0.783410138248848
370(-)_W_t2A	0.779239766081871	0.802325581395349	0.813229571984436	0	0.604651162790698	0.834224598930481	0.809459459459459	0.844512195121951	0.824483775811209	0.84549356223176	0.832432432432432	0.816976127320955	0.8125	0.859750240153698	0.855779427359491
370(-)_W_t2B	0.803571428571429	0.768774703557312	0.822766570605187	0.604651162790698	0	0.838771593090211	0.766929133858268	0.808664259927798	0.805128205128205	0.842603550295858	0.825490196078431	0.834067547723935	0.783941605839416	0.842720510095643	0.843160377358491
370(-)_W_t7C	0.7865055387714	0.798458149779736	0.647368421052632	0.834224598930481	0.838771593090211	0	0.848066298342541	0.894117647058824	0.863680623174294	0.806930693069307	0.796242774566474	0.868161434977578	0.840463458110517	0.74232633279483	0.757289879931389
432(-)_SD_t2A	0.855882352941176	0.828924162257496	0.846774193548387	0.809459459459459	0.766929133858268	0.848066298342541	0	0.807823129251701	0.766666666666667	0.831422018348624	0.850649350649351	0.661858974358974	0.500857632933105	0.835051546391753	0.834663625997719
432(-)_SD_t2B	0.836589698046181	0.803097345132743	0.86046511627907	0.844512195121951	0.808664259927798	0.894117647058824	0.807823129251701	0	0.703781512605042	0.810092961487384	0.887337986041874	0.803361344537815	0.811708860759494	0.820843091334895	0.799732977303071
432(-)_SD_t2C	0.852892561983471	0.842315369261477	0.83609022556391	0.824483775811209	0.805128205128205	0.863680623174294	0.766666666666667	0.703781512605042	0	0.75	0.849601593625498	0.7984	0.765625	0.775175644028103	0.770642201834862
432(-)_SD_t7C	0.888	0.893041237113402	0.824776785714286	0.84549356223176	0.842603550295858	0.806930693069307	0.831422018348624	0.810092961487384	0.75	0	0.75736568457539	0.838782412626832	0.823982398239824	0.681592039800995	0.661166116611661
432(-)_SD_t7D	0.906507791017415	0.922077922077922	0.854185418541854	0.832432432432432	0.825490196078431	0.796242774566474	0.850649350649351	0.887337986041874	0.849601593625498	0.75736568457539	0	0.856358645928637	0.840827338129496	0.76102646351243	0.787341772151899
432(-)_W_t2A	0.876068376068376	0.875	0.871428571428571	0.816976127320955	0.834067547723935	0.868161434977578	0.661858974358974	0.803361344537815	0.7984	0.838782412626832	0.856358645928637	0	0.665158371040724	0.843971631205674	0.848383500557414
432(-)_W_t2B	0.857931034482759	0.839024390243902	0.844783715012723	0.8125	0.783941605839416	0.840463458110517	0.500857632933105	0.811708860759494	0.765625	0.823982398239824	0.840827338129496	0.665158371040724	0	0.82	0.824561403508772
432(-)_W_t7C	0.888205128205128	0.903954802259887	0.81586978636826	0.859750240153698	0.842720510095643	0.74232633279483	0.835051546391753	0.820843091334895	0.775175644028103	0.681592039800995	0.76102646351243	0.843971631205674	0.82	0	0.587234042553191
432(-)_W_t7D	0.871676300578035	0.886304909560723	0.783410138248848	0.855779427359491	0.843160377358491	0.757289879931389	0.834663625997719	0.799732977303071	0.770642201834862	0.661166116611661	0.787341772151899	0.848383500557414	0.824561403508772	0.587234042553191	0
