	370(-)_SD_t2A	370(-)_SD_t2B	370(-)_SD_t7C	370(-)_W_t2A	370(-)_W_t2B	370(-)_W_t7C	432(-)_SD_t2A	432(-)_SD_t2B	432(-)_SD_t2C	432(-)_SD_t7C	432(-)_SD_t7D	432(-)_W_t2A	432(-)_W_t2B	432(-)_W_t7C	432(-)_W_t7D
370(-)_SD_t2A	0	0.324551464916532	0.461889499233915	0.429308435064169	0.419178222967339	0.566526493892073	0.492630582605323	0.370613583965538	0.463127213922877	0.596041840509587	0.66213863051815	0.470724446990957	0.493293647449185	0.596678074848936	0.565090870643508
370(-)_SD_t2B	0.324551464916532	0	0.450996459932015	0.410046433697156	0.331298257385755	0.589363608040917	0.454316119913485	0.347135864665213	0.428658180552616	0.618995827894694	0.688876970619817	0.462535454029161	0.465966741605691	0.623494926217853	0.590706030423889
370(-)_SD_t7C	0.461889499233915	0.450996459932015	0	0.423136893056126	0.418508589670373	0.394413044085392	0.4778394373972	0.516250649680308	0.441685508685224	0.414828287672244	0.54141250054935	0.471999200806747	0.474830756680782	0.433607989654107	0.386366621118586
370(-)_W_t2A	0.429308435064169	0.410046433697156	0.423136893056126	0	0.339026065133615	0.456616500883365	0.381686934145535	0.448410931757007	0.405937963658302	0.494572667117814	0.562562052346728	0.373714646693058	0.391110990563126	0.503964655915855	0.486062639124647
370(-)_W_t2B	0.419178222967339	0.331298257385755	0.418508589670373	0.339026065133615	0	0.482935046214925	0.38060052053946	0.419191733461984	0.35580333614375	0.516843158462921	0.602576424434308	0.37396841586162	0.397628865578833	0.524581240096055	0.497312011780009
370(-)_W_t7C	0.566526493892073	0.589363608040917	0.394413044085392	0.456616500883365	0.482935046214925	0	0.50423855166641	0.614931108683624	0.486781052864709	0.339404762801693	0.423125299779492	0.465854132073076	0.485925266565037	0.265609826309628	0.321666677527511
432(-)_SD_t2A	0.492630582605323	0.454316119913485	0.4778394373972	0.381686934145535	0.38060052053946	0.50423855166641	0	0.459052684534823	0.366005116121058	0.506624603148086	0.547313788226147	0.350812894172409	0.274245680609924	0.485086842374722	0.490236001337582
432(-)_SD_t2B	0.370613583965538	0.347135864665213	0.516250649680308	0.448410931757007	0.419191733461984	0.614931108683624	0.459052684534823	0	0.445319864906839	0.615882847764142	0.683573385341829	0.452737302928355	0.476773491542239	0.62512481149183	0.589657844666496
432(-)_SD_t2C	0.463127213922877	0.428658180552616	0.441685508685224	0.405937963658302	0.35580333614375	0.486781052864709	0.366005116121058	0.445319864906839	0	0.471607517358334	0.576228855046618	0.359098531186033	0.348608020694795	0.487337356477776	0.464271791279783
432(-)_SD_t7C	0.596041840509587	0.618995827894694	0.414828287672244	0.494572667117814	0.516843158462921	0.339404762801693	0.506624603148086	0.615882847764142	0.471607517358334	0	0.345157799400497	0.480624127338468	0.478344506031511	0.307213119649467	0.310823001148581
432(-)_SD_t7D	0.66213863051815	0.688876970619817	0.54141250054935	0.562562052346728	0.602576424434308	0.423125299779492	0.547313788226147	0.683573385341829	0.576228855046618	0.345157799400497	0	0.545906538685076	0.518436071247588	0.378549527629098	0.442058086317471
432(-)_W_t2A	0.470724446990957	0.462535454029161	0.471999200806747	0.373714646693058	0.37396841586162	0.465854132073076	0.350812894172409	0.452737302928355	0.359098531186033	0.480624127338468	0.545906538685076	0	0.375942198131646	0.49101730263769	0.465684520510254
432(-)_W_t2B	0.493293647449185	0.465966741605691	0.474830756680782	0.391110990563126	0.397628865578833	0.485925266565037	0.274245680609924	0.476773491542239	0.348608020694795	0.478344506031511	0.518436071247588	0.375942198131646	0	0.462835810354808	0.47273889206784
432(-)_W_t7C	0.596678074848936	0.623494926217853	0.433607989654107	0.503964655915855	0.524581240096055	0.265609826309628	0.485086842374722	0.62512481149183	0.487337356477776	0.307213119649467	0.378549527629098	0.49101730263769	0.462835810354808	0	0.225611506472477
432(-)_W_t7D	0.565090870643508	0.590706030423889	0.386366621118586	0.486062639124647	0.497312011780009	0.321666677527511	0.490236001337582	0.589657844666496	0.464271791279783	0.310823001148581	0.442058086317471	0.465684520510254	0.47273889206784	0.225611506472477	0
