	370(-)_SD_t2A	370(-)_SD_t2B	370(-)_SD_t7C	370(-)_W_t2A	370(-)_W_t2B	370(-)_W_t7C	432(-)_SD_t2A	432(-)_SD_t2B	432(-)_SD_t2C	432(-)_SD_t7C	432(-)_SD_t7D	432(-)_W_t2A	432(-)_W_t2B	432(-)_W_t7C	432(-)_W_t7D
370(-)_SD_t2A	0	0.573611910508648	0.215112142687713	0.15276789033925	0.213182471132991	0.399770493248102	0.342069702322741	0.244739713195574	0.172082802649741	0.182516739490342	0.442738981399463	0.351283238844694	0.309253680510722	0.271612723887917	0.206425528365056
370(-)_SD_t2B	0.573611910508648	0	0.553291022420028	0.574457639297806	0.529321511821565	0.424668306968472	0.3659590234695	0.720182565532	0.624882817628148	0.597662813896157	0.503895781594111	0.444011284017324	0.403407830525537	0.768031673601972	0.710953951743574
370(-)_SD_t7C	0.215112142687713	0.553291022420028	0	0.258496596257537	0.257036393047537	0.277657216293407	0.293479953666806	0.414327387746046	0.349961001523324	0.239932779473722	0.33020232324612	0.27884171067037	0.259617843953657	0.344185421595204	0.289305355006546
370(-)_W_t2A	0.15276789033925	0.574457639297806	0.258496596257537	0	0.147959906734574	0.411333812978685	0.340063820193898	0.313705224355787	0.157289366090435	0.144051426313222	0.430947550177991	0.347186812532204	0.311583751826565	0.309647169129407	0.264693270534546
370(-)_W_t2B	0.213182471132991	0.529321511821565	0.257036393047537	0.147959906734574	0	0.406274556572629	0.275519235715898	0.321989212918509	0.188182423660287	0.201189644079148	0.409536848580639	0.295118450648611	0.242829869567176	0.388118445161296	0.338890130824009
370(-)_W_t7C	0.399770493248102	0.424668306968472	0.277657216293407	0.411333812978685	0.406274556572629	0	0.202532259913379	0.570064459292083	0.504166621202231	0.359748236503537	0.16578014611975	0.25360031859937	0.238405236421324	0.415052987093833	0.440436431306305
432(-)_SD_t2A	0.342069702322741	0.3659590234695	0.293479953666806	0.340063820193898	0.275519235715898	0.202532259913379	0	0.402846886878889	0.354734585393056	0.344461286025806	0.21217675624613	0.105213270877843	0.046645417205741	0.489167244930787	0.441960558472519
432(-)_SD_t2B	0.244739713195574	0.720182565532	0.414327387746046	0.313705224355787	0.321989212918509	0.570064459292083	0.402846886878889	0	0.172174616801056	0.316584055722565	0.559645615493944	0.383907653403065	0.362980384474759	0.386558967015324	0.275621025415667
432(-)_SD_t2C	0.172082802649741	0.624882817628148	0.349961001523324	0.157289366090435	0.188182423660287	0.504166621202231	0.354734585393056	0.172174616801056	0	0.213179053818898	0.495797815778352	0.363002197097268	0.320467833355074	0.327741814786343	0.218328089284167
432(-)_SD_t7C	0.182516739490342	0.597662813896157	0.239932779473722	0.144051426313222	0.201189644079148	0.359748236503537	0.344461286025806	0.316584055722565	0.213179053818898	0	0.328704779663176	0.345642654446611	0.313205675407287	0.236485868320741	0.215324853410454
432(-)_SD_t7D	0.442738981399463	0.503895781594111	0.33020232324612	0.430947550177991	0.409536848580639	0.16578014611975	0.21217675624613	0.559645615493944	0.495797815778352	0.328704779663176	0	0.228571384584639	0.233414179900389	0.340954320755343	0.42524216978087
432(-)_W_t2A	0.351283238844694	0.444011284017324	0.27884171067037	0.347186812532204	0.295118450648611	0.25360031859937	0.105213270877843	0.383907653403065	0.363002197097268	0.345642654446611	0.228571384584639	0	0.0703425538674537	0.446246101403203	0.400585556853917
432(-)_W_t2B	0.309253680510722	0.403407830525537	0.259617843953657	0.311583751826565	0.242829869567176	0.238405236421324	0.046645417205741	0.362980384474759	0.320467833355074	0.313205675407287	0.233414179900389	0.0703425538674537	0	0.454425347424435	0.406476356051518
432(-)_W_t7C	0.271612723887917	0.768031673601972	0.344185421595204	0.309647169129407	0.388118445161296	0.415052987093833	0.489167244930787	0.386558967015324	0.327741814786343	0.236485868320741	0.340954320755343	0.446246101403203	0.454425347424435	0	0.160641452927806
432(-)_W_t7D	0.206425528365056	0.710953951743574	0.289305355006546	0.264693270534546	0.338890130824009	0.440436431306305	0.441960558472519	0.275621025415667	0.218328089284167	0.215324853410454	0.42524216978087	0.400585556853917	0.406476356051518	0.160641452927806	0
