"sample_id"	"feature_id"	"reads"	"Phylum"	"Family"	"Genus"	"tissue"	"bacteria"
"370(-)_W_t0A"	"a0e0704bb6349d2357fc691e723a7cff"	45	"Proteobacteria"	"Brucellaceae"	"Ochrobactrum"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"8bd78863418832b55bcd3377c012271c"	34	"Firmicutes"	"Bacillaceae"	"Virgibacillus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"7e497ed374384edf151078c9996c9915"	11	"Proteobacteria"	"Caulobacteraceae"	"Mycoplana"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"94493a74e6d2882ba600470193f87355"	15	"Actinobacteria"	"Micrococcaceae"	"Micrococcus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"a503284251014af918d421ec9ba08203"	12	"Proteobacteria"	"Sphingomonadaceae"	"Novosphingobium"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"88ac51aaaad59cc38699b62cf5b89d51"	23	"Proteobacteria"	"Neisseriaceae"	"Neisseria"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"be1418b73cdebad7075c1ed8b9f8dadb"	92	"Firmicutes"	"Streptococcaceae"	"Streptococcus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"dd0fad4159dabf15687a4c554cdfb8e6"	30	"Proteobacteria"	"Rhodobacteraceae"	"Paracoccus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"6e75d0f4c32200103d219921afd0124a"	35	"Proteobacteria"	"Oxalobacteraceae"	"Herbaspirillum"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"a385bd51b49bc478480a40172c4640a0"	7	"Proteobacteria"	"Halomonadaceae"	"Halomonas"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"1155a48108c295d2f1f34aacc9bd96f1"	32	"Firmicutes"	"Bacillaceae"	"Bacillus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"e4735b8c90268a93f27944a4b4cb33d0"	19	"Firmicutes"	"Gemellaceae"	NA	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"74773af79a981d7d2424bf7497fe280e"	29	"Proteobacteria"	"Comamonadaceae"	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"38a2112784f3653e7b7b164044e505d2"	3	"Proteobacteria"	"Neisseriaceae"	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"5d24b065bb017d3a0430b30f98185a96"	74	"Actinobacteria"	"Micrococcaceae"	"Kocuria"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"e9d61cdfb718cb9c8c892531a6f1b1fb"	20	"Actinobacteria"	"Actinomycetaceae"	"Actinomyces"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"020772440298f61f93ff89112d4e6281"	65	"Firmicutes"	"Bacillaceae"	"Bacillus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"ada25de1d68ca2d03119098ec16a9799"	11	"Proteobacteria"	""	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"e4c1bacc41b042bb0b3c11c5f54c5e28"	36	"Proteobacteria"	"Burkholderiaceae"	"Burkholderia"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"a2b0efa530a624aa47af38dfff582c89"	13	"Proteobacteria"	""	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"0c1f652c625772370a95a3a803d04dd7"	24	"Proteobacteria"	"Brucellaceae"	"Ochrobactrum"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"90807e74712186e30187518894fe2016"	6	"Proteobacteria"	"Rhizobiaceae"	"Agrobacterium"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"7efa0d6a42b0a2dc91eb219d143dec0d"	13	"Proteobacteria"	"Oxalobacteraceae"	"Cupriavidus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"7bcba70a9a50f442994d5329b14974c3"	15	"Proteobacteria"	"Xanthomonadaceae"	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"6a2b496a0d718a0df63529eae606cac5"	23	"Proteobacteria"	"Neisseriaceae"	"Neisseria"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"bd49a3abcdc2ce4016c2fecb91d79628"	29	"Proteobacteria"	"Phyllobacteriaceae"	"Phyllobacterium"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"c50aa760a86c7bffbca89394a9db7045"	18	"Actinobacteria"	"Microbacteriaceae"	"Curtobacterium"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"dc56c2aa7c5081b5ea218a8000c31dbf"	26	"Actinobacteria"	"Micrococcaceae"	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"5ca4a74f051e469d9270a16ced822087"	79	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"195466d7195a527a63753ff5d62220b1"	81	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"d87b17710db2ccdb65b99b17d623748c"	2	"Bacteroidetes"	"[Weeksellaceae]"	"Chryseobacterium"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"e99f6b5b256446dd4fa187665dadcc38"	6	"Proteobacteria"	"Methylobacteriaceae"	"Methylobacterium"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"e87db2c6c6358a643e04819a26d83c66"	10	"Proteobacteria"	"Rhodocyclaceae"	"Hydrogenophilus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"1ac6a8e0a789b795464e1ddb32bc80f9"	33	"Firmicutes"	"Carnobacteriaceae"	"Granulicatella"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"83b99122b1c62d69c359f478cfa0c173"	17	"Actinobacteria"	""	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"865b0a98ad1ef083ea65db5c4e9c2dfc"	6	"Actinobacteria"	"Corynebacteriaceae"	"Corynebacterium"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"fd7e699d6a1539ee0e7775f260c99b77"	14	"Proteobacteria"	"Rhodobacteraceae"	"Paracoccus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"8d196f1b7f55f5d1e0c92d96bb0b4210"	9	"Actinobacteria"	""	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"76674932d274193334349cb8b2fd1f99"	132	"Firmicutes"	"Staphylococcaceae"	"Staphylococcus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"39e379917cdbe4b6bed84d27cbdd7542"	14	"Gemmatimonadetes"	""	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"ce6caab7c7844c9e0475a8c66c1f8e86"	18	"Actinobacteria"	""	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"e7b9ffae40ecca856b5e1d975f26734a"	12	"Proteobacteria"	""	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"b693bffc583d95c705e545ea1a48ed1c"	37	"Actinobacteria"	"Corynebacteriaceae"	"Corynebacterium"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"2217504de84756b7ed9a463d5888a1fc"	20	"Actinobacteria"	"Micrococcaceae"	"Kocuria"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"2c84ddc7a24a9fccbcbe390f97d4d9b1"	19	"Actinobacteria"	"Micrococcaceae"	"Rothia"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"7bd7feab2e9e6306b7ae6e37ad245249"	17	"Proteobacteria"	"Bacteriovoracaceae"	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"e83a3788d3b80f4bd452ff12c28a4ef4"	39	"Firmicutes"	"Bacillaceae"	"Bacillus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"de4dc84f61e7acc36a498ef6d9d511cb"	8	"Bacteroidetes"	"Cytophagaceae"	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"ab7b11b1786d5ac6a6d7e51352a42a0d"	10	"Proteobacteria"	"Sphingomonadaceae"	"Novosphingobium"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"2ffc37e0938c3cc2c1faebe74a5702d1"	10	"Firmicutes"	"Veillonellaceae"	"Veillonella"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"5bc7bfbbe579da8381d2d4a0c9d96262"	18	"Proteobacteria"	"Aeromonadaceae"	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"9edeef962169ec7c71bdc32cb6fd8ba2"	8	"Actinobacteria"	"Corynebacteriaceae"	"Corynebacterium"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"e07bb2d0651e6478d0d585a24777232f"	57	"Proteobacteria"	"Comamonadaceae"	NA	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"c0fe436cbcb7e1fc52c3758659bcba63"	19	"Proteobacteria"	"Erythrobacteraceae"	NA	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"73da2638efc1f766e9c09df6737d24bb"	23	"Proteobacteria"	"Moraxellaceae"	"Acinetobacter"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"163a603cd6aea19acfa84a7f3ba28523"	23	"Actinobacteria"	""	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"364ed79d5934570ec85880768bed94af"	10	"Actinobacteria"	""	""	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"531860aa98a04e83b22364fd1e0cc26c"	91	"Firmicutes"	"Streptococcaceae"	"Streptococcus"	"L_minor370_DWC112"	"none"
"370(-)_W_t0A"	"740d89512fdc49a0dc8775c2d3ea54f8"	17	"Firmicutes"	"Bacillaceae"	"Bacillus"	"L_minor370_DWC112"	"none"
