X370..._SD_t2A	X370..._SD_t2B	X370..._SD_t7C	X370..._t2A	X370..._W_t2A	X370..._W_t2B	X370..._W_t7C	X370.1A._SD_t2A	X370.1A._SD_t2B	X370.1A._SD_t2C	X370.1A._SD_t7A	X370.1A._SD_t7B	X370.1A._SD_t7C	X370.1A._t2A	X370.1A._t2B	X370.1A._t2C	X370.1A._t7A	X370.1A._W_t2A	X370.1A._W_t2B	X370.1A._W_t2C	X370.1A._W_t7A	X370.1A._W_t7B	X370.1A._W_t7C	X370.3D._SD_t2A	X370.3D._SD_t2B	X370.3D._t2A	X370.3D._t2B	X370.3D._t2C	X370.3D._W_t2A	X370.3D._W_t2C	X370.3D._W_t7A_1	X370.3D._W_t7A_2	X370.3D._W_t7B_1	X370.3D._W_t7B_2	X370.3D._W_t7C_1	X370.3D._W_t7C_2	X370.5A._SD_t2A_1	X370.5A._SD_t2A_2	X370.5A._SD_t2B_1	X370.5A._SD_t2B_2	X370.5A._SD_t2C_1	X370.5A._SD_t2C_2	X370.5A._SD_t2D_1	X370.5A._SD_t2D_2	X370.5A._t2C	X370.5A._t2D	X370.5A._W_t2B	X370.5A._W_t7B	X432..._t2B	X432..._SD_t2A	X432..._SD_t2B	X432..._SD_t2C	X432..._SD_t7C	X432..._SD_t7D	X432..._t2C	X432..._W_t2A	X432..._W_t2B	X432..._W_t7C	X432..._W_t7D	X432.1A._SD_t7A	X432.1A._SD_t7B	X432.1A._SD_t7C	X432.1A._SD_t7D	X432.1A._t2A	X432.1A._t2B	X432.1A._t2D	X432.1A._t7C	X432.1A._t7D	X432.1A._W_t2A	X432.1A._W_t2B	X432.1A._W_t2C	X432.1A._W_t2D	X432.1A._W_t7A	X432.1A._W_t7B	X432.1A._W_t7C	X432.1A._W_t7D	X432.3D._SD_t2A	X432.3D._SD_t2B	X432.3D._SD_t2C	X432.3D._t2A	X432.3D._t2B	X432.3D._W_t2A	X432.3D._W_t2B	X432.3D._W_t2C	X432.5A._SD_t2A	X432.5A._SD_t2B	X432.5A._SD_t2C	X432.5A._SD_t7A	X432.5A._SD_t7B	X432.5A._SD_t7C	X432.5A._W_t7A	X432.5A._W_t7B	X432.5A._W_t7C
370(-)_SD_t2A	0	0.13854443446769	0.155081618118185	0.305488806654381	0.102027153446417	0.114056648913846	0.214624720764876	0.10595737124308	0.118820933355354	0.110641673728837	0.215251577246589	0.199342842953514	0.1810448906481	0.335740697479446	0.239402533882049	0.296025047368516	0.336291953556111	0.126189819681612	0.120131024779992	0.128431364346582	0.20277051088104	0.191067259561328	0.23575544340296	0.132357665719496	0.0981209461773428	0.231942331145674	0.247225025931574	0.234532926579482	0.167083804612032	0.132253138721858	0.195701626923678	0.12664587706206	0.177947803834443	0.139675990296625	0.192319720323483	0.134010298967964	0.172452251533734	0.128649312267495	0.217894023197332	0.138739541458323	0.219903528628326	0.290947139202014	0.120583902918047	0.161168457783865	0.253040791791244	0.274465811630186	0.323184943316067	0.152336660324337	0.211086765900353	0.15508510422639	0.116157058864523	0.117882668119595	0.197876679912444	0.27775045168853	0.276586199203281	0.154583038132256	0.149570575990155	0.23138672943673	0.182357887496554	0.211321592248523	0.206018982772069	0.212985597385495	0.212255544140907	0.271929132069318	0.286014468284745	0.27783532978966	0.33468852265642	0.393332639873566	0.177655949618179	0.227880949038703	0.173457508388288	0.144141915310159	0.288495177198063	0.258084475732303	0.238227812293461	0.346426685712322	0.13322128380619	0.133162297031931	0.110384424577188	0.201766515049753	0.205376766376632	0.136711653762825	0.124134917921213	0.125961844158418	0.18096042388684	0.172482432634411	0.145469481602876	0.235329740547194	0.220829563347576	0.211046618480085	0.261627112178743	0.273730840400666	0.261756571949968
370(-)_SD_t2B	0.13854443446769	0	0.202836592336195	0.289761183336959	0.164087160321957	0.137117173032145	0.21760359312135	0.188085180564763	0.190553557692351	0.184812277621344	0.248670244120398	0.23038945113227	0.223279979933949	0.332564130833748	0.27501454815051	0.347945496215726	0.356635479544826	0.204670440848867	0.177119497583526	0.209455439440202	0.278863119176231	0.266821169421015	0.212513709596045	0.175733496776932	0.147407322085992	0.284599179164174	0.185928551865883	0.229971410456711	0.0882486521257266	0.129587160315943	0.200757300533014	0.198561019908568	0.217139241609907	0.208170887343326	0.195533924026976	0.183530394121653	0.212646100129458	0.203848827191335	0.262944245019135	0.20125512057744	0.270660311229082	0.288915267232118	0.152877472417071	0.166791295799974	0.303621786160754	0.325555036541599	0.371903968170901	0.216941918123851	0.259541008984964	0.135264200032618	0.170271740884244	0.163858654671711	0.25065716200621	0.280763724893714	0.205907849874534	0.152462980941164	0.137546993919805	0.288230464829742	0.243384817830154	0.262743672890007	0.197009867711686	0.212126721179042	0.231986415498069	0.324353452456771	0.338476032381397	0.332987954683571	0.316898481736308	0.345286769539175	0.157258647460784	0.157641801571681	0.1357461838941	0.148951220141918	0.239014473676495	0.281751354586975	0.230470818198485	0.293545107239291	0.149537259607342	0.17171196473505	0.139914598767079	0.243994593856198	0.257430251454493	0.185496811591114	0.16845106755425	0.175928108319243	0.130486913676389	0.0916579257654974	0.129004156909576	0.189538219494684	0.157890746662664	0.216855171925298	0.241611237807175	0.20609070668705	0.228360202549848
370(-)_SD_t7C	0.155081618118185	0.202836592336195	0	0.281925431754775	0.166979039504427	0.169726391292948	0.165943760530924	0.201638922010128	0.197152748007353	0.194263762220711	0.162256785474644	0.15443171849293	0.126901606678487	0.306029340584176	0.226752061590038	0.291538672224918	0.30817559059545	0.175027314612955	0.160176145990096	0.176390147015287	0.16991316018213	0.177252826773604	0.187585257810282	0.218911303791387	0.185257657744028	0.245487867761917	0.240593677457265	0.227868326813512	0.198422777594773	0.177672854452038	0.171299607252345	0.155340129264211	0.145060317841955	0.138496187862715	0.16602586456411	0.133022808608055	0.245684244604162	0.132810411947414	0.283507716305166	0.150494901757278	0.259746328087379	0.256544191101583	0.188872118147047	0.146708465648181	0.265738663278932	0.277083680600164	0.331817028269569	0.146342478339505	0.228035927322281	0.181203721293165	0.20194736367093	0.185830469909226	0.175647504720755	0.241893574686409	0.259512461066512	0.173899106114596	0.1791554359033	0.207484499122887	0.164068593453129	0.144374850150633	0.161547375811059	0.17522008363874	0.179815097500243	0.278975824351314	0.287275046321104	0.27596694768048	0.303641863578906	0.360654401548569	0.185987146214759	0.24725477284162	0.180417228535789	0.162631707897556	0.248734424408569	0.226653955259746	0.20727559659846	0.309893762331911	0.194610354742303	0.210923350225429	0.18662964847716	0.217327069840186	0.22942792923814	0.188046347359234	0.183631992220674	0.187558266900661	0.208420148456963	0.204906024483068	0.17388969933281	0.200091553715883	0.188382121001059	0.174160420518621	0.226077600659874	0.239341120219963	0.231323891424775
370(-)_t2A	0.305488806654381	0.289761183336959	0.281925431754775	0	0.284009836752104	0.291813319440329	0.234359644195153	0.338287646539722	0.333169370803049	0.339287821274175	0.276312752629371	0.264245728922314	0.279558555964282	0.119512862060069	0.159495487667753	0.144309106569052	0.219597675704394	0.296131413906063	0.271370073922471	0.298298544559644	0.271049256594536	0.260224641354721	0.244721830149326	0.334222070900762	0.307873706818254	0.21568451330452	0.197712197159842	0.180331449397663	0.273245305920899	0.278665612857639	0.24740577405915	0.3002894990033	0.263363243719282	0.315910655310039	0.250464817826296	0.291540045509001	0.355027379439216	0.304537580470024	0.388933199759898	0.294884608618843	0.296507752818951	0.204376584511009	0.306458863713497	0.269351789413104	0.260521610385091	0.162961269112723	0.289974754252873	0.27810528163775	0.250380467011027	0.253283587750716	0.315168833851308	0.301974048436733	0.282043671753671	0.239595658407229	0.193524054371945	0.257274823173874	0.259951746134815	0.277874391576881	0.288472082512105	0.278456967967998	0.244420152337058	0.245837590984349	0.251256684501777	0.173334924764297	0.177967783130556	0.143549284115709	0.199765820612487	0.237734422892218	0.21743635288777	0.287019750489965	0.243387792506555	0.259498998119146	0.249630987991601	0.236578719356416	0.232369934773634	0.238416131530371	0.294601189412892	0.318930974535858	0.302491107419267	0.215413447148915	0.227740217587784	0.289358479641617	0.291917298516746	0.298195982954906	0.248910994717888	0.279196767856597	0.262982503326702	0.253970709118406	0.258874902442908	0.258239963930427	0.235203950315163	0.259880118588744	0.244757019329769
370(-)_W_t2A	0.102027153446417	0.164087160321957	0.166979039504427	0.284009836752104	0	0.105609066436136	0.205298574705408	0.131040923010671	0.149567424050868	0.144699028623816	0.234626184522764	0.217962844994769	0.1848950725256	0.319666338570261	0.226718490439487	0.278493389743255	0.32241696559433	0.101337615605991	0.0815887499247988	0.102533126970898	0.205265861005627	0.190046890967515	0.228004782203661	0.15824825235138	0.13415429541197	0.221687124051355	0.2348888099357	0.223473408054648	0.153446351953136	0.120861809629692	0.18687978950359	0.138743432697371	0.176982186822404	0.159445813264023	0.171619880677742	0.12666363737465	0.182223241106209	0.141177759663646	0.223835665917938	0.126123891148682	0.215534688555575	0.280383880822472	0.121162954605556	0.141441551516202	0.239796379047545	0.262909793415016	0.291220395651691	0.142596392907579	0.200421208904192	0.141852288430611	0.146926450696522	0.117526156968585	0.178711835189746	0.258441807483246	0.257440698336119	0.137935979598092	0.14310616443587	0.220733851619957	0.180612155879769	0.214703267715504	0.20637599224518	0.213872929221382	0.197774208861525	0.261442426154527	0.268941662450461	0.261189328394396	0.324229920878275	0.381619767271909	0.139502819612767	0.200125225687331	0.147587328647465	0.110546442557506	0.279256220347564	0.252009311787325	0.234448133221028	0.3271307372375	0.151502049985066	0.156380900339022	0.127243299324014	0.193323988199234	0.199914719951184	0.136214886659883	0.131355897780126	0.115771324120783	0.167970589237431	0.164821601121917	0.129957391106966	0.20980707606342	0.196915971961535	0.177358883501339	0.237929112332543	0.250979919362274	0.236965652995983
370(-)_W_t2B	0.114056648913846	0.137117173032145	0.169726391292948	0.291813319440329	0.105609066436136	0	0.214869965085654	0.145638052387867	0.142984395843241	0.148620367642043	0.239420954905536	0.224987365372954	0.207295215203299	0.325998425474418	0.237739694939927	0.299219896521609	0.333875132304276	0.134613055531352	0.111000544336515	0.142819517581377	0.234646616950613	0.220342251494237	0.24690615698411	0.123469624647334	0.119729692706659	0.222907415352861	0.218264974155432	0.211063822484993	0.113208385426956	0.0730544746380909	0.189710361080793	0.138344016336145	0.17768308868907	0.158319326366513	0.171900711404648	0.126071989943287	0.149198451835641	0.150291364027462	0.200773666903292	0.136636019042837	0.203979333559213	0.283732667333269	0.086860409867267	0.136920282440496	0.241467112951292	0.268624105093152	0.310716944126076	0.158955432494579	0.19256976331633	0.110542126326149	0.117266213573213	0.0940496123663029	0.193711638416924	0.264074860532577	0.245115970515398	0.118916068991596	0.105986691724849	0.239856062061842	0.195508031700849	0.236465542926011	0.225378056070497	0.231891505736796	0.220597507430254	0.274584117133501	0.288946194474298	0.285713132936468	0.333434407694605	0.389380954054337	0.156194617418763	0.218408280020727	0.160191763895045	0.117554221091041	0.296308393783464	0.269470575168285	0.2523257393094	0.342125073302329	0.110666292203638	0.122288387700004	0.0930820515310006	0.186358179082787	0.201290811076474	0.114010641114132	0.101479790019515	0.0962221445494453	0.1452826538432	0.138488471088663	0.109634828805892	0.227444457418411	0.211551101592154	0.192348346522593	0.253290839765071	0.265328788931637	0.247463800696172
370(-)_W_t7C	0.214624720764876	0.21760359312135	0.165943760530924	0.234359644195153	0.205298574705408	0.214869965085654	0	0.254728765736425	0.253433943256412	0.256727345503974	0.220834647431119	0.20404831440446	0.192218003899746	0.259871654718031	0.218250819362543	0.266108374650994	0.265332383694646	0.217244843508557	0.191915261587162	0.217129519800022	0.169524648507763	0.154238861193553	0.139796980433189	0.268581609929731	0.236845918766237	0.245361213947718	0.216021806379597	0.208451479143911	0.202415043884434	0.206523512729055	0.120454102279734	0.192803177918642	0.130833843685235	0.198681664236481	0.133695893754433	0.181905453686747	0.295278410223971	0.184974896647851	0.33039632186647	0.192917305019579	0.289079051950437	0.227576092115977	0.241657443511585	0.172079253610012	0.268105806412591	0.259320742889405	0.31055302767102	0.173917822025887	0.254987820593174	0.18786050890191	0.25568110115753	0.228845197586657	0.172862235338162	0.171477420265579	0.226681338238747	0.190238292632583	0.194045498124255	0.163213331503109	0.178551073055744	0.193434621544469	0.154789214906368	0.147949622968969	0.152128226303124	0.263166231071923	0.262452134433103	0.252841315090488	0.234656979413709	0.299871418290642	0.157747312813611	0.234300517524528	0.174014335920504	0.178604866665	0.180700066661381	0.172361019279323	0.141511250723057	0.241266544738318	0.241770135529767	0.257513401540853	0.236068796013344	0.224972252536505	0.238124682785536	0.225846360934556	0.225459420917589	0.228771066269286	0.199290367260218	0.20876852993169	0.178940162977306	0.130319299131256	0.143397238681366	0.142753525671689	0.130581852931143	0.146503539417233	0.130711074837974
370(1A)_SD_t2A	0.10595737124308	0.188085180564763	0.201638922010128	0.338287646539722	0.131040923010671	0.145638052387867	0.254728765736425	0	0.0959630223347068	0.0597959897649444	0.260163132460532	0.245184185630153	0.226848160007203	0.364526395676455	0.276013250382018	0.324140672116264	0.364824963874737	0.120948857717233	0.138009987974595	0.120280806036325	0.232625690874865	0.221331079266572	0.277594479940652	0.10876148276424	0.128954579714393	0.239786313934642	0.282839652539226	0.271365082996993	0.198408436829143	0.164577899119658	0.225293239403985	0.134345589027389	0.21277599140776	0.145659592188537	0.213789166063087	0.157291710596117	0.127263909365894	0.137267424247213	0.152584859079931	0.135094723073292	0.186632289457851	0.318000461378426	0.134977629590863	0.167146499069011	0.224804814687973	0.299715546106934	0.2802893078744	0.180300121562481	0.215802269150861	0.193348034302214	0.113782089585284	0.126088223123974	0.21970003031558	0.302934429053875	0.307933713507434	0.193642273996454	0.187912923169342	0.260901754001475	0.203532514060414	0.255409581925256	0.249396328222569	0.253026587172581	0.242178584225984	0.262155034700157	0.274337324501645	0.303088289449021	0.365532096672566	0.420980847711362	0.210087148906967	0.261283773508643	0.208638395420609	0.171304888012321	0.321879851818119	0.294054257374339	0.284099612326741	0.372150424881175	0.17337549316213	0.149736768420085	0.149378375084982	0.239437550503312	0.238678590266635	0.152687726840575	0.162041340207168	0.147115499734027	0.20825105086599	0.210809177487659	0.178005304419216	0.263877113046137	0.25871706503567	0.232363115656236	0.291946265173204	0.310078057600713	0.290492731001522
370(1A)_SD_t2B	0.118820933355354	0.190553557692351	0.197152748007353	0.333169370803049	0.149567424050868	0.142984395843241	0.253433943256412	0.0959630223347068	0	0.0860137362215714	0.259514460754452	0.240613543162129	0.228687278229446	0.359222106188649	0.26502395433375	0.320894463537343	0.367879944102141	0.101735024972511	0.138104363922824	0.0981751951260925	0.232330803121333	0.217167610250553	0.277757993505714	0.126006297862218	0.139232158135394	0.232827992005745	0.275550003905629	0.265167119023384	0.197189955735831	0.167441663868592	0.231523242232261	0.157769032548511	0.212071108857084	0.143281770214227	0.223047407330879	0.164513182161044	0.146279861108335	0.141428081864738	0.18121926681149	0.144562411731207	0.209079500376296	0.316689481562603	0.133952802938267	0.17613188523339	0.2456946462208	0.297792583007932	0.298822032228343	0.180225119193666	0.204977963591969	0.196686312384698	0.11475510105816	0.123237396983409	0.224129530462446	0.313940101425897	0.304477437018696	0.18382566931685	0.189843311018657	0.260122620980338	0.206538584006892	0.252337788763817	0.256607763446975	0.259689802946007	0.256497308436858	0.269682709809351	0.282329523415932	0.299033227366629	0.362668271437668	0.419456112631974	0.220141314671996	0.268534455262057	0.215032159445821	0.164435499650224	0.324458278398329	0.295696118845576	0.280818101286658	0.375526068585082	0.178863681905018	0.143994965142829	0.150418589199411	0.232361934658793	0.230589824900547	0.151652321191899	0.159013504579373	0.149559710154597	0.215148882278196	0.207673063977549	0.178740481790088	0.266795865952223	0.256676826741475	0.242653724101502	0.2954765543698	0.304744640106152	0.295961153879058
370(1A)_SD_t2C	0.110641673728837	0.184812277621344	0.194263762220711	0.339287821274175	0.144699028623816	0.148620367642043	0.256727345503974	0.0597959897649444	0.0860137362215714	0	0.255123108020613	0.239758395529115	0.221911816201962	0.36609211706353	0.272490159708185	0.325810395351203	0.369164708358581	0.127643494587519	0.135595262533532	0.12517576377847	0.230506050469819	0.221131365923944	0.279595699924916	0.109676075014649	0.131759192692851	0.239156528142635	0.281586320929629	0.27077007744411	0.199085426489051	0.168015490159539	0.23043327534104	0.14989947694522	0.209104778832323	0.138089308976261	0.223759138813759	0.164383746016979	0.116475918149231	0.137242438624051	0.149511241680167	0.144401529299915	0.179644108254937	0.323994736878928	0.139584427518518	0.181359060965925	0.220835802648562	0.300211899235531	0.277808643640322	0.182079927731451	0.212619548607647	0.197395521516823	0.112251395612432	0.127596495714446	0.226378083052686	0.315379675241306	0.308173832376454	0.191743793116224	0.192721533807393	0.264885794358684	0.21098452869302	0.248813655204136	0.249511979633981	0.256345849697173	0.252908618480222	0.262609902422841	0.274133698663453	0.30331596548855	0.367864596271356	0.423486837695515	0.214974948252134	0.266667993537144	0.213947573342572	0.164775098985943	0.323088206329019	0.292865792094703	0.280477529265581	0.376830196121159	0.177361500233303	0.147288274901769	0.150822592221152	0.237644379195382	0.235980603099321	0.152258080019127	0.160351638989318	0.153375838430646	0.214909066623355	0.207813564484753	0.17967307287052	0.270363360807912	0.260725088736401	0.241708402457644	0.297373412871693	0.309062423252081	0.297556141628159
