"Genus"	"Phylum"	"Family"	"Mean_RA"	"Median_RA"	"Sample_Percent"	"OTU_Count"	"Mean_RA_Rank"
"Anaerococcus"	"Firmicutes"	"[Tissierellaceae]"	0.185942729639271	0.185942729639271	12.5	1	55
"Ancylobacter"	"Proteobacteria"	"Xanthobacteraceae"	0.00198723755616198	0.00171927230571609	37.5	2	114
"Cupriavidus"	"Proteobacteria"	"Oxalobacteraceae"	0.273299518886426	0.0239581383098565	25	3	50
"Curtobacterium"	"Actinobacteria"	"Microbacteriaceae"	0.669393826701376	0.669393826701376	12.5	1	34
"Enterobacter"	"Proteobacteria"	"Enterobacteriaceae"	0.0025386106818391	0.0025386106818391	12.5	1	109
"Fusobacterium"	"Fusobacteria"	"Fusobacteriaceae"	0.15215437537365	0.13355592654424	25	3	58
"Granulicatella"	"Firmicutes"	"Carnobacteriaceae"	0.905286904584883	0.743367370062041	37.5	2	27
"Herbaspirillum"	"Proteobacteria"	"Oxalobacteraceae"	3.64723404757278	2.11974711788769	25	2	5
"Kaistobacter"	"Proteobacteria"	"Sphingomonadaceae"	0.434056761268781	0.434056761268781	12.5	1	39
"Kocuria"	"Actinobacteria"	"Micrococcaceae"	1.75609924273929	0.743770918557084	25	3	15
"Luteimonas"	"Proteobacteria"	"Xanthomonadaceae"	0.500834724540901	0.500834724540901	12.5	1	38
"Methylotenera"	"Proteobacteria"	"Methylophilaceae"	0.0203780388334395	0.0116169619559389	25	3	90
"Neisseria"	"Proteobacteria"	"Neisseriaceae"	1.71067311268129	0.855336556340647	12.5	2	16
"[Prevotella]"	"Bacteroidetes"	"[Paraprevotellaceae]"	0.0020725012758836	0.0020725012758836	12.5	1	112
"Proteiniclasticum"	"Firmicutes"	"Clostridiaceae"	0.701168614357262	0.350584307178631	12.5	2	33
"PSB-M-3"	"Firmicutes"	"Erysipelotrichaceae"	0.0667779632721202	0.0667779632721202	12.5	1	72
"Ruminococcus"	"Firmicutes"	"Ruminococcaceae"	0.000518125318970899	0.000518125318970899	12.5	1	118
"Tsukamurella"	"Actinobacteria"	"Tsukamurellaceae"	0.0031087519138254	0.0031087519138254	12.5	1	107
"Variovorax"	"Proteobacteria"	"Comamonadaceae"	2.64038676087765	1.32019338043882	12.5	2	8
"Virgibacillus"	"Firmicutes"	"Bacillaceae"	2.30568984752696	1.15284492376348	12.5	2	10
