"Genus"	"Phylum"	"Family"	"Mean_RA"	"Median_RA"	"Sample_Percent"	"OTU_Count"	"Mean_RA_Rank"
"Actinobacillus"	"Proteobacteria"	"Pasteurellaceae"	1.66274773261673	0.831373866308364	9.09090909090909	2	13
"Aerococcus"	"Firmicutes"	"Aerococcaceae"	0.00277454081349537	0.00277454081349537	9.09090909090909	1	130
"Aggregatibacter"	"Proteobacteria"	"Pasteurellaceae"	0.302317769566678	0.302317769566678	9.09090909090909	1	48
"Alloiococcus"	"Firmicutes"	"Aerococcaceae"	4.28226779252111	2.14113389626056	9.09090909090909	2	5
"Anaeromyxobacter"	"Proteobacteria"	"Myxococcaceae"	0.00961089817798189	0.00652197906946409	18.1818181818182	3	113
"Arcobacter"	"Proteobacteria"	"Campylobacteraceae"	0.00145611276137224	0.00145611276137224	9.09090909090909	1	139
"Atopobium"	"Actinobacteria"	"Coriobacteriaceae"	0.151158884783339	0.151158884783339	9.09090909090909	1	65
"Brevibacterium"	"Actinobacteria"	"Brevibacteriaceae"	0.100772589855559	0.100772589855559	9.09090909090909	1	80
"Candidatus Amoebophilus"	"Bacteroidetes"	"[Amoebophilaceae]"	0.00169576601142268	0.00169576601142268	9.09090909090909	1	137
"Candidatus Protochlamydia"	"Chlamydiae"	"Parachlamydiaceae"	0.00245802915222575	0.00245802915222575	9.09090909090909	1	134
"Capnocytophaga"	"Bacteroidetes"	"Flavobacteriaceae"	0.00110981632539815	0.00110981632539815	9.09090909090909	1	141
"Collimonas"	"Proteobacteria"	"Oxalobacteraceae"	1.52838427947598	0.764192139737991	9.09090909090909	2	14
"Crenothrix"	"Proteobacteria"	"Crenotrichaceae"	0.00111026483641984	0.00111026483641984	18.1818181818182	1	140
"Cryocola"	"Actinobacteria"	"Microbacteriaceae"	0.624032136098013	0.587840107490763	18.1818181818182	2	29
"Dermacoccus"	"Actinobacteria"	"Dermacoccaceae"	0.319113201209271	0.319113201209271	9.09090909090909	1	46
"Dokdonella"	"Proteobacteria"	"Xanthomonadaceae"	0.0131554198342692	0.00436382678516881	27.2727272727273	5	106
"Fimbriimonas"	"Armatimonadetes"	"[Fimbriimonadaceae]"	0.0360161352285824	0.0360161352285824	9.09090909090909	1	98
"Geothrix"	"Acidobacteria"	"Holophagaceae"	0.00349106142813505	0.00349106142813505	9.09090909090909	1	129
"Glycomyces"	"Actinobacteria"	"Glycomycetaceae"	0.150784077201448	0.150784077201448	9.09090909090909	1	67
"Inquilinus"	"Proteobacteria"	"Rhodospirillaceae"	0.381261744020014	0.183398921793963	18.1818181818182	4	43
"Leadbetterella"	"Bacteroidetes"	"Cytophagaceae"	0.00902371170650635	0.00400179280317582	36.3636363636364	3	115
"Legionella"	"Proteobacteria"	"Legionellaceae"	0.0106514596596449	0.00532572982982245	9.09090909090909	2	109
"Methylophaga"	"Proteobacteria"	"Piscirickettsiaceae"	0.00610398978968981	0.0030519948948449	9.09090909090909	2	122
"Modestobacter"	"Actinobacteria"	"Geodermatophilaceae"	0.0493868264802175	0.0246934132401088	9.09090909090909	2	91
"Moraxella"	"Proteobacteria"	"Moraxellaceae"	1.89987937273824	0.949939686369119	9.09090909090909	2	12
"Nitrospira"	"Nitrospirae"	"Nitrospiraceae"	0.038873541788349	0.00720322704571648	45.4545454545455	4	97
"Pedosphaera"	"Verrucomicrobia"	"[Pedosphaeraceae]"	1.21578915895481	0.580504551450647	18.1818181818182	3	19
"Peptoniphilus"	"Firmicutes"	"[Tissierellaceae]"	0.572979493365501	0.28648974668275	9.09090909090909	2	31
"Phormidium"	"Cyanobacteria"	"Phormidiaceae"	0.223144914053962	0.0647281010086113	36.3636363636364	10	54
"Phycicoccus"	"Actinobacteria"	"Intrasporangiaceae"	0.0155675179640964	0.00778375898204819	9.09090909090909	2	104
"Pontibacter"	"Bacteroidetes"	"Cytophagaceae"	0.000819343050741915	0.000819343050741915	9.09090909090909	1	144
"Propionibacterium"	"Actinobacteria"	"Propionibacteriaceae"	0.319113201209271	0.159556600604636	9.09090909090909	2	45
"Propionivibrio"	"Proteobacteria"	"Rhodocyclaceae"	0.00624596492959338	0.00624596492959338	18.1818181818182	2	120
"Pseudanabaena"	"Cyanobacteria"	"Pseudanabaenaceae"	0.044755138789705	0.0186018544480163	27.2727272727273	5	94
"Pseudonocardia"	"Actinobacteria"	"Pseudonocardiaceae"	0.00254819733240142	0.00254819733240142	9.09090909090909	1	133
"Rhizobium"	"Proteobacteria"	"Rhizobiaceae"	0.311870297937586	0.311870297937586	18.1818181818182	2	47
"Rhodanobacter"	"Proteobacteria"	"Xanthomonadaceae"	0.422195416164053	0.422195416164053	9.09090909090909	1	36
"Rhodococcus"	"Actinobacteria"	"Nocardiaceae"	0.0140622403279485	0.00703112016397424	9.09090909090909	2	105
"SC3-56"	"Bacteroidetes"	"[Amoebophilaceae]"	0.00772205938920125	0.00772205938920125	18.1818181818182	2	117
"Serratia"	"Proteobacteria"	"Enterobacteriaceae"	0.487067517635203	0.487067517635203	9.09090909090909	1	34
"SGSH944"	"SAR406"	"A714017"	0.00610398978968981	0.00610398978968981	9.09090909090909	1	121
"Spirochaeta"	"Spirochaetes"	"Spirochaetaceae"	0.00360161352285824	0.00180080676142912	9.09090909090909	2	128
"Streptomyces"	"Actinobacteria"	"Streptomycetaceae"	0.816731103619962	0.816731103619962	18.1818181818182	1	25
"Sulfuritalea"	"Proteobacteria"	"Rhodocyclaceae"	0.00409671525370958	0.00409671525370958	9.09090909090909	1	127
"Terracoccus"	"Actinobacteria"	"Intrasporangiaceae"	0.00943343876588425	0.00943343876588425	9.09090909090909	1	114
"Thauera"	"Proteobacteria"	"Rhodocyclaceae"	0.00640027928491425	0.00640027928491425	9.09090909090909	1	119
