"Genus"	"Phylum"	"Family"	"Mean_RA"	"Median_RA"	"Sample_Percent"	"OTU_Count"	"Mean_RA_Rank"
"Actinomyces"	"Actinobacteria"	"Actinomycetaceae"	0.00356868249947654	0.00356868249947654	22.2222222222222	2	94
"Aerococcus"	"Firmicutes"	"Aerococcaceae"	0.00277454081349537	0.00277454081349537	11.1111111111111	1	101
"Arcobacter"	"Proteobacteria"	"Campylobacteraceae"	0.00145611276137224	0.00145611276137224	11.1111111111111	1	112
"Bradyrhizobium"	"Proteobacteria"	"Bradyrhizobiaceae"	0.0183934488234669	0.0183934488234669	11.1111111111111	1	54
"Capnocytophaga"	"Bacteroidetes"	"Flavobacteriaceae"	0.00110981632539815	0.00110981632539815	11.1111111111111	1	116
"Cupriavidus"	"Proteobacteria"	"Oxalobacteraceae"	0.0631479407107475	0.0177702747728737	11.1111111111111	3	35
"Enhydrobacter"	"Proteobacteria"	"Moraxellaceae"	0.00594615246998132	0.00499417346429166	22.2222222222222	3	81
"Enterobacter"	"Proteobacteria"	"Enterobacteriaceae"	0.0025386106818391	0.0025386106818391	11.1111111111111	1	104
"Fusobacterium"	"Fusobacteria"	"Fusobacteriaceae"	0.00380791602275864	0.00380791602275864	11.1111111111111	1	92
"Geothrix"	"Acidobacteria"	"Holophagaceae"	0.00349106142813505	0.00349106142813505	11.1111111111111	1	95
"Granulicatella"	"Firmicutes"	"Carnobacteriaceae"	0.00190395801137932	0.00190395801137932	11.1111111111111	1	109
"Haemophilus"	"Proteobacteria"	"Pasteurellaceae"	0.0309682127074018	0.0129369959841886	33.3333333333333	4	46
"Halomonas"	"Proteobacteria"	"Halomonadaceae"	0.00258983521816038	0.00258983521816038	22.2222222222222	2	102
"Kocuria"	"Actinobacteria"	"Micrococcaceae"	0.0164751682602833	0.0164751682602833	11.1111111111111	1	59
"Lactobacillus"	"Firmicutes"	"Lactobacillaceae"	0.00482624808203177	0.00482624808203177	22.2222222222222	2	88
"Lysinibacillus"	"Firmicutes"	"Planococcaceae"	0.0164751682602833	0.0164751682602833	11.1111111111111	1	58
"Methylophaga"	"Proteobacteria"	"Piscirickettsiaceae"	0.00610398978968981	0.0030519948948449	11.1111111111111	2	79
"Methylotenera"	"Proteobacteria"	"Methylophilaceae"	0.0203780388334395	0.0116169619559389	22.2222222222222	3	53
"Modestobacter"	"Actinobacteria"	"Geodermatophilaceae"	0.0493868264802175	0.0246934132401088	11.1111111111111	2	38
"[Prevotella]"	"Bacteroidetes"	"[Paraprevotellaceae]"	0.0020725012758836	0.0020725012758836	11.1111111111111	1	108
"Pseudonocardia"	"Actinobacteria"	"Pseudonocardiaceae"	0.00254819733240142	0.00254819733240142	11.1111111111111	1	103
"Rhodococcus"	"Actinobacteria"	"Nocardiaceae"	0.0140622403279485	0.00703112016397424	11.1111111111111	2	61
"Rothia"	"Actinobacteria"	"Micrococcaceae"	0.00987475879731219	0.00840667033987263	33.3333333333333	3	66
"Ruminococcus"	"Firmicutes"	"Ruminococcaceae"	0.000518125318970899	0.000518125318970899	11.1111111111111	1	118
"Salinicoccus"	"Firmicutes"	"Staphylococcaceae"	0.0011914832775322	0.0011914832775322	11.1111111111111	1	115
"SGSH944"	"SAR406"	"A714017"	0.00610398978968981	0.00610398978968981	11.1111111111111	1	78
"Shewanella"	"Proteobacteria"	"Shewanellaceae"	0.00244809128685792	0.00181343861639815	22.2222222222222	2	105
"Streptomyces"	"Actinobacteria"	"Streptomycetaceae"	0.00499417346429166	0.00499417346429166	11.1111111111111	1	87
"Terracoccus"	"Actinobacteria"	"Intrasporangiaceae"	0.00943343876588425	0.00943343876588425	11.1111111111111	1	67
"Thauera"	"Proteobacteria"	"Rhodocyclaceae"	0.00640027928491425	0.00640027928491425	11.1111111111111	1	76
"Tsukamurella"	"Actinobacteria"	"Tsukamurellaceae"	0.0031087519138254	0.0031087519138254	11.1111111111111	1	97
"Veillonella"	"Firmicutes"	"Veillonellaceae"	0.00166472448809722	0.00166472448809722	11.1111111111111	1	111
