"Genus"	"Phylum"	"Family"	"Mean_RA"	"Median_RA"	"Sample_Percent"	"OTU_Count"	"Mean_RA_Rank"
"Actinobacillus"	"Proteobacteria"	"Pasteurellaceae"	1.66274773261673	0.831373866308364	9.09090909090909	2	20
"Aggregatibacter"	"Proteobacteria"	"Pasteurellaceae"	0.302317769566678	0.302317769566678	9.09090909090909	1	70
"Alloiococcus"	"Firmicutes"	"Aerococcaceae"	4.28226779252111	2.14113389626056	9.09090909090909	2	5
"Anaerococcus"	"Firmicutes"	"[Tissierellaceae]"	0.185942729639271	0.185942729639271	9.09090909090909	1	81
"Arcobacter"	"Proteobacteria"	"Campylobacteraceae"	0.00145611276137224	0.00145611276137224	9.09090909090909	1	140
"Atopobium"	"Actinobacteria"	"Coriobacteriaceae"	0.151158884783339	0.151158884783339	9.09090909090909	1	85
"Bradyrhizobium"	"Proteobacteria"	"Bradyrhizobiaceae"	0.410886194956838	0.52065838092039	27.2727272727273	2	58
"Brevibacterium"	"Actinobacteria"	"Brevibacteriaceae"	0.100772589855559	0.100772589855559	9.09090909090909	1	94
"Candidatus Amoebophilus"	"Bacteroidetes"	"[Amoebophilaceae]"	0.00169576601142268	0.00169576601142268	9.09090909090909	1	139
"Candidatus Solibacter"	"Acidobacteria"	"Solibacteraceae"	0.744469424183066	0.351391833775136	18.1818181818182	4	38
"Collimonas"	"Proteobacteria"	"Oxalobacteraceae"	1.52838427947598	0.764192139737991	9.09090909090909	2	23
"Curtobacterium"	"Actinobacteria"	"Microbacteriaceae"	0.669393826701376	0.669393826701376	9.09090909090909	1	44
"Dermacoccus"	"Actinobacteria"	"Dermacoccaceae"	0.319113201209271	0.319113201209271	9.09090909090909	1	68
"Geothrix"	"Acidobacteria"	"Holophagaceae"	0.00349106142813505	0.00349106142813505	9.09090909090909	1	132
"Glycomyces"	"Actinobacteria"	"Glycomycetaceae"	0.150784077201448	0.150784077201448	9.09090909090909	1	87
"Herbaspirillum"	"Proteobacteria"	"Oxalobacteraceae"	3.64723404757278	2.11974711788769	18.1818181818182	2	7
"Hydrogenophilus"	"Proteobacteria"	"Rhodocyclaceae"	0.914732973816744	0.686777454180173	27.2727272727273	2	35
"Kaistobacter"	"Proteobacteria"	"Sphingomonadaceae"	0.434056761268781	0.434056761268781	9.09090909090909	1	55
"Luteimonas"	"Proteobacteria"	"Xanthomonadaceae"	0.500834724540901	0.500834724540901	9.09090909090909	1	49
"Micrococcus"	"Actinobacteria"	"Micrococcaceae"	1.00669818198595	0.732390748808923	27.2727272727273	3	34
"Moraxella"	"Proteobacteria"	"Moraxellaceae"	1.89987937273824	0.949939686369119	9.09090909090909	2	17
"Neisseria"	"Proteobacteria"	"Neisseriaceae"	1.71067311268129	0.855336556340647	9.09090909090909	2	19
"Ochrobactrum"	"Proteobacteria"	"Brucellaceae"	1.04920611376547	0.646596440950611	27.2727272727273	2	32
"Peptoniphilus"	"Firmicutes"	"[Tissierellaceae]"	0.572979493365501	0.28648974668275	9.09090909090909	2	47
"[Prevotella]"	"Bacteroidetes"	"[Paraprevotellaceae]"	0.0020725012758836	0.0020725012758836	9.09090909090909	1	137
"Propionibacterium"	"Actinobacteria"	"Propionibacteriaceae"	0.319113201209271	0.159556600604636	9.09090909090909	2	67
"Proteiniclasticum"	"Firmicutes"	"Clostridiaceae"	0.701168614357262	0.350584307178631	9.09090909090909	2	43
"PSB-M-3"	"Firmicutes"	"Erysipelotrichaceae"	0.0667779632721202	0.0667779632721202	9.09090909090909	1	98
"Pseudonocardia"	"Actinobacteria"	"Pseudonocardiaceae"	0.00254819733240142	0.00254819733240142	9.09090909090909	1	134
"Rhizobium"	"Proteobacteria"	"Rhizobiaceae"	0.311870297937586	0.311870297937586	18.1818181818182	2	69
"Rhodanobacter"	"Proteobacteria"	"Xanthomonadaceae"	0.422195416164053	0.422195416164053	9.09090909090909	1	57
"Ruminococcus"	"Firmicutes"	"Ruminococcaceae"	0.000518125318970899	0.000518125318970899	9.09090909090909	1	143
"Salinicoccus"	"Firmicutes"	"Staphylococcaceae"	0.109766047315622	0.109766047315622	18.1818181818182	2	92
"Serratia"	"Proteobacteria"	"Enterobacteriaceae"	0.487067517635203	0.487067517635203	9.09090909090909	1	50
"Thauera"	"Proteobacteria"	"Rhodocyclaceae"	0.00640027928491425	0.00640027928491425	9.09090909090909	1	126
"Tsukamurella"	"Actinobacteria"	"Tsukamurellaceae"	0.0031087519138254	0.0031087519138254	9.09090909090909	1	133
"Variovorax"	"Proteobacteria"	"Comamonadaceae"	2.64038676087765	1.32019338043882	9.09090909090909	2	10
"Virgibacillus"	"Firmicutes"	"Bacillaceae"	2.30568984752696	1.15284492376348	9.09090909090909	2	13
