sample_id,tissue,bacteria,type,treatment,time,dada2,classified,no_chloroplast,>1_frequency
370(-)_SD_t2A,L_minor370_DWC112,none,treated_tissue,SD_treated,2,360585,359911,315133,315133
370(-)_SD_t2B,L_minor370_DWC112,none,treated_tissue,SD_treated,2,240084,238997,163883,163883
370(-)_SD_t7C,L_minor370_DWC112,none,treated_tissue,SD_treated,7,429682,429220,197989,197989
370(-)_t2A,L_minor370_DWC112,none,ambient_water,none,2,449087,448970,448336,448336
370(-)_W_t0A,L_minor370_DWC112,none,treated_tissue,water_treated,0,257512,256759,2689,2689
370(-)_W_t0B,L_minor370_DWC112,none,treated_tissue,water_treated,0,327957,326530,2995,2995
370(-)_W_t2A,L_minor370_DWC112,none,treated_tissue,water_treated,2,397169,396923,386007,386007
370(-)_W_t2B,L_minor370_DWC112,none,treated_tissue,water_treated,2,479945,462989,335716,335716
370(-)_W_t7C,L_minor370_DWC112,none,treated_tissue,water_treated,7,420493,420346,407149,407149
370(1A)_SD_t2A,L_minor370_DWC112,MicrobacteriumRU1A,treated_tissue,SD_treated,2,344063,343626,281247,281247
370(1A)_SD_t2B,L_minor370_DWC112,MicrobacteriumRU1A,treated_tissue,SD_treated,2,402918,402814,379662,379662
370(1A)_SD_t2C,L_minor370_DWC112,MicrobacteriumRU1A,treated_tissue,SD_treated,2,306133,306020,286598,286598
370(1A)_SD_t7A,L_minor370_DWC112,MicrobacteriumRU1A,treated_tissue,SD_treated,7,364925,364278,308060,308060
370(1A)_SD_t7B,L_minor370_DWC112,MicrobacteriumRU1A,treated_tissue,SD_treated,7,437280,435942,396700,396700
370(1A)_SD_t7C,L_minor370_DWC112,MicrobacteriumRU1A,treated_tissue,SD_treated,7,355886,355258,322846,322846
370(1A)_t2A,L_minor370_DWC112,MicrobacteriumRU1A,ambient_water,none,2,505177,504933,504202,504202
370(1A)_t2B,L_minor370_DWC112,MicrobacteriumRU1A,ambient_water,none,2,425976,425883,425684,425684
370(1A)_t2C,L_minor370_DWC112,MicrobacteriumRU1A,ambient_water,none,2,462817,462492,461110,461110
370(1A)_t7A,L_minor370_DWC112,MicrobacteriumRU1A,ambient_water,none,7,468934,465131,305600,305600
370(1A)_W_t0A,L_minor370_DWC112,MicrobacteriumRU1A,treated_tissue,water_treated,0,354012,352372,5777,5777
370(1A)_W_t0B,L_minor370_DWC112,MicrobacteriumRU1A,treated_tissue,water_treated,0,352972,351371,9028,9028
370(1A)_W_t0C,L_minor370_DWC112,MicrobacteriumRU1A,treated_tissue,water_treated,0,333684,332522,14247,14247
370(1A)_W_t2A,L_minor370_DWC112,MicrobacteriumRU1A,treated_tissue,water_treated,2,394927,394857,386482,386482
370(1A)_W_t2B,L_minor370_DWC112,MicrobacteriumRU1A,treated_tissue,water_treated,2,374773,374735,370742,370742
370(1A)_W_t2C,L_minor370_DWC112,MicrobacteriumRU1A,treated_tissue,water_treated,2,361594,361517,353850,353850
