	faith_pd
370(-)_SD_t2A	25.355225187000002
370(-)_SD_t2B	19.704448954
370(-)_SD_t7C	29.823578928000003
370(-)_t2A	68.20291264699999
370(-)_W_t2A	30.121625770999998
370(-)_W_t2B	24.99003924
370(-)_W_t7C	40.819173289
432(-)_t2B	36.607809421999995
432(-)_SD_t2A	29.667541709
432(-)_SD_t2B	22.903113422
432(-)_SD_t2C	26.735884125
432(-)_SD_t7C	41.849291085000004
432(-)_SD_t7D	55.52003951500001
432(-)_t2C	51.401389546
432(-)_W_t2A	28.51431693
432(-)_W_t2B	31.301161388999997
432(-)_W_t7C	43.064787433999996
432(-)_W_t7D	38.509133331
