	shannon
370(-)_SD_t2A	5.860171155158437
370(-)_SD_t2B	5.726953798003636
370(-)_SD_t7C	6.693181878588935
370(-)_t2A	8.004831458745105
370(-)_W_t2A	6.0003930426652685
370(-)_W_t2B	5.944471314484008
370(-)_W_t7C	7.575959413553333
432(-)_t2B	6.093955366774462
432(-)_SD_t2A	5.843805191306962
432(-)_SD_t2B	5.058151926247242
432(-)_SD_t2C	5.312419863937204
432(-)_SD_t7C	6.540196645001123
432(-)_SD_t7D	7.033235579587668
432(-)_t2C	7.091208975604806
432(-)_W_t2A	4.982883987847264
432(-)_W_t2B	5.807404978817527
432(-)_W_t7C	6.919405326336468
432(-)_W_t7D	6.323708176266218
