	370(-)_SD_t2A	370(-)_SD_t2B	370(-)_SD_t7C	370(-)_t2A	370(-)_W_t2A	370(-)_W_t2B	370(-)_W_t7C	432(-)_t2B	432(-)_SD_t2A	432(-)_SD_t2B	432(-)_SD_t2C	432(-)_SD_t7C	432(-)_SD_t7D	432(-)_t2C	432(-)_W_t2A	432(-)_W_t2B	432(-)_W_t7C	432(-)_W_t7D
370(-)_SD_t2A	0.0	0.3375185185185185	0.5271203703703704	0.8009351851851851	0.44550925925925927	0.5614629629629629	0.5809074074074074	0.8687222222222222	0.6888703703703704	0.622175925925926	0.5815648148148148	0.694462962962963	0.7854722222222222	0.8554166666666667	0.7158333333333333	0.6796111111111112	0.8065648148148148	0.74975
370(-)_SD_t2B	0.3375185185185185	0.0	0.5378148148148149	0.7533240740740741	0.4631851851851852	0.4915277777777778	0.6218518518518519	0.7780555555555555	0.6300277777777777	0.524074074074074	0.5027962962962963	0.6966203703703704	0.7912685185185185	0.8007314814814814	0.6465555555555556	0.6218333333333333	0.8155740740740741	0.7451574074074074
370(-)_SD_t7C	0.5271203703703704	0.5378148148148149	0.0	0.7875	0.6246944444444444	0.6893703703703704	0.45487037037037037	0.8188148148148148	0.7215277777777778	0.7256203703703704	0.6791296296296296	0.6670555555555555	0.7377685185185185	0.8185555555555556	0.7919722222222222	0.7154444444444444	0.7092592592592593	0.649824074074074
370(-)_t2A	0.8009351851851851	0.7533240740740741	0.7875	0.0	0.7300462962962962	0.6633055555555556	0.7425	0.6339722222222223	0.728537037037037	0.779787037037037	0.7939537037037037	0.8265092592592592	0.7839537037037037	0.6320185185185185	0.7894351851851852	0.7321388888888889	0.8241759259259259	0.8305277777777778
370(-)_W_t2A	0.44550925925925927	0.4631851851851852	0.6246944444444444	0.7300462962962962	0.0	0.3701203703703704	0.6404074074074074	0.8748611111111111	0.5782962962962963	0.5854351851851852	0.5155092592592593	0.6390833333333333	0.6955740740740741	0.8313981481481482	0.6269629629629629	0.5779537037037037	0.7732129629629629	0.7301111111111112
370(-)_W_t2B	0.5614629629629629	0.4915277777777778	0.6893703703703704	0.6633055555555556	0.3701203703703704	0.0	0.6625185185185185	0.8218518518518518	0.5192314814814815	0.5828888888888889	0.5393148148148148	0.6655555555555556	0.6952222222222222	0.8053611111111111	0.6178055555555556	0.5152407407407408	0.7778981481481482	0.7562314814814814
370(-)_W_t7C	0.5809074074074074	0.6218518518518519	0.45487037037037037	0.7425	0.6404074074074074	0.6625185185185185	0.0	0.8060092592592593	0.6998611111111112	0.75225	0.6988148148148148	0.5739814814814815	0.575037037037037	0.7881851851851852	0.7727407407407407	0.7013333333333334	0.595925925925926	0.651287037037037
432(-)_t2B	0.8687222222222222	0.7780555555555555	0.8188148148148148	0.6339722222222223	0.8748611111111111	0.8218518518518518	0.8060092592592593	0.0	0.7930648148148148	0.838324074074074	0.8573796296296297	0.8902685185185185	0.8854166666666666	0.5011944444444445	0.856712962962963	0.7934351851851852	0.8921481481481481	0.8886944444444445
432(-)_SD_t2A	0.6888703703703704	0.6300277777777777	0.7215277777777778	0.728537037037037	0.5782962962962963	0.5192314814814815	0.6998611111111112	0.7930648148148148	0.0	0.4080925925925926	0.4569537037037037	0.6417962962962963	0.6918148148148148	0.6017407407407407	0.3255925925925926	0.07978703703703703	0.7236203703703704	0.7074907407407407
432(-)_SD_t2B	0.622175925925926	0.524074074074074	0.7256203703703704	0.779787037037037	0.5854351851851852	0.5828888888888889	0.75225	0.838324074074074	0.4080925925925926	0.0	0.2825185185185185	0.6078240740740741	0.7366851851851852	0.7273518518518518	0.34674074074074074	0.3911759259259259	0.7430648148148148	0.6738796296296297
