	370(-)_SD_t2A	370(-)_SD_t2B	370(-)_SD_t7C	370(-)_t2A	370(-)_W_t2A	370(-)_W_t2B	370(-)_W_t7C	432(-)_t2B	432(-)_SD_t2A	432(-)_SD_t2B	432(-)_SD_t2C	432(-)_SD_t7C	432(-)_SD_t7D	432(-)_t2C	432(-)_W_t2A	432(-)_W_t2B	432(-)_W_t7C	432(-)_W_t7D
370(-)_SD_t2A	0.0	0.6081081081081081	0.6987179487179487	0.9187725631768953	0.7792397660818714	0.8035714285714286	0.7865055387713998	0.8445006321112516	0.8558823529411764	0.8365896980461812	0.8528925619834711	0.888	0.9065077910174152	0.9253355704697986	0.8760683760683761	0.8579310344827586	0.8882051282051282	0.8716763005780347
370(-)_SD_t2B	0.6081081081081081	0.0	0.6977611940298507	0.9348101265822785	0.8023255813953488	0.7687747035573123	0.7984581497797357	0.8338192419825073	0.8289241622574955	0.8030973451327433	0.8423153692614771	0.8930412371134021	0.922077922077922	0.9322964318389753	0.875	0.8390243902439024	0.903954802259887	0.8863049095607235
370(-)_SD_t7C	0.6987179487179487	0.6977611940298507	0.0	0.8978273634762184	0.8132295719844358	0.8227665706051873	0.6473684210526316	0.8009650180940893	0.8467741935483871	0.8604651162790697	0.8360902255639098	0.8247767857142857	0.8541854185418541	0.8844262295081967	0.8714285714285714	0.8447837150127226	0.8158697863682605	0.783410138248848
370(-)_t2A	0.9187725631768953	0.9348101265822785	0.8978273634762184	0.0	0.8154613466334164	0.8463508322663252	0.8598694123556002	0.8227245687091017	0.8837068443367656	0.934984520123839	0.9054138145612943	0.879604178119846	0.8084432717678101	0.7825635703165542	0.8918111177525403	0.8758907363420427	0.8760460251046025	0.8907608695652174
370(-)_W_t2A	0.7792397660818714	0.8023255813953488	0.8132295719844358	0.8154613466334164	0.0	0.6046511627906976	0.8342245989304813	0.8495475113122172	0.8094594594594594	0.8445121951219512	0.8244837758112095	0.8454935622317596	0.8324324324324325	0.8747967479674796	0.8169761273209549	0.8125	0.8597502401536984	0.855779427359491
370(-)_W_t2B	0.8035714285714286	0.7687747035573123	0.8227665706051873	0.8463508322663252	0.6046511627906976	0.0	0.8387715930902111	0.8469259723964868	0.7669291338582677	0.8086642599277978	0.8051282051282052	0.842603550295858	0.8254901960784313	0.8894645941278065	0.8340675477239354	0.7839416058394161	0.842720510095643	0.8431603773584906
370(-)_W_t7C	0.7865055387713998	0.7984581497797357	0.6473684210526316	0.8598694123556002	0.8342245989304813	0.8387715930902111	0.0	0.8084192439862543	0.8480662983425414	0.8941176470588236	0.8636806231742941	0.806930693069307	0.796242774566474	0.857328990228013	0.8681614349775785	0.8404634581105169	0.7423263327948304	0.7572898799313894
432(-)_t2B	0.8445006321112516	0.8338192419825073	0.8009650180940893	0.8227245687091017	0.8495475113122172	0.8469259723964868	0.8084192439862543	0.0	0.8191881918819188	0.8884462151394422	0.8711340206185567	0.8829787234042553	0.8830219333874898	0.7909090909090909	0.8576470588235294	0.8228438228438228	0.8726625111308994	0.8768186226964112
432(-)_SD_t2A	0.8558823529411764	0.8289241622574955	0.8467741935483871	0.8837068443367656	0.8094594594594594	0.7669291338582677	0.8480662983425414	0.8191881918819188	0.0	0.8078231292517006	0.7666666666666667	0.8314220183486238	0.8506493506493507	0.7803308823529411	0.6618589743589743	0.5008576329331046	0.8350515463917526	0.8346636259977195
432(-)_SD_t2B	0.8365896980461812	0.8030973451327433	0.8604651162790697	0.934984520123839	0.8445121951219512	0.8086642599277978	0.8941176470588236	0.8884462151394422	0.8078231292517006	0.0	0.7037815126050421	0.8100929614873837	0.8873379860418744	0.9172661870503597	0.8033613445378152	0.8117088607594937	0.8208430913348946	0.7997329773030708
