	370(-)_SD_t2A	370(-)_SD_t2B	370(-)_SD_t7C	370(-)_t2A	370(-)_W_t2A	370(-)_W_t2B	370(-)_W_t7C	432(-)_t2B	432(-)_SD_t2A	432(-)_SD_t2B	432(-)_SD_t2C	432(-)_SD_t7C	432(-)_SD_t7D	432(-)_t2C	432(-)_W_t2A	432(-)_W_t2B	432(-)_W_t7C	432(-)_W_t7D
370(-)_SD_t2A	0.0	0.32455146491653236	0.46188949923391487	0.7006403908772955	0.4293084350641694	0.4191782229673394	0.5665264938920729	0.5780749847462077	0.49263058260532283	0.37061358396553773	0.4631272139228772	0.5960418405095868	0.6621386305181504	0.6725289026827851	0.4707244469909569	0.4932936474491847	0.5966780748489363	0.5650908706435083
370(-)_SD_t2B	0.32455146491653236	0.0	0.45099645993201454	0.7377757538966822	0.41004643369715604	0.3312982573857552	0.5893636080409174	0.5693067965417339	0.4543161199134854	0.3471358646652129	0.42865818055261584	0.6189958278946935	0.6888769706198167	0.6906504982470123	0.46253545402916063	0.4659667416056911	0.6234949262178533	0.5907060304238893
370(-)_SD_t7C	0.46188949923391487	0.45099645993201454	0.0	0.6405333227232537	0.4231368930561262	0.41850858967037335	0.39441304408539246	0.49062151430291573	0.4778394373972	0.5162506496803082	0.44168550868522416	0.4148282876722438	0.5414125005493503	0.5890139243290227	0.47199920080674745	0.4748307566807821	0.4336079896541069	0.3863666211185861
370(-)_t2A	0.7006403908772955	0.7377757538966822	0.6405333227232537	0.0	0.6044081547588431	0.666441470471116	0.5325254995763266	0.5173092534293838	0.6254575801576042	0.7382368067261503	0.6429578094820053	0.5173215415037878	0.4118580367229281	0.3645732663292017	0.625841273738749	0.6018694251015023	0.5510087674395504	0.5783231504693065
370(-)_W_t2A	0.4293084350641694	0.41004643369715604	0.4231368930561262	0.6044081547588431	0.0	0.339026065133615	0.4566165008833654	0.47618957235412396	0.3816869341455353	0.44841093175700664	0.40593796365830176	0.4945726671178141	0.5625620523467284	0.568535841230517	0.3737146466930583	0.39111099056312576	0.5039646559158552	0.4860626391246474
370(-)_W_t2B	0.4191782229673394	0.3312982573857552	0.41850858967037335	0.666441470471116	0.339026065133615	0.0	0.4829350462149251	0.4814854255655006	0.3806005205394599	0.4191917334619838	0.3558033361437504	0.5168431584629206	0.6025764244343084	0.594385111051194	0.3739684158616202	0.39762886557883315	0.5245812400960554	0.49731201178000883
370(-)_W_t7C	0.5665264938920729	0.5893636080409174	0.39441304408539246	0.5325254995763266	0.4566165008833654	0.4829350462149251	0.0	0.5085904280166893	0.5042385516664104	0.6149311086836237	0.4867810528647091	0.3394047628016934	0.42312529977949176	0.499002734925978	0.4658541320730763	0.485925266565037	0.2656098263096279	0.32166667752751127
432(-)_t2B	0.5780749847462077	0.5693067965417339	0.49062151430291573	0.5173092534293838	0.47618957235412396	0.4814854255655006	0.5085904280166893	0.0	0.44975902175039373	0.5906637334778615	0.4724267054493254	0.5305393221978174	0.5661762743883031	0.425386947896469	0.4890865372160194	0.46532105099816296	0.5349453441258517	0.5319253869687474
432(-)_SD_t2A	0.49263058260532283	0.4543161199134854	0.4778394373972	0.6254575801576042	0.3816869341455353	0.3806005205394599	0.5042385516664104	0.44975902175039373	0.0	0.4590526845348226	0.3660051161210584	0.5066246031480864	0.5473137882261473	0.5352436290580779	0.35081289417240946	0.27424568060992394	0.4850868423747217	0.4902360013375821
432(-)_SD_t2B	0.37061358396553773	0.3471358646652129	0.5162506496803082	0.7382368067261503	0.44841093175700664	0.4191917334619838	0.6149311086836237	0.5906637334778615	0.4590526845348226	0.0	0.4453198649068392	0.6158828477641417	0.6835733853418287	0.6958782694649358	0.4527373029283552	0.47677349154223886	0.6251248114918297	0.5896578446664961
