	370(-)_SD_t2A	370(-)_SD_t2B	370(-)_SD_t7C	370(-)_t2A	370(-)_W_t2A	370(-)_W_t2B	370(-)_W_t7C	432(-)_t2B	432(-)_SD_t2A	432(-)_SD_t2B	432(-)_SD_t2C	432(-)_SD_t7C	432(-)_SD_t7D	432(-)_t2C	432(-)_W_t2A	432(-)_W_t2B	432(-)_W_t7C	432(-)_W_t7D
370(-)_SD_t2A	0.0	0.5736119105086481	0.21511214268771287	0.5430277264605555	0.1527678903392498	0.21318247113299063	0.39977049324810154	0.3114086197067039	0.3420697023227406	0.24473971319557408	0.1720828026497408	0.18251673949034242	0.4427389813994629	0.6318377519116757	0.35128323884469415	0.3092536805107219	0.2716127238879167	0.2064255283650557
370(-)_SD_t2B	0.5736119105086481	0.0	0.5532910224200278	0.4689899486403519	0.5744576392978057	0.529321511821565	0.42466830696847246	0.7882887939952594	0.36595902346950004	0.720182565532	0.6248828176281481	0.5976628138961575	0.5038957815941112	0.21843746177832418	0.44401128401732426	0.4034078305255373	0.7680316736019721	0.7109539517435741
370(-)_SD_t7C	0.21511214268771287	0.5532910224200278	0.0	0.4351193455362685	0.25849659625753707	0.25703639304753706	0.2776572162934072	0.43382576990065747	0.29347995366680557	0.4143273877460462	0.34996100152332404	0.23993277947372227	0.33020232324612037	0.543613714660537	0.27884171067037017	0.25961784395365717	0.34418542159520366	0.28930535500654636
370(-)_t2A	0.5430277264605555	0.4689899486403519	0.4351193455362685	0.0	0.5326673689197872	0.5147300292711019	0.22583328953034285	0.5612703646042039	0.2981491395531482	0.6593378187797222	0.6048634651766667	0.4999668154875649	0.2650076612913889	0.3363065425427869	0.3245013325008058	0.33370996763494465	0.49524722668939813	0.5420375886145927
370(-)_W_t2A	0.1527678903392498	0.5744576392978057	0.25849659625753707	0.5326673689197872	0.0	0.14795990673457415	0.4113338129786851	0.3573403821204167	0.34006382019389825	0.31370522435578685	0.1572893660904351	0.14405142631322224	0.4309475501779908	0.6278157880316853	0.3471868125322036	0.31158375182656467	0.30964716912940726	0.2646932705345463
370(-)_W_t2B	0.21318247113299063	0.529321511821565	0.25703639304753706	0.5147300292711019	0.14795990673457415	0.0	0.40627455657262945	0.3871446193129538	0.2755192357158982	0.3219892129185091	0.18818242366028703	0.2011896440791482	0.4095368485806389	0.5830932812614444	0.2951184506486109	0.24282986956717573	0.38811844516129634	0.3388901308240093
370(-)_W_t7C	0.39977049324810154	0.42466830696847246	0.2776572162934072	0.22583328953034285	0.4113338129786851	0.40627455657262945	0.0	0.5499184948535832	0.20253225991337936	0.570064459292083	0.5041666212022313	0.35974823650353693	0.16578014611974978	0.37025824438881494	0.2536003185993704	0.23840523642132408	0.4150529870938331	0.4404364313063054
432(-)_t2B	0.3114086197067039	0.7882887939952594	0.43382576990065747	0.5612703646042039	0.3573403821204167	0.3871446193129538	0.5499184948535832	0.0	0.457696201637426	0.17838009188892573	0.2515031577531668	0.33245859202547223	0.5383517799246669	0.6186690790265833	0.43320838274441653	0.4198135905092222	0.33863598105687975	0.2699434222870926
432(-)_SD_t2A	0.3420697023227406	0.36595902346950004	0.29347995366680557	0.2981491395531482	0.34006382019389825	0.2755192357158982	0.20253225991337936	0.457696201637426	0.0	0.4028468868788888	0.3547345853930556	0.3444612860258056	0.2121767562461296	0.3364478784113425	0.10521327087784281	0.04664541720574096	0.489167244930787	0.4419605584725186
432(-)_SD_t2B	0.24473971319557408	0.720182565532	0.4143273877460462	0.6593378187797222	0.31370522435578685	0.3219892129185091	0.570064459292083	0.17838009188892573	0.4028468868788888	0.0	0.1721746168010555	0.3165840557225647	0.5596456154939444	0.7065056315595647	0.38390765340306465	0.362980384474759	0.3865589670153241	0.2756210254156665
432(-)_SD_t2C	0.1720828026497408	0.6248828176281481	0.34996100152332404	0.6048634651766667	0.1572893660904351	0.18818242366028703	0.5041666212022313	0.2515031577531668	0.3547345853930556	0.1721746168010555	0.0	0.21317905381889807	0.4957978157783518	0.6571659632645461	0.36300219709726833	0.32046783335507384	0.3277418147863427	0.2183280892841666
432(-)_SD_t7C	0.18251673949034242	0.5976628138961575	0.23993277947372227	0.4999668154875649	0.14405142631322224	0.2011896440791482	0.35974823650353693	0.33245859202547223	0.3444612860258056	0.3165840557225647	0.21317905381889807	0.0	0.328704779663176	0.5881850723117221	0.345642654446611	0.31320567540728694	0.23648586832074064	0.2153248534104537
