sample_id	dada2	classified	sample_id	no_chloroplast	percent_remaining
370(1A)-t0A	414625	414614	370(1A)-t0A	481	0.1160115191
432(1A)-t0C	365509	365501	432(1A)-t0C	485	0.1326945754
432(-)-t0A	333228	333224	432(-)-t0A	471	0.1413463616
432(1A)-t0B	391865	391861	432(1A)-t0B	570	0.1454597421
432(-)-t0B	365719	365704	432(-)-t0B	542	0.1482072933
432(1A)-t0A	341616	341606	432(1A)-t0A	513	0.1501730063
370(1A)-t0B	242457	242457	370(1A)-t0B	380	0.156728822
370(-)-t0B	340479	340466	370(-)-t0B	549	0.1612495815
370(-)-t0A	265373	265361	370(-)-t0A	434	0.1635507855
370(1A)-t0C	323937	323930	370(1A)-t0C	607	0.1873861637
370(3D)-t0C	359498	359491	370(3D)-t0C	785	0.2183642984
370(3D)-t0A	372466	372466	370(3D)-t0A	1220	0.3275466754
432(3D)-t0B	305072	305064	432(3D)-t0B	1109	0.3635302756
370(3D)-t0B	347719	347710	370(3D)-t0B	1331	0.3827902562
432(3D)-t0A	332219	332209	432(3D)-t0A	1361	0.4096818569
370(3D)-t7B	277093	277089	370(3D)-t7B	3288	1.186622349
370(3D)-t2B	353796	353785	370(3D)-t2B	4284	1.210904928
370(3D)-t2A	402262	402255	370(3D)-t2A	6031	1.499297709
370(3D)-t2C	234463	234460	370(3D)-t2C	3705	1.580226904
370(3D)-t7C	294172	294163	370(3D)-t7C	4771	1.621889905
370(-)-t2B	312044	312041	370(-)-t2B	5066	1.623504604
432(1A)-t7B	203304	203296	432(1A)-t7B	3882	1.90953093
432(-)-t2A	368357	368351	432(-)-t2A	7190	1.951942577
432(-)-t7B	397831	397818	432(-)-t7B	8217	2.065517397
4323D)-t2A	361403	361390	4323D)-t2A	7551	2.089432469
432(3D)-t2B	282310	282216	432(3D)-t2B	6069	2.150480483
432(3D)-t7B	321666	321656	432(3D)-t7B	6934	2.155719153
432(1A)-t7A	362236	362203	432(1A)-t7A	7969	2.200147431
370(-)-t7B	366353	366310	370(-)-t7B	8221	2.244273976
432(-)-t2B	305877	305762	432(-)-t2B	7233	2.365565374
432(1A)-t2C	380468	380456	432(1A)-t2C	9505	2.498317808
432(1A)-t7C	249533	249527	432(1A)-t7C	6959	2.788876554
432(3D)-t7C	361034	361023	432(3D)-t7C	10441	2.892059509
