sample_id	location	type	species
CH_DT_A	Caldwell_House	rinsed_tissue	duckweed
CH_DT_B	Caldwell_House	rinsed_tissue	duckweed
CH_W_A	Caldwell_House	ambient_water	none
CH_W_B	Caldwell_House	ambient_water	none
CH_W_C	Caldwell_House	ambient_water	none
CH_W_D	Caldwell_House	ambient_water	none
CH_DT_C	Caldwell_House	rinsed_tissue	none
PP_DT_B	Passion_Puddle	rinsed_tissue	L_minor/japonica
PP_CT_D	Passion_Puddle	rinsed_tissue	L_minor/japonica
PP_W_A	Passion_Puddle	ambient_water	none
PP_W_B	Passion_Puddle	ambient_water	none
PP_W_C	Passion_Puddle	ambient_water	none
PP_W_D	Passion_Puddle	ambient_water	none
