feature_id	CH_DT_A	CH_DT_B	CH_DT_C	CH_RS_B	CH_W_A	CH_W_B	CH_W_C	CH_W_D	PP_CT_D	PP_DT_B	PP_W_A	PP_W_B	PP_W_C	PP_W_D
8bffdae742c2b11aa76409c1ac224b08	0.0	0.0	0.0	0.0	4.0	3.0	7.0	8.0	0.0	0.0	17.0	26.0	23.0	14.0
d624c726170be08a48f98aa03d439c86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	1.0	1.0	0.0	1.0
90989712a649ea1e2dba29102fd76eef	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
f9b5d87948f3901fb8d476e84d16da27	0.0	0.0	0.0	0.0	9.0	4.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f79f19389603f0e982ef2b788f3f592d	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0
14ffe96b678f8514163b42c5ee4aebbd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
c76d47f2601972274c1f3a1de954d957	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	2.0	3.0	1.0
85cbe7b9f297b5d6572e03f4ff6ec324	44.0	38.0	9.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5af80d18d6f2ec24581f6bffde2c251c	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
dd64561069a2631b29d08a634f7a4742	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0
0356cba003a73691db74b9387cec8271	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
a2ccdbccbe0e0b247a41869fabb78647	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0
7a0bb5c59a924cdf2ddf06c88fa26dd8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
f12b30ef920504eb8e10a79889759b22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0
a8862436a6a3e8e90d2be45deed928ea	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
5fa7d1f7ce845c6482d4590ace74e282	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
