sample_id	dada2	ggNB	silvaNB	ggvsearch	ggblast
CH_DT_A	344610	304866	1996	342852	342880
CH_DT_B	304349	271860	2569	302210	301926
CH_DT_C	271427	238454	1744	270513	269786
CH_RS_B	303356	232893	110953	276977	279422
CH_W_A	332023	226671	190089	314694	311841
CH_W_B	342564	239870	195150	325741	325763
CH_W_C	328760	228223	192975	311961	310188
CH_W_D	296394	196876	158003	282012	281080
JP_A_D8	341194	273359	18623	330619	333108
JP_B_D8	376430	300658	20092	365297	366056
JP_C_D8	386062	301935	24839	369872	373196
JP_E_D8	331180	265572	22960	319489	320477
JP_RF_Lemna_B	428228	240527	185039	356103	371012
JP_RS_Spiro_B	319655	172656	121054	269283	276890
JP_RS_Spiro_C	309956	178447	96600	266692	273693
JP_RT_Lemna_D	380951	293365	34907	360258	365941
JP_RT_Lemna_E	309569	249302	26326	299581	299309
JP_RT_Spiro_B	212471	170795	20673	204480	206511
JP_RT_Spiro_C	342319	275576	18657	330332	334383
JP_W_A	418857	280991	263700	319756	372351
JP_W_B	257295	172990	162800	196533	230249
JP_W_C	338946	232174	221547	252225	304094
JP_W_D	398009	276176	261461	295667	358412
PP_CT_D	355098	298927	2761	351514	351510
PP_DT_B	313931	260028	4684	308962	309684
PP_W_A	142395	98680	82802	123296	123449
PP_W_B	380782	259860	216018	327489	327412
PP_W_C	316190	218758	181739	275630	275462
PP_W_D	256343	170543	147293	215586	215269
