"sample_id"	"location"	"type"	"species"	"Genus"	"instance"	"clr"
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Agrobacterium"	"1"	8.58741964520796
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Azohydromonas"	"1"	5.93290380797157
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Blastomonas"	"1"	6.05590253062818
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Caulobacter"	"1"	6.40078571544824
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Corynebacterium"	"1"	2.67729568692145
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Fusibacter"	"1"	-3.39583052417519
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Leptothrix"	"1"	6.56496620864321
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Luteolibacter"	"1"	3.69191487099587
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Methylotenera"	"1"	6.35170950471074
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Novosphingobium"	"1"	8.20028978266746
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Propionivibrio"	"1"	5.83333267452646
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Pseudomonas"	"1"	6.26676444397876
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Rheinheimera"	"1"	7.34452349010172
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Rhodobacter"	"1"	10.1258712574879
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Rhodococcus"	"1"	3.37150276055953
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Rubrivivax"	"1"	7.14514728797608
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"u114"	"1"	-0.90563333762101
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Uliginosibacterium"	"1"	5.40035699008224
"CH_DT_A"	"Caldwell_House"	"rinsed_tissue"	"duckweed"	"Agrobacterium"	"2"	8.58698251808647
