"Genus"	"rab.all"	"rab.win.ambient_water"	"rab.win.rinsed_tissue"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"
"Acinetobacter"	1.20470605552234	0.487843562726521	8.03146983804413	7.53435610291022	1.09463399195964	7.13901844228837	0.000547999460257121	0.0181107225995236	0.100268825326327	0.133333333333333	0.248433575430248
"Agrobacterium"	5.11535995410462	4.4992157030864	9.0201641373544	4.37233750394592	0.682953418450799	6.33283790129618	0.000547999460257121	0.0101079699798182	0.0658629733184362	0.133333333333333	0.248433575430248
"Aquitalea"	4.04845181303389	3.24065926554773	7.68852610043878	4.40254072973475	1.11529868654435	4.09630188749019	0.000547999460257121	0.00915592979386922	0.0684133366516021	0.133333333333333	0.248433575430248
"Asticcacaulis"	2.0360810978107	1.35646779199405	5.23277743965451	3.86851734914884	1.16639255375191	3.28248509434367	0.000547999460257121	0.0664974592732415	0.202971451303723	0.133333333333333	0.248433575430248
"Azospirillum"	3.06629333926822	2.74084397823577	4.91141363587523	2.02206072255737	0.787905292064122	2.45909538391857	0.0155432426385351	0.0908089794840198	0.228475175812041	0.140625	0.257979901235857
"Bacillus"	-4.12995475071691	-5.81314491230164	7.67680996689194	13.3413054481309	2.87112856292247	5.05098812139017	0.000547999460257121	0.00364847459685339	0.0392018318717567	0.133333333333333	0.248433575430248
"Burkholderia"	-4.66093936603468	-5.88540999281748	2.16330362774033	7.93638716403681	4.95993303652678	1.45280284607461	0.070320854303801	0.185350523895603	0.345273136162426	0.221354166666667	0.336616567962889
"Candidatus Aquiluna"	-4.67422713087381	-6.02016337508119	2.75135855603565	8.04962511004275	4.89149200655844	1.37926918309556	0.07752677328281	0.212980626114607	0.381525465521746	0.2484375	0.364038098681653
"Caulobacter"	2.92338174832294	2.13878140053856	7.75646639683083	5.56362686350256	0.839885006332812	6.58007695152019	0.000547999460257121	0.00159124068230075	0.0278671286675852	0.133333333333333	0.248433575430248
"Chromobacterium"	-1.40156572552758	-4.6305803329253	5.39613870537669	10.0357700609279	3.29879523293098	3.23945609567462	0.000547999460257121	0.0137641709563966	0.0850174413627054	0.133333333333333	0.248433575430248
"Cloacibacterium"	1.45168399055227	0.751028908733854	4.74707903543378	4.16534322348437	1.60556118986051	2.78042405928756	0.000547999460257121	0.0391191017075736	0.159208802158208	0.133333333333333	0.248433575430248
"Clostridium"	5.38065005969331	4.92596513020325	7.75494559887006	2.68156966328449	0.948768892764516	2.96630703201816	0.000547999460257121	0.0803319618723858	0.245029374730369	0.133333333333333	0.248433575430248
"Dechloromonas"	6.46833687322991	5.8660334663215	9.55168674217224	3.5478912416456	0.810461474067105	4.4542177529452	0.000547999460257121	0.0162816185814485	0.0901249463646259	0.133333333333333	0.248433575430248
"Emticicia"	-1.10469062787979	-1.85089297574973	5.45093209746496	7.49375248629125	2.09605527583563	4.20454274874625	0.000547999460257121	0.0118045894875936	0.0768719474694408	0.133333333333333	0.248433575430248
"Flectobacillus"	2.87337082486386	2.36679045830519	7.89822102353061	5.39327988051245	0.95291786983424	5.83735691412732	0.000547999460257121	0.0302399465363264	0.138074345257096	0.133333333333333	0.248433575430248
"Fusibacter"	-1.4668522360129	-4.75406506598432	6.32524819219618	10.5082944620813	3.25368181255984	3.19964583637429	0.000547999460257121	0.00907421801957714	0.0684184171809581	0.133333333333333	0.248433575430248
"Fusobacterium"	1.0242336251545	-0.0994563590330717	4.86705397670072	4.87794912850461	1.09538304738571	4.02410229367477	0.000547999460257121	0.010719089220199	0.0687422436917217	0.133333333333333	0.248433575430248
"Herbaspirillum"	-0.849137604613712	-4.54678245999165	5.79352473170023	10.0652041543647	3.64342526121724	2.64030293363924	0.000547999460257121	0.0145374647010704	0.0899757580470153	0.133333333333333	0.248433575430248
"Hydrogenophaga"	4.99030950862681	4.85458500496137	8.84940192562482	3.96233308422002	0.309652788976515	12.6067097130491	0.000547999460257121	0.00623368661412255	0.0431685647760806	0.133333333333333	0.248433575430248
"Hymenobacter"	-4.36062800403699	-5.95677536423606	4.47649611416379	10.3549084912818	2.98791478900401	3.57764553182696	0.000547999460257121	0.0121047754462547	0.0764935820445111	0.133333333333333	0.248433575430248
"Janthinobacterium"	2.99334069406345	2.37822775742853	8.24720635724962	5.83628646579441	1.31498528535192	4.53430126660757	0.000547999460257121	0.0425346895801093	0.176149140035762	0.133333333333333	0.248433575430248
"Lewinella"	-4.21248321240516	-5.79536546306649	4.51882928046789	10.3221226955127	3.15936737880146	3.5764991742658	0.000547999460257121	0.0067236828000976	0.0538426668108955	0.133333333333333	0.248433575430248
"Luteolibacter"	2.21733968057492	1.73479956847942	4.77351738782422	2.99576917955931	0.766864963438763	3.86866807700582	0.000547999460257121	0.0215442934294565	0.0955868811485323	0.133333333333333	0.248433575430248
"Methylibium"	5.44088431911589	4.5925672258593	6.45983827191561	1.92827926851904	0.813529780654592	2.12923551033834	0.0155432426385351	0.0333027237786167	0.151812800470287	0.146875	0.265233373514759
"Methylotenera"	-4.43687952510829	-5.89095811271056	6.4976271856975	12.3689326586019	2.63180401047348	4.75965127803877	0.000547999460257121	0.00482909422320779	0.0458634548886431	0.133333333333333	0.248433575430248
"Novosphingobium"	6.39567398564584	6.150717085934	7.21039069824812	1.02740760690689	0.805373174865379	1.09578142203871	0.209304524505175	0.22974386961662	0.427975418079354	0.415104166666667	0.559265451414838
"Paludibacter"	4.00927772934921	3.56124956429644	7.46876582486323	3.73223485039604	1.03838028201358	3.57199259543325	0.000547999460257121	0.0577454676142855	0.201820931407284	0.133333333333333	0.248433575430248
"Pleomorphomonas"	-4.72152078622378	-6.00129821693513	3.89695181944196	8.92685336647264	6.26356179343069	1.2364705882691	0.07752677328281	0.269705992730284	0.460672412756705	0.241666666666667	0.359159296993715
"Propionivibrio"	2.5481421828253	2.36026982646328	8.02398148552621	6.04059828821139	1.54153224273054	3.79192200641394	0.000547999460257121	0.0273778646635187	0.13038060548657	0.133333333333333	0.248433575430248
"Rhizobium"	6.15159558733574	5.37097764057235	10.2414586406756	4.93989024741846	1.03922835777678	4.68004713129316	0.000547999460257121	0.0104347543686227	0.072128118012781	0.133333333333333	0.248433575430248
"Rhodobacter"	6.28246469147485	5.65640197312426	8.61660484372116	2.64218979568682	1.24310313608935	2.49066367791837	0.000547999460257121	0.118748568351252	0.319308000281028	0.133333333333333	0.248433575430248
"Rhodoplanes"	1.33405069894874	0.493522824104959	8.02135100365848	7.61660400257517	4.05651656168564	2.49453637105144	0.000547999460257121	0.0206842163696882	0.113975864802266	0.133333333333333	0.248433575430248
"Sphingomonas"	4.82681712609504	4.26861721914028	9.23914833582495	4.9470080833305	0.565834758345896	8.40538543705695	0.000547999460257121	0.000666151515878211	0.0169166060319256	0.133333333333333	0.248433575430248
"Sulfurospirillum"	1.48251572989477	1.12660940682991	8.93908967627699	7.82169297654547	0.753604546730756	10.206890296242	0.000547999460257121	0.00440810359310959	0.0404125181061913	0.133333333333333	0.248433575430248
"Thauera"	-4.40718467570763	-5.80758753702635	5.12524614476028	10.2308488767664	7.15947479698925	1.41454102018301	0.070320854303801	0.264116075421735	0.459724357553551	0.236458333333333	0.350051169515032
"Uliginosibacterium"	4.76318201279325	4.40620972598038	7.14497777828497	2.78356650870121	0.811674503928146	3.11828142059988	0.000547999460257121	0.119514072431696	0.31604482642791	0.133333333333333	0.248433575430248
"Veillonella"	-4.48486805536735	-5.88159106765709	3.18185303305644	8.10108099589827	4.25936940034788	1.73678019571309	0.0546984444258801	0.171347558232169	0.335502254682892	0.1984375	0.316745685610207
"Vogesella"	0.651178583855108	0.181174634527361	8.21259721877727	8.05531045384158	0.936121900394814	9.50448375205995	0.000547999460257121	0.0076706881302917	0.0563480451829455	0.133333333333333	0.248433575430248
