"Genus"	"Phylum"	"Family"	"rab.all"	"rab.win.ambient_water"	"rab.win.rinsed_tissue"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"
"Acetobacterium"	"Firmicutes"	"Eubacteriaceae"	-3.06427944785001	-4.72804972438713	-1.25714127503286	3.13724637195948	4.11899136760264	0.672225393109991	0.223959230903001	0.280107354046968	0.413416846909653	0.353125	0.471009686177334
"Acinetobacter"	"Proteobacteria"	"Moraxellaceae"	5.83208081953547	5.54015207620374	6.94518324886032	0.902783316079699	1.48828256861445	0.695202984979089	0.233161456450763	0.346220018701923	0.505678050740606	0.397098214285714	0.541610538572311
"Agrobacterium"	"Proteobacteria"	"Rhizobiaceae"	3.7124156868064	2.79372947463549	9.04377423456806	6.24411715555136	1.06159163202089	6.00146513172535	0.000365399848804012	0.000815711274873476	0.0134612075414568	0.0571428571428571	0.143003168915801
"Agrobacterium"	"Proteobacteria"	"Rhizobiaceae"	3.7124156868064	2.79372947463549	9.04377423456806	6.24411715555136	1.06159163202089	6.00146513172535	0.000365399848804012	0.000815711274873476	0.0134612075414568	0.0571428571428571	0.143003168915801
"Allochromatium"	"Proteobacteria"	"Chromatiaceae"	-3.55938858846812	-4.82128517321001	-1.49593469839382	3.36847373692317	4.26612890576428	0.626214997100709	0.213542630602218	0.281387194379171	0.420160911875005	0.368973214285714	0.485298770835553
"Aphanizomenon"	"Cyanobacteria"	"Nostocaceae"	-3.24553695411129	-4.70610515372101	-1.35932003349391	2.90389261518308	4.2971917020872	0.610362156738251	0.238342775047909	0.34858122696737	0.476888493361146	0.421428571428571	0.52782711549691
"Aquicella"	"Proteobacteria"	"Coxiellaceae"	-3.10816322815618	-4.36216743127607	-1.36831366176715	2.30550338743974	4.64451613223222	0.439349609352942	0.296875549929299	0.406879804855386	0.54047649331847	0.5125	0.628453347184328
"Asticcacaulis"	"Proteobacteria"	"Caulobacteraceae"	0.693896089638058	0.19571635151406	2.59142351011506	2.35883160501762	3.86451809928601	0.55475123529185	0.196892263794227	0.327083505234631	0.471995269852764	0.324107142857143	0.465262536012632
"Asticcacaulis"	"Proteobacteria"	"Caulobacteraceae"	0.693896089638058	0.19571635151406	2.59142351011506	2.35883160501762	3.86451809928601	0.55475123529185	0.196892263794227	0.327083505234631	0.471995269852764	0.324107142857143	0.465262536012632
"Azohydromonas"	"Proteobacteria"	"Comamonadaceae"	-3.63283117840293	-5.81478821434264	5.43194587230201	9.9179084445837	5.14490127061382	1.70177386854792	0.0414572280738825	0.0670005558982993	0.172150681914564	0.110267857142857	0.209623246202845
"Azospirillum"	"Proteobacteria"	"Rhodospirillaceae"	-0.00483737372445781	0.338745262555018	-1.46167596718619	-1.25573031076686	4.93511671034014	-0.234312861709474	0.343750391434289	0.575272451858181	0.691268678418651	0.595089285714286	0.697128913856835
"Azospirillum"	"Proteobacteria"	"Rhodospirillaceae"	-0.00483737372445781	0.338745262555018	-1.46167596718619	-1.25573031076686	4.93511671034014	-0.234312861709474	0.343750391434289	0.575272451858181	0.691268678418651	0.595089285714286	0.697128913856835
"Bacillus"	"Firmicutes"	"Bacillaceae"	1.7499790219634	1.93965896658181	0.168615638262084	-1.58109943698821	6.89452553072392	-0.221070517043178	0.364583663678488	0.788044267969669	0.860329587508788	0.689508928571429	0.783595136002674
"Bacillus"	"Firmicutes"	"Bacillaceae"	1.7499790219634	1.93965896658181	0.168615638262084	-1.58109943698821	6.89452553072392	-0.221070517043178	0.364583663678488	0.788044267969669	0.860329587508788	0.689508928571429	0.783595136002674
"Bacteriovorax"	"Proteobacteria"	"Bacteriovoracaceae"	-3.66821620963209	-4.78426565540022	-1.54693949953645	3.00114642646732	4.46140559879523	0.58608711169376	0.223959230903001	0.319302488200145	0.451645638501681	0.381696428571429	0.500243455679136
"Bacteroides"	"Bacteroidetes"	"Bacteroidaceae"	0.473339135995223	0.802377282592244	-1.60443070691791	-2.52129926349619	2.69268795699562	-0.894970512880814	0.14507932060197	0.222549290278228	0.365804017646018	0.255803571428571	0.362466169979657
"Bacteroides"	"Bacteroidetes"	"Bacteroidaceae"	0.473339135995223	0.802377282592244	-1.60443070691791	-2.52129926349619	2.69268795699562	-0.894970512880814	0.14507932060197	0.222549290278228	0.365804017646018	0.255803571428571	0.362466169979657
"Bdellovibrio"	"Proteobacteria"	"Bdellovibrionaceae"	1.05548646071428	1.51095816327981	-1.38785382086595	-3.21615095144449	2.42386754667587	-1.17303077000487	0.0729202363990322	0.159744664569875	0.302027453782437	0.160714285714286	0.265544237052218
"Bdellovibrio"	"Proteobacteria"	"Bdellovibrionaceae"	1.05548646071428	1.51095816327981	-1.38785382086595	-3.21615095144449	2.42386754667587	-1.17303077000487	0.0729202363990322	0.159744664569875	0.302027453782437	0.160714285714286	0.265544237052218
"Blastomonas"	"Proteobacteria"	"Sphingomonadaceae"	3.93830710784781	3.61776352629194	5.71651686112856	2.14672473876412	0.610263181069789	3.52421494629513	0.000365399848804012	0.00526813282070223	0.0386369098985851	0.0571428571428571	0.143003168915801
