"Genus"	"Phylum"	"Family"	"rab.all"	"rab.win.Caldwell_House"	"rab.win.Passion_Puddle"	"diff.btw"	"diff.win"	"effect"	"overlap"	"we.ep"	"we.eBH"	"wi.ep"	"wi.eBH"
"5-7N15"	"Bacteroidetes"	"Bacteroidaceae"	-3.32356422931205	-2.49725449527562	-4.20140943701562	-1.28894594843393	4.58414188951688	-0.259243938947122	0.375000169541022	0.530497295915747	0.637171082878398	0.602678571428571	0.695454764411423
"Acetobacter"	"Proteobacteria"	"Acetobacteraceae"	0.197780849761534	-2.61578939883479	0.827733087734477	3.52068852560351	2.46392765306421	1.26670414482312	0.0351606042929372	0.0721049395910177	0.148718297226656	0.0662946428571429	0.126946907402588
"Acetobacterium"	"Firmicutes"	"Eubacteriaceae"	-2.51908205747339	-1.54111478193782	-3.84348602526802	-2.78518802312738	4.74278075072797	-0.496475538417587	0.276264944393637	0.34935486869019	0.459959041562404	0.408705357142857	0.514699343609939
"Acinetobacter"	"Proteobacteria"	"Moraxellaceae"	4.98546446193581	8.89847033359578	1.10141157424558	-7.99310686544498	1.83964504362073	-4.68755058118935	0.00027407495720991	0.0158319749396523	0.0532408011343215	0.0285714285714286	0.0729296930339109
"Aeromicrobium"	"Actinobacteria"	"Nocardioidaceae"	-3.3035113691789	-2.61907423988695	-4.11240865706642	-0.924122839796862	5.58125197776767	-0.120378575733545	0.455252975200381	0.605277017316301	0.7080392195064	0.699553571428571	0.782369630842525
"Agrobacterium"	"Proteobacteria"	"Rhizobiaceae"	5.59448712204366	6.0634093468971	5.10151786255727	-0.816786086241442	0.857350155122974	-1.007548306156	0.117188676239036	0.111650817961587	0.21254312355137	0.130357142857143	0.233888214792066
"Agrobacterium"	"Proteobacteria"	"Rhizobiaceae"	5.59448712204366	6.0634093468971	5.10151786255727	-0.816786086241442	0.857350155122974	-1.007548306156	0.117188676239036	0.111650817961587	0.21254312355137	0.130357142857143	0.233888214792066
"Allochromatium"	"Proteobacteria"	"Chromatiaceae"	-3.71626559177211	-1.51596244801382	-5.32147313810213	-3.89691105215649	4.37548744250973	-0.768636484283877	0.171206956551667	0.225454212718863	0.327511797512378	0.243080357142857	0.341503668134188
"Anaeromyxobacter"	"Proteobacteria"	"Myxococcaceae"	-0.825597557417687	-2.50991248354498	2.37733864715303	4.14554217349802	4.52697024259508	0.883333669462572	0.144532163905346	0.199624370225762	0.29845603185929	0.186160714285714	0.298256994596575
"Anaeroplasma"	"Tenericutes"	"Anaeroplasmataceae"	1.49300763452079	-2.55743784324267	2.55634803292458	5.26427683736015	2.57223652009013	2.1402626381594	0.00027407495720991	0.0249605928116136	0.067728453337863	0.0292410714285714	0.074132512773085
