CH_DT_A	CH_DT_B	CH_DT_C	CH_W_A	CH_W_B	CH_W_C	CH_W_D	PP_CT_D	PP_DT_B	PP_W_A	PP_W_B	PP_W_C	PP_W_D
CH_DT_A	0	0.0669759743241483	0.131857959534317	0.335776209832094	0.349711325942808	0.354678027248358	0.320142590521344	0.198129805568056	0.188610347754119	0.34141850683287	0.346637033591984	0.348666109237251	0.341890567383915
CH_DT_B	0.0669759743241483	0	0.13184743251159	0.331314947459624	0.343880344706947	0.347428988449299	0.312720851966937	0.18937278719946	0.191072094018221	0.339272358997997	0.343097056932353	0.346951844680796	0.339368277982618
CH_DT_C	0.131857959534317	0.13184743251159	0	0.357404714892185	0.363996497312496	0.373534821124445	0.333163088254301	0.193868626385914	0.19305535422471	0.367820520720763	0.370089172245633	0.373864291960272	0.367180954971357
CH_W_A	0.335776209832094	0.331314947459624	0.357404714892185	0	0.0516276213810544	0.0686954725584899	0.093178048482389	0.405815019614066	0.396588420685485	0.156968020166391	0.170914117168038	0.16400790683005	0.172207259070234
CH_W_B	0.349711325942808	0.343880344706947	0.363996497312496	0.0516276213810544	0	0.0676158395772184	0.0902290814626348	0.419694249476954	0.409254156341858	0.162977233771378	0.175324703688442	0.170368487299401	0.179278166950004
CH_W_C	0.354678027248358	0.347428988449299	0.373534821124445	0.0686954725584899	0.0676158395772184	0	0.11908334906731	0.423143221529801	0.413076594263758	0.175151426806005	0.185988904177027	0.182653395266298	0.189399175204452
CH_W_D	0.320142590521344	0.312720851966937	0.333163088254301	0.093178048482389	0.0902290814626348	0.11908334906731	0	0.38655817162643	0.377653252049025	0.148717832543482	0.147698404613913	0.154629881399724	0.150322891523729
PP_CT_D	0.198129805568056	0.18937278719946	0.193868626385914	0.405815019614066	0.419694249476954	0.423143221529801	0.38655817162643	0	0.0768072215011597	0.404074315330241	0.407589696115228	0.412146110419467	0.403942783519913
PP_DT_B	0.188610347754119	0.191072094018221	0.19305535422471	0.396588420685485	0.409254156341858	0.413076594263758	0.377653252049025	0.0768072215011597	0	0.388099405120655	0.39238567880872	0.394912889771146	0.38914371219501
PP_W_A	0.34141850683287	0.339272358997997	0.367820520720763	0.156968020166391	0.162977233771378	0.175151426806005	0.148717832543482	0.404074315330241	0.388099405120655	0	0.094579176669673	0.0841059431693596	0.0987193259663502
PP_W_B	0.346637033591984	0.343097056932353	0.370089172245633	0.170914117168038	0.175324703688442	0.185988904177027	0.147698404613913	0.407589696115228	0.39238567880872	0.094579176669673	0	0.0868205543935731	0.0886052184097107
PP_W_C	0.348666109237251	0.346951844680796	0.373864291960272	0.16400790683005	0.170368487299401	0.182653395266298	0.154629881399724	0.412146110419467	0.394912889771146	0.0841059431693596	0.0868205543935731	0	0.0983167024155207
PP_W_D	0.341890567383915	0.339368277982618	0.367180954971357	0.172207259070234	0.179278166950004	0.189399175204452	0.150322891523729	0.403942783519913	0.38914371219501	0.0987193259663502	0.0886052184097107	0.0983167024155207	0
