"Genus"	"Phylum.x"	"Family.x"	"Phylum.y"	"Family.y"	"Mean_RA"	"Median_RA"	"Sample_Percent"	"OTU_Count"	"Mean_RA_Rank"
"Acinetobacter"	"Proteobacteria"	"Moraxellaceae"	"Proteobacteria"	"Moraxellaceae"	1.41215360626116	0.903819918144611	100	3	10
"Agrobacterium"	"Proteobacteria"	"Rhizobiaceae"	"Proteobacteria"	"Rhizobiaceae"	7.45702880378285	2.80897045654127	100	3	2
"Asticcacaulis"	"Proteobacteria"	"Caulobacteraceae"	"Proteobacteria"	"Caulobacteraceae"	0.106259738230575	0.106259738230575	66.6666666666667	2	36
"Azohydromonas"	"Proteobacteria"	"Comamonadaceae"	"Proteobacteria"	"Comamonadaceae"	0.693088948654478	0.693088948654478	66.6666666666667	1	17
"Bacillus"	"Firmicutes"	"Bacillaceae"	"Firmicutes"	"Bacillaceae"	3.84825327510917	1.92412663755458	33.3333333333333	2	4
"Blastomonas"	"Proteobacteria"	"Sphingomonadaceae"	"Proteobacteria"	"Sphingomonadaceae"	0.635667272715782	0.627729257641921	100	2	18
"Caulobacter"	"Proteobacteria"	"Caulobacteraceae"	"Proteobacteria"	"Caulobacteraceae"	1.03931062369524	0.502208778983217	66.6666666666667	3	11
"Cellvibrio"	"Proteobacteria"	"Alteromonadaceae"	"Proteobacteria"	"Alteromonadaceae"	1.91081263680541	0.992952305998533	66.6666666666667	2	7
"Clostridium"	"Firmicutes"	"Clostridiaceae"	"Firmicutes"	"Clostridiaceae"	0.278026832363262	0.191048034934498	66.6666666666667	2	30
"Corynebacterium"	"Actinobacteria"	"Corynebacteriaceae"	"Actinobacteria"	"Corynebacteriaceae"	0.300134407979736	0.300134407979736	66.6666666666667	2	25
"Crenothrix"	"Proteobacteria"	"Crenotrichaceae"	"Proteobacteria"	"Crenotrichaceae"	0.106044538706257	0.106044538706257	33.3333333333333	1	38
"Devosia"	"Proteobacteria"	"Hyphomicrobiaceae"	"Proteobacteria"	"Hyphomicrobiaceae"	0.169671261930011	0.169671261930011	33.3333333333333	1	34
"Flavobacterium"	"Bacteroidetes"	"Flavobacteriaceae"	"Bacteroidetes"	"Flavobacteriaceae"	0.936011414220886	0.478847240295072	100	4	14
"Flectobacillus"	"Bacteroidetes"	"Cytophagaceae"	"Bacteroidetes"	"Cytophagaceae"	0.296924708377519	0.296924708377519	33.3333333333333	1	26
"Fluviicola"	"Bacteroidetes"	"Cryomorphaceae"	"Bacteroidetes"	"Cryomorphaceae"	0.602450164130326	0.324010914051842	66.6666666666667	2	19
"Fusibacter"	"Firmicutes"	"[Acidaminobacteraceae]"	"Firmicutes"	"[Acidaminobacteraceae]"	0.204638472032742	0.204638472032742	33.3333333333333	1	33
"Fusobacterium"	"Fusobacteria"	"Fusobacteriaceae"	"Fusobacteria"	"Fusobacteriaceae"	0.212089077412513	0.212089077412513	33.3333333333333	1	32
"Geobacter"	"Proteobacteria"	"Geobacteraceae"	"Proteobacteria"	"Geobacteraceae"	0.136425648021828	0.136425648021828	33.3333333333333	1	35
"Hydrogenophaga"	"Proteobacteria"	"Comamonadaceae"	"Proteobacteria"	"Comamonadaceae"	6.07307886501962	1.04597457535166	66.6666666666667	8	3
"Leadbetterella"	"Bacteroidetes"	"Cytophagaceae"	"Bacteroidetes"	"Cytophagaceae"	2.59913446837132	1.12271400236394	100	4	6
"Leptothrix"	"Proteobacteria"	"Comamonadaceae"	"Proteobacteria"	"Comamonadaceae"	0.955476845977903	0.955476845977903	66.6666666666667	1	12
"Luteolibacter"	"Verrucomicrobia"	"Verrucomicrobiaceae"	"Verrucomicrobia"	"Verrucomicrobiaceae"	0.317677546749029	0.327510917030568	100	2	24
"Methylibium"	"Proteobacteria"	"Comamonadaceae"	"Proteobacteria"	"Comamonadaceae"	0.293414605211952	0.293414605211952	66.6666666666667	2	27
"Methylosinus"	"Proteobacteria"	"Methylocystaceae"	"Proteobacteria"	"Methylocystaceae"	0.48414751800225	0.466595970307529	100	2	20
"Methylotenera"	"Proteobacteria"	"Methylophilaceae"	"Proteobacteria"	"Methylophilaceae"	0.792899934752951	0.792899934752951	66.6666666666667	1	16
"Novosphingobium"	"Proteobacteria"	"Sphingomonadaceae"	"Proteobacteria"	"Sphingomonadaceae"	3.11216552779834	0.528723854233067	100	10	5
"Polynucleobacter"	"Proteobacteria"	"Oxalobacteraceae"	"Proteobacteria"	"Oxalobacteraceae"	0.340028299433695	0.34106412005457	100	2	23
"Propionivibrio"	"Proteobacteria"	"Rhodocyclaceae"	"Proteobacteria"	"Rhodocyclaceae"	0.924679420490837	0.996818663838812	100	2	15
"Pseudomonas"	"Proteobacteria"	"Pseudomonadaceae"	"Proteobacteria"	"Pseudomonadaceae"	0.938713091798271	0.630968622100955	100	4	13
"Rheinheimera"	"Proteobacteria"	"[Chromatiaceae]"	"Proteobacteria"	"[Chromatiaceae]"	1.71606674894605	0.61735956796559	100	4	9
"Rhodobacter"	"Proteobacteria"	"Rhodobacteraceae"	"Proteobacteria"	"Rhodobacteraceae"	15.3951366008864	1.5498308061555	100	10	1
"Rhodococcus"	"Actinobacteria"	"Nocardiaceae"	"Actinobacteria"	"Nocardiaceae"	0.292571788448091	0.292571788448091	66.6666666666667	2	28
"Rubrivivax"	"Proteobacteria"	"Comamonadaceae"	"Proteobacteria"	"Comamonadaceae"	1.80585619120121	1.04024556616644	100	2	8
"Sediminibacterium"	"Bacteroidetes"	"Chitinophagaceae"	"Bacteroidetes"	"Chitinophagaceae"	0.283427668394027	0.31813361611877	100	2	29
"Sphingomonas"	"Proteobacteria"	"Sphingomonadaceae"	"Proteobacteria"	"Sphingomonadaceae"	0.245633187772926	0.245633187772926	33.3333333333333	1	31
"u114"	"Fusobacteria"	"Fusobacteriaceae"	"Fusobacteria"	"Fusobacteriaceae"	0.392223738062756	0.392223738062756	33.3333333333333	1	21
"Uliginosibacterium"	"Proteobacteria"	"Rhodocyclaceae"	"Proteobacteria"	"Rhodocyclaceae"	0.380328087046218	0.254506892895016	66.6666666666667	2	22
"Vogesella"	"Proteobacteria"	"Neisseriaceae"	"Proteobacteria"	"Neisseriaceae"	0.106044538706257	0.106044538706257	33.3333333333333	1	37
