"sample_id"	"location"	"type"	"species"	"Family"	"RA"
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"ACK.M1"	10.7732350668939
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"Alcaligenaceae"	1.35565992617754
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"C111"	1.89859835432327
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"Chitinophagaceae"	6.3126172636639
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"Comamonadaceae"	9.14748549915999
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"Cryomorphaceae"	2.1616368474622
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"Methylocystaceae"	9.59875899787852
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"Microbacteriaceae"	1.44793799894539
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"Oxalobacteraceae"	14.8138496817786
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"Sphingomonadaceae"	1.23272468637718
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"Synechococcaceae"	1.02241652053417
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"low abundance (< 1% RA)"	11.8069947392301
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"unclassified"	28.4280844175751
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"ACK.M1"	12.1751070716317
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"Alcaligenaceae"	1.45070543932806
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"C111"	2.07396487515492
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"Chitinophagaceae"	8.58861607872626
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"Comamonadaceae"	6.58063288919535
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"Cryomorphaceae"	2.9189465518625
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"Methylocystaceae"	13.7322154093985
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"Microbacteriaceae"	1.46913275693476
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"Oxalobacteraceae"	8.6156626255361
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"Sphingomonadaceae"	1.49825980734537
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"low abundance (< 1% RA)"	12.7959887890577
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"unclassified"	28.1007677058287
