index,k__Archaea;p__Crenarchaeota,k__Archaea;p__Euryarchaeota,k__Archaea;p__[Parvarchaeota],k__Bacteria;p__Acidobacteria,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Armatimonadetes,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Chlamydiae,k__Bacteria;p__Chlorobi,k__Bacteria;p__Chloroflexi,k__Bacteria;p__Cyanobacteria,k__Bacteria;p__Elusimicrobia,k__Bacteria;p__Fibrobacteres,k__Bacteria;p__Firmicutes,k__Bacteria;p__Fusobacteria,k__Bacteria;p__GN02,k__Bacteria;p__GOUTA4,k__Bacteria;p__Gemmatimonadetes,k__Bacteria;p__H-178,k__Bacteria;p__Lentisphaerae,k__Bacteria;p__NC10,k__Bacteria;p__NKB19,k__Bacteria;p__Nitrospirae,k__Bacteria;p__OD1,k__Bacteria;p__OP11,k__Bacteria;p__OP3,k__Bacteria;p__OP8,k__Bacteria;p__OP9,k__Bacteria;p__Planctomycetes,k__Bacteria;p__Proteobacteria,k__Bacteria;p__SR1,k__Bacteria;p__Spirochaetes,k__Bacteria;p__TM6,k__Bacteria;p__TM7,k__Bacteria;p__TPD-58,k__Bacteria;p__Tenericutes,k__Bacteria;p__Verrucomicrobia,k__Bacteria;p__WS3,k__Bacteria;p__WWE1,k__Bacteria;p__ZB3,location,type,species
CH_DT_A,0.0,0.0,0.0,5.0,64.0,0.0,367.0,0.0,9.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,4158.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,Caldwell_House,rinsed_tissue,duckweed
CH_DT_B,0.0,0.0,0.0,0.0,53.0,0.0,338.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,23.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,5305.0,0.0,4.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,Caldwell_House,rinsed_tissue,duckweed
CH_DT_C,0.0,0.0,0.0,0.0,74.0,0.0,34.0,0.0,4.0,0.0,11.0,0.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,886.0,2474.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,Caldwell_House,rinsed_tissue,none
CH_RS_B,0.0,0.0,0.0,126.0,3984.0,0.0,36635.0,0.0,7.0,10.0,13.0,0.0,41.0,3085.0,2440.0,1693.0,0.0,174.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3622.0,174780.0,284.0,213.0,10.0,0.0,0.0,15.0,372.0,0.0,3.0,0.0,Caldwell_House,rinse_solution,none
CH_W_A,0.0,0.0,122.0,136.0,93096.0,138.0,39127.0,171.0,22355.0,888.0,3508.0,6.0,5.0,1150.0,67.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.0,14.0,322.0,0.0,0.0,420.0,161661.0,44.0,567.0,107.0,14.0,0.0,21.0,1826.0,0.0,0.0,0.0,Caldwell_House,ambient_water,none
CH_W_B,4.0,20.0,98.0,180.0,98689.0,175.0,50548.0,147.0,27697.0,1172.0,3295.0,0.0,22.0,1322.0,91.0,100.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,279.0,0.0,176.0,3.0,0.0,457.0,148631.0,58.0,749.0,110.0,26.0,0.0,37.0,2355.0,0.0,0.0,0.0,Caldwell_House,ambient_water,none
CH_W_C,0.0,28.0,89.0,242.0,90098.0,198.0,37240.0,120.0,22667.0,1279.0,4249.0,0.0,19.0,1497.0,96.0,155.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,214.0,0.0,232.0,0.0,0.0,508.0,161299.0,43.0,711.0,132.0,19.0,0.0,0.0,1199.0,0.0,0.0,0.0,Caldwell_House,ambient_water,none
CH_W_D,6.0,19.0,279.0,218.0,83021.0,164.0,46558.0,123.0,22537.0,1272.0,3864.0,0.0,17.0,1238.0,85.0,24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,280.0,9.0,339.0,0.0,0.0,567.0,124542.0,31.0,460.0,61.0,18.0,0.0,39.0,2015.0,3.0,0.0,0.0,Caldwell_House,ambient_water,none
PP_CT_D,0.0,0.0,0.0,0.0,85.0,0.0,199.0,0.0,0.0,0.0,12.0,0.0,5.0,286.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7421.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,Passion_Puddle,rinsed_tissue,L_minor/japonica
PP_DT_B,0.0,0.0,0.0,8.0,90.0,0.0,634.0,0.0,7.0,0.0,17.0,0.0,27.0,563.0,40.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11072.0,0.0,11.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,Passion_Puddle,rinsed_tissue,L_minor/japonica
