"sample_id"	"location"	"type"	"species"	"tax"	"RA"
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"Actinobacteria"	28.5405962205844
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"Bacteroidetes"	11.9952297448097
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"Chlorobi"	6.85340969011736
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"Cyanobacteria"	1.07545341950041
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"Proteobacteria"	49.5606827964241
"CH_W_A"	"Caldwell_House"	"AW"	"none"	"low abundance (< 1% RA)"	1.9746281285639
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"Actinobacteria"	29.3318314078768
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"Bacteroidetes"	15.0236137158686
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"Chlorobi"	8.23195831859643
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"Proteobacteria"	44.1753329548798
"CH_W_B"	"Caldwell_House"	"AW"	"none"	"low abundance (< 1% RA)"	3.23726360277836
"CH_W_C"	"Caldwell_House"	"AW"	"none"	"Actinobacteria"	27.9506246374249
"CH_W_C"	"Caldwell_House"	"AW"	"none"	"Bacteroidetes"	11.5527676696231
"CH_W_C"	"Caldwell_House"	"AW"	"none"	"Chlorobi"	7.03186317850019
"CH_W_C"	"Caldwell_House"	"AW"	"none"	"Cyanobacteria"	1.31814473222955
"CH_W_C"	"Caldwell_House"	"AW"	"none"	"Proteobacteria"	50.0389331993163
"CH_W_C"	"Caldwell_House"	"AW"	"none"	"low abundance (< 1% RA)"	2.107666582906
"CH_W_D"	"Caldwell_House"	"AW"	"none"	"Actinobacteria"	28.8467685892981
"CH_W_D"	"Caldwell_House"	"AW"	"none"	"Bacteroidetes"	16.1772063933287
"CH_W_D"	"Caldwell_House"	"AW"	"none"	"Chlorobi"	7.83078526754691
"CH_W_D"	"Caldwell_House"	"AW"	"none"	"Cyanobacteria"	1.34259902710215
"CH_W_D"	"Caldwell_House"	"AW"	"none"	"Proteobacteria"	43.2738012508687
"CH_W_D"	"Caldwell_House"	"AW"	"none"	"low abundance (< 1% RA)"	2.52883947185546
"CH_DT_A"	"Caldwell_House"	"DAB"	"duckweed"	"Actinobacteria"	1.35737009544008
