"Genus"	"Phylum"	"Family"	"Mean_RA"	"Median_RA"	"Sample_Percent"	"OTU_Count"	"Mean_RA_Rank"
"Acinetobacter"	"Proteobacteria"	"Moraxellaceae"	1.30490735577733	0.632622278028632	100	3	11
"Agrobacterium"	"Proteobacteria"	"Rhizobiaceae"	2.53630120999302	0.373645534935858	100	9	4
"Aquitalea"	"Proteobacteria"	"Neisseriaceae"	1.00631213450602	0.759696121551379	100	3	18
"Arcobacter"	"Proteobacteria"	"Campylobacteraceae"	0.231907237105158	0.115953618552579	50	2	31
"Asticcacaulis"	"Proteobacteria"	"Caulobacteraceae"	0.190223076294454	0.0999600159936026	100	4	34
"Azospirillum"	"Proteobacteria"	"Rhodospirillaceae"	0.140013243675005	0.140013243675005	100	2	40
"Bacillus"	"Firmicutes"	"Bacillaceae"	1.05422372089899	0.4359197907585	100	4	17
"Burkholderia"	"Proteobacteria"	"Burkholderiaceae"	0.0479808076769292	0.0479808076769292	50	1	49
"Candidatus Aquiluna"	"Actinobacteria"	"Microbacteriaceae"	0.0799680127948821	0.0799680127948821	50	1	48
"Caulobacter"	"Proteobacteria"	"Caulobacteraceae"	1.07265401225237	0.460829493087558	100	3	16
"Chromobacterium"	"Proteobacteria"	"Neisseriaceae"	0.208905353041247	0.208905353041247	100	1	33
"Cloacibacterium"	"Bacteroidetes"	"[Weeksellaceae]"	0.134245467338037	0.134245467338037	100	2	42
"Clostridium"	"Firmicutes"	"Clostridiaceae"	1.15602233387377	0.327868852459016	100	6	14
"Coprococcus"	"Firmicutes"	"Lachnospiraceae"	0.0319872051179528	0.0319872051179528	50	1	50
"Crenothrix"	"Proteobacteria"	"Crenotrichaceae"	0.26010370543525	0.26010370543525	100	1	30
"Dechloromonas"	"Proteobacteria"	"Rhodocyclaceae"	3.70707664125781	0.411010088429443	100	8	2
"Devosia"	"Proteobacteria"	"Hyphomicrobiaceae"	0.159936025589764	0.0799680127948821	50	2	36
"Emticicia"	"Bacteroidetes"	"Cytophagaceae"	0.211594027229064	0.111955217912835	100	3	32
"Flavobacterium"	"Bacteroidetes"	"Flavobacteriaceae"	0.26973143984404	0.207916833266693	100	3	29
"Flectobacillus"	"Bacteroidetes"	"Cytophagaceae"	1.2151482662633	0.199920031987205	100	7	13
"Fusibacter"	"Firmicutes"	"[Acidaminobacteraceae]"	0.393889523527991	0.393889523527991	100	1	25
"Fusobacterium"	"Fusobacteria"	"Fusobacteriaceae"	0.142242268617525	0.142242268617525	100	2	39
"Herbaspirillum"	"Proteobacteria"	"Oxalobacteraceae"	0.287242432706828	0.287242432706828	100	1	27
"Hydrogenophaga"	"Proteobacteria"	"Comamonadaceae"	2.25616117981752	1.13554578168733	100	4	6
"Hymenobacter"	"Bacteroidetes"	"Cytophagaceae"	0.107106740066459	0.0639744102359056	100	2	44
"Janthinobacterium"	"Proteobacteria"	"Oxalobacteraceae"	1.72005428741444	0.647740903638545	100	3	8
"Leadbetterella"	"Bacteroidetes"	"Cytophagaceae"	0.0799680127948821	0.0799680127948821	50	1	47
"Lewinella"	"Bacteroidetes"	"Saprospiraceae"	0.108026038557052	0.108026038557052	100	2	43
"Luteolibacter"	"Verrucomicrobia"	"Verrucomicrobiaceae"	0.136474492280557	0.136474492280557	100	1	41
"Methylibium"	"Proteobacteria"	"Comamonadaceae"	0.440560604752992	0.440560604752992	100	2	24
"Methylosinus"	"Proteobacteria"	"Methylocystaceae"	0.159936025589764	0.159936025589764	50	1	35
"Methylotenera"	"Proteobacteria"	"Methylophilaceae"	0.459104438931863	0.286461576784157	100	3	23
"Novosphingobium"	"Proteobacteria"	"Sphingomonadaceae"	0.723206545006857	0.263894442223111	100	4	22
"Paludibacter"	"Bacteroidetes"	"Porphyromonadaceae"	0.886221672745773	0.299880047980808	100	5	19
"Pleomorphomonas"	"Proteobacteria"	"Methylocystaceae"	0.3487358326068	0.3487358326068	50	1	26
"Polynucleobacter"	"Proteobacteria"	"Oxalobacteraceae"	0.149458213974343	0.149458213974343	50	1	38
"Propionivibrio"	"Proteobacteria"	"Rhodocyclaceae"	1.30973093388127	0.729962841118379	100	3	10
"Pseudomonas"	"Proteobacteria"	"Pseudomonadaceae"	1.1333914559721	0.566695727986051	50	2	15
"Rhizobium"	"Proteobacteria"	"Rhizobiaceae"	6.19197183500494	1.94322271091563	100	5	1
"Rhodobacter"	"Proteobacteria"	"Rhodobacteraceae"	2.08556457850289	0.415833666533387	100	6	7
"Rhodoplanes"	"Proteobacteria"	"Hyphomicrobiaceae"	1.29553160676195	0.657922408319024	100	3	12
"Rubrivivax"	"Proteobacteria"	"Comamonadaceae"	0.151939224310276	0.151939224310276	50	1	37
"Sediminibacterium"	"Bacteroidetes"	"Chitinophagaceae"	0.271891243502599	0.135945621751299	50	2	28
"Sphingomonas"	"Proteobacteria"	"Sphingomonadaceae"	3.00919512628377	1.02251340091688	100	4	3
"Spirochaeta"	"Spirochaetes"	"Spirochaetaceae"	0.0879648140743702	0.0879648140743702	50	1	45
"Sulfurospirillum"	"Proteobacteria"	"Campylobacteraceae"	2.42650579573875	0.552975471911124	100	5	5
"Thauera"	"Proteobacteria"	"Rhodocyclaceae"	0.759696121551379	0.759696121551379	50	1	21
"Uliginosibacterium"	"Proteobacteria"	"Rhodocyclaceae"	0.851111043937139	0.622742558226429	100	2	20
"Veillonella"	"Firmicutes"	"Veillonellaceae"	0.0799680127948821	0.0799680127948821	50	1	46
"Vogesella"	"Proteobacteria"	"Neisseriaceae"	1.46254513514061	0.48780487804878	100	4	9
