"Genus"	"Phylum"	"Family"	"Mean_RA"	"Median_RA"	"Sample_Percent"	"OTU_Count"	"Mean_RA_Rank"	"sample_type"
"Aquitalea"	"Proteobacteria"	"Neisseriaceae"	1.00631213450602	0.759696121551379	100	3	18	"AW, DK"
"Arcobacter"	"Proteobacteria"	"Campylobacteraceae"	0.231907237105158	0.115953618552579	50	2	31	"AW, DK"
"Azospirillum"	"Proteobacteria"	"Rhodospirillaceae"	0.140013243675005	0.140013243675005	100	2	40	"AW, DK"
"Burkholderia"	"Proteobacteria"	"Burkholderiaceae"	0.0479808076769292	0.0479808076769292	50	1	49	"DK"
"Candidatus Aquiluna"	"Actinobacteria"	"Microbacteriaceae"	0.0799680127948821	0.0799680127948821	50	1	48	"DK"
"Chromobacterium"	"Proteobacteria"	"Neisseriaceae"	0.208905353041247	0.208905353041247	100	1	33	"AW, DK"
"Cloacibacterium"	"Bacteroidetes"	"[Weeksellaceae]"	0.134245467338037	0.134245467338037	100	2	42	"AW, DK"
"Coprococcus"	"Firmicutes"	"Lachnospiraceae"	0.0319872051179528	0.0319872051179528	50	1	50	"AW, DK"
"Dechloromonas"	"Proteobacteria"	"Rhodocyclaceae"	3.70707664125781	0.411010088429443	100	8	2	"AW, DK"
"Emticicia"	"Bacteroidetes"	"Cytophagaceae"	0.211594027229064	0.111955217912835	100	3	32	"AW, DK"
"Herbaspirillum"	"Proteobacteria"	"Oxalobacteraceae"	0.287242432706828	0.287242432706828	100	1	27	"AW, DK"
"Hymenobacter"	"Bacteroidetes"	"Cytophagaceae"	0.107106740066459	0.0639744102359056	100	2	44	"DK"
"Janthinobacterium"	"Proteobacteria"	"Oxalobacteraceae"	1.72005428741444	0.647740903638545	100	3	8	"AW, DK"
"Lewinella"	"Bacteroidetes"	"Saprospiraceae"	0.108026038557052	0.108026038557052	100	2	43	"DK"
"Paludibacter"	"Bacteroidetes"	"Porphyromonadaceae"	0.886221672745773	0.299880047980808	100	5	19	"AW, DK"
"Pleomorphomonas"	"Proteobacteria"	"Methylocystaceae"	0.3487358326068	0.3487358326068	50	1	26	"DK"
"Rhizobium"	"Proteobacteria"	"Rhizobiaceae"	6.19197183500494	1.94322271091563	100	5	1	"AW, DK"
"Rhodoplanes"	"Proteobacteria"	"Hyphomicrobiaceae"	1.29553160676195	0.657922408319024	100	3	12	"AW, DK"
"Spirochaeta"	"Spirochaetes"	"Spirochaetaceae"	0.0879648140743702	0.0879648140743702	50	1	45	"AW, DK"
"Sulfurospirillum"	"Proteobacteria"	"Campylobacteraceae"	2.42650579573875	0.552975471911124	100	5	5	"AW, DK"
"Thauera"	"Proteobacteria"	"Rhodocyclaceae"	0.759696121551379	0.759696121551379	50	1	21	"DK"
"Veillonella"	"Firmicutes"	"Veillonellaceae"	0.0799680127948821	0.0799680127948821	50	1	46	"DK"
