	PP_CT_D	CH_W_A	CH_DT_B	CH_W_C	PP_DT_B	CH_W_B	PP_W_B	CH_W_D	PP_W_C	PP_W_D	CH_DT_A	CH_DT_C	PP_W_A
PP_CT_D	0.0	0.9710698689956332	0.9546943231441049	0.9743449781659389	0.6129912663755459	0.974617903930131	0.9530567685589519	0.974617903930131	0.9530567685589519	0.949235807860262	0.9716157205240175	0.9754366812227074	0.954967248908297
CH_W_A	0.9710698689956332	0.0	0.9645196506550219	0.2046943231441048	0.9798034934497817	0.23471615720524017	0.7216157205240175	0.32587336244541487	0.7205240174672489	0.7216157205240175	0.972707423580786	0.9710698689956332	0.7188864628820961
CH_DT_B	0.9546943231441049	0.9645196506550219	0.0	0.9634279475982532	0.9724344978165939	0.9702510917030568	0.9808951965065502	0.974617903930131	0.9792576419213974	0.9787117903930131	0.4181222707423581	0.7570960698689956	0.980349344978166
CH_W_C	0.9743449781659389	0.2046943231441048	0.9634279475982532	0.0	0.9822598253275109	0.23526200873362446	0.712882096069869	0.29557860262008734	0.7153384279475983	0.7172489082969432	0.974617903930131	0.9702510917030568	0.7156113537117904
PP_DT_B	0.6129912663755459	0.9798034934497817	0.9724344978165939	0.9822598253275109	0.0	0.9830786026200873	0.9623362445414847	0.982532751091703	0.9604257641921398	0.9585152838427947	0.9817139737991266	0.9877183406113537	0.9642467248908297
CH_W_B	0.974617903930131	0.23471615720524017	0.9702510917030568	0.23526200873362446	0.9830786026200873	0.0	0.7117903930131004	0.2606441048034934	0.7087882096069869	0.7142467248908297	0.978438864628821	0.9735262008733624	0.7060589519650655
PP_W_B	0.9530567685589519	0.7216157205240175	0.9808951965065502	0.712882096069869	0.9623362445414847	0.7117903930131004	0.0	0.724617903930131	0.2857532751091703	0.3116812227074236	0.9841703056768559	0.9713427947598253	0.2980349344978166
CH_W_D	0.974617903930131	0.32587336244541487	0.974617903930131	0.29557860262008734	0.982532751091703	0.2606441048034934	0.724617903930131	0.0	0.7243449781659389	0.7287117903930131	0.9830786026200873	0.9759825327510917	0.7216157205240175
PP_W_C	0.9530567685589519	0.7205240174672489	0.9792576419213974	0.7153384279475983	0.9604257641921398	0.7087882096069869	0.2857532751091703	0.7243449781659389	0.0	0.324235807860262	0.9838973799126638	0.9710698689956332	0.2849344978165939
PP_W_D	0.949235807860262	0.7216157205240175	0.9787117903930131	0.7172489082969432	0.9585152838427947	0.7142467248908297	0.3116812227074236	0.7287117903930131	0.324235807860262	0.0	0.982532751091703	0.9707969432314411	0.30649563318777295
CH_DT_A	0.9716157205240175	0.972707423580786	0.4181222707423581	0.974617903930131	0.9817139737991266	0.978438864628821	0.9841703056768559	0.9830786026200873	0.9838973799126638	0.982532751091703	0.0	0.7399017467248908	0.9849890829694323
CH_DT_C	0.9754366812227074	0.9710698689956332	0.7570960698689956	0.9702510917030568	0.9877183406113537	0.9735262008733624	0.9713427947598253	0.9759825327510917	0.9710698689956332	0.9707969432314411	0.7399017467248908	0.0	0.9702510917030568
PP_W_A	0.954967248908297	0.7188864628820961	0.980349344978166	0.7156113537117904	0.9642467248908297	0.7060589519650655	0.2980349344978166	0.7216157205240175	0.2849344978165939	0.30649563318777295	0.9849890829694323	0.9702510917030568	0.0
