	CH_W_C	PP_DT_B	PP_CT_D	PP_W_D	PP_W_B	PP_W_A	CH_W_D	CH_W_B	CH_W_A	CH_DT_C	CH_DT_B	CH_DT_A	PP_W_C
CH_W_C	0.0	0.9795275590551181	0.9775474956822107	0.9115770282588879	0.9088319088319088	0.8934977578475336	0.7317415730337079	0.6090468497576736	0.5924092409240924	0.9673469387755103	0.9448669201520913	0.9576923076923077	0.9052132701421801
PP_DT_B	0.9795275590551181	0.0	0.777027027027027	0.9656652360515021	0.9685746352413019	0.9714673913043478	0.9803030303030303	0.9822580645161291	0.9820261437908496	0.981549815498155	0.9715189873417721	0.9803921568627451	0.9676339285714286
PP_CT_D	0.9775474956822107	0.777027027027027	0.0	0.9693530079455165	0.9750593824228029	0.9736456808199122	0.9716666666666667	0.9768683274021353	0.9709618874773139	0.9671361502347418	0.9613899613899614	0.976	0.9667063020214031
PP_W_D	0.9115770282588879	0.9656652360515021	0.9693530079455165	0.0	0.7563667232597623	0.7410628019323672	0.9221927497789567	0.9142066420664207	0.9155844155844156	0.9851851851851852	0.9812865497076023	0.9858156028368794	0.7544453852667231
PP_W_B	0.9088319088319088	0.9685746352413019	0.9750593824228029	0.7563667232597623	0.0	0.7292929292929293	0.9159741458910434	0.9062801932367149	0.9119070667957405	0.984313725490196	0.9827586206896551	0.986284289276808	0.7491228070175439
PP_W_A	0.8934977578475336	0.9714673913043478	0.9736456808199122	0.7410628019323672	0.7292929292929293	0.0	0.9083063646170443	0.8926940639269406	0.8993135011441648	0.9817880794701986	0.9815950920245399	0.985981308411215	0.7334669338677354
CH_W_D	0.7317415730337079	0.9803030303030303	0.9716666666666667	0.9221927497789567	0.9159741458910434	0.9083063646170443	0.0	0.7288378766140603	0.7385057471264368	0.976878612716763	0.9716312056737588	0.9802158273381295	0.9154411764705882
CH_W_B	0.6090468497576736	0.9822580645161291	0.9768683274021353	0.9142066420664207	0.9062801932367149	0.8926940639269406	0.7288378766140603	0.0	0.5782312925170068	0.9683544303797469	0.9553398058252427	0.9583333333333334	0.9057692307692308
CH_W_A	0.5924092409240924	0.9820261437908496	0.9709618874773139	0.9155844155844156	0.9119070667957405	0.8993135011441648	0.7385057471264368	0.5782312925170068	0.0	0.9566160520607375	0.94	0.9405737704918032	0.9082125603864735
CH_DT_C	0.9673469387755103	0.981549815498155	0.9671361502347418	0.9851851851851852	0.984313725490196	0.9817880794701986	0.976878612716763	0.9683544303797469	0.9566160520607375	0.0	0.803921568627451	0.8028169014084507	0.9831168831168832
CH_DT_B	0.9448669201520913	0.9715189873417721	0.9613899613899614	0.9812865497076023	0.9827586206896551	0.9815950920245399	0.9716312056737588	0.9553398058252427	0.94	0.803921568627451	0.0	0.6727272727272727	0.9803921568627451
CH_DT_A	0.9576923076923077	0.9803921568627451	0.976	0.9858156028368794	0.986284289276808	0.985981308411215	0.9802158273381295	0.9583333333333334	0.9405737704918032	0.8028169014084507	0.6727272727272727	0.0	0.9851301115241635
PP_W_C	0.9052132701421801	0.9676339285714286	0.9667063020214031	0.7544453852667231	0.7491228070175439	0.7334669338677354	0.9154411764705882	0.9057692307692308	0.9082125603864735	0.9831168831168832	0.9803921568627451	0.9851301115241635	0.0
