	PP_DT_B	PP_W_B	PP_CT_D	CH_W_D	CH_W_C	CH_W_B	PP_W_D	PP_W_C	CH_DT_B	PP_W_A	CH_DT_C	CH_W_A	CH_DT_A
PP_DT_B	0.0	0.7345200720642971	0.33367268502580405	0.7036279074486649	0.6911029291265052	0.6939562688137381	0.736470029150529	0.7388288211264884	0.5331604934559755	0.7104678442192677	0.5783001457422069	0.6714979622336951	0.548788990513488
PP_W_B	0.7345200720642971	0.0	0.774174010573043	0.6298542034641562	0.6284142101593018	0.6437065990491425	0.44702324032294943	0.4328975192898437	0.7939727011553982	0.4535836126262214	0.8126012940521714	0.6444898416919749	0.7926237053306868
PP_CT_D	0.33367268502580405	0.774174010573043	0.0	0.701869162896818	0.6998403444619751	0.6890702736820051	0.7760877413168512	0.7780770664830344	0.46788078296084973	0.7446101277732371	0.48065760399783414	0.6686467295215134	0.4740302685451407
CH_W_D	0.7036279074486649	0.6298542034641562	0.701869162896818	0.0	0.37128984401454707	0.34402572051806457	0.6460930978872855	0.6409300996862844	0.7201356550277256	0.614969175286145	0.7187016709037731	0.35715873630084705	0.7189271405751717
CH_W_C	0.6911029291265052	0.6284142101593018	0.6998403444619751	0.37128984401454707	0.0	0.37421859686100456	0.64922980112793	0.6428116219343256	0.6821088651188582	0.6174230951737706	0.7057938855228609	0.38010856580907115	0.7098828417669005
CH_W_B	0.6939562688137381	0.6437065990491425	0.6890702736820051	0.34402572051806457	0.37421859686100456	0.0	0.6662352627732538	0.658350413417534	0.6951227457420597	0.6271758258213381	0.6933195916644717	0.3286538570895388	0.6962063582902794
PP_W_D	0.736470029150529	0.44702324032294943	0.7760877413168512	0.6460930978872855	0.64922980112793	0.6662352627732538	0.0	0.4769686269261543	0.7931890508777035	0.4891692199958049	0.8111411281371619	0.6618750654187657	0.791765719217942
PP_W_C	0.7388288211264884	0.4328975192898437	0.7780770664830344	0.6409300996862844	0.6428116219343256	0.658350413417534	0.4769686269261543	0.0	0.7932470011404843	0.46195983900692267	0.8122745631589885	0.6515318830765926	0.7944101946767727
CH_DT_B	0.5331604934559755	0.7939727011553982	0.46788078296084973	0.7201356550277256	0.6821088651188582	0.6951227457420597	0.7931890508777035	0.7932470011404843	0.0	0.7591536919117386	0.3922522515408399	0.6595689680882348	0.33670058017260973
PP_W_A	0.7104678442192677	0.4535836126262214	0.7446101277732371	0.614969175286145	0.6174230951737706	0.6271758258213381	0.4891692199958049	0.46195983900692267	0.7591536919117386	0.0	0.7795785817828914	0.6171269620267112	0.7631132322833043
CH_DT_C	0.5783001457422069	0.8126012940521714	0.48065760399783414	0.7187016709037731	0.7057938855228609	0.6933195916644717	0.8111411281371619	0.8122745631589885	0.3922522515408399	0.7795785817828914	0.0	0.6827233169662527	0.3553615054907073
CH_W_A	0.6714979622336951	0.6444898416919749	0.6686467295215134	0.35715873630084705	0.38010856580907115	0.3286538570895388	0.6618750654187657	0.6515318830765926	0.6595689680882348	0.6171269620267112	0.6827233169662527	0.0	0.6623521599631604
CH_DT_A	0.548788990513488	0.7926237053306868	0.4740302685451407	0.7189271405751717	0.7098828417669005	0.6962063582902794	0.791765719217942	0.7944101946767727	0.33670058017260973	0.7631132322833043	0.3553615054907073	0.6623521599631604	0.0
