	CH_W_A	CH_DT_A	PP_DT_B	CH_W_B	CH_W_D	CH_W_C	CH_DT_B	PP_CT_D	PP_W_C	PP_W_A	PP_W_D	CH_DT_C	PP_W_B
CH_W_A	0.0	1.7676416182333514	2.1812202455829697	0.10761450674099335	0.39634211349836235	0.22533395264028383	1.724816313750546	2.2913853812109717	0.4048253524137554	0.41379975236435595	0.4642412589093888	1.924584352183952	0.4626155013872818
CH_DT_A	1.7676416182333514	0.0	0.6264793003572597	1.831006501051856	1.469492590434771	1.9337691462781113	0.13811247043804573	0.7314743208957426	1.5580868521749456	1.5662607817691048	1.4805230970368446	0.31265798981086257	1.5065168183400652
PP_DT_B	2.1812202455829697	0.6264793003572597	0.0	2.250749060632915	1.8860107282789302	2.3482870078438864	0.6740530140371179	0.17146426325409403	1.9606235390507643	1.9696160544025654	1.8834715738078602	0.6143274031446506	1.9097618399145744
CH_W_B	0.10761450674099335	1.831006501051856	2.250749060632915	0.0	0.41174902197243435	0.20158821167658308	1.7856312154031118	2.3679459262963976	0.4577408267502728	0.46319795962936683	0.5263115386765831	1.9770532929680678	0.5171412275207424
CH_W_D	0.39634211349836235	1.469492590434771	1.8860107282789302	0.41174902197243435	0.0	0.5752061140087334	1.423394530055677	2.0029944923965615	0.2507378866113536	0.2540937394707968	0.19031902049781638	1.6157880634743453	0.1892274497595522
CH_W_C	0.22533395264028383	1.9337691462781113	2.3482870078438864	0.20158821167658308	0.5752061140087334	0.0	1.888062703326419	2.4649765223850983	0.5922550702914846	0.5981276073130459	0.6451637743427949	2.0875205226228166	0.6443520042224345
CH_DT_B	1.724816313750546	0.13811247043804573	0.6740530140371179	1.7856312154031118	1.423394530055677	1.888062703326419	0.0	0.7653439123026748	1.5166730303717253	1.525963818444596	1.438518790877729	0.3673194841419214	1.4629129548283297
PP_CT_D	2.2913853812109717	0.7314743208957426	0.17146426325409403	2.3679459262963976	2.0029944923965615	2.4649765223850983	0.7653439123026748	0.0	2.0745517519287664	2.0817934743078603	1.9956004266236351	0.7088159915521288	2.0222866748105894
PP_W_C	0.4048253524137554	1.5580868521749456	1.9606235390507643	0.4577408267502728	0.2507378866113536	0.5922550702914846	1.5166730303717253	2.0745517519287664	0.0	0.05846891388236898	0.13152871707205255	1.7194746082019652	0.11388698171697613
PP_W_A	0.41379975236435595	1.5662607817691048	1.9696160544025654	0.46319795962936683	0.2540937394707968	0.5981276073130459	1.525963818444596	2.0817934743078603	0.05846891388236898	0.0	0.1386108176154477	1.7304428659724347	0.1250928635000001
PP_W_D	0.4642412589093888	1.4805230970368446	1.8834715738078602	0.5263115386765831	0.19031902049781638	0.6451637743427949	1.438518790877729	1.9956004266236351	0.13152871707205255	0.1386108176154477	0.0	1.6435325543029475	0.06916966576391922
CH_DT_C	1.924584352183952	0.31265798981086257	0.6143274031446506	1.9770532929680678	1.6157880634743453	2.0875205226228166	0.3673194841419214	0.7088159915521288	1.7194746082019652	1.7304428659724347	1.6435325543029475	0.0	1.6648519869571508
PP_W_B	0.4626155013872818	1.5065168183400652	1.9097618399145744	0.5171412275207424	0.1892274497595522	0.6443520042224345	1.4629129548283297	2.0222866748105894	0.11388698171697613	0.1250928635000001	0.06916966576391922	1.6648519869571508	0.0
