sample-id	input	filtered	denoised	non-chimeric	no_unclassified	no_mitochondria_chloroplast	filtered
CH_DT_A	629594	538071	538071	344610	344212	4715	4715
CH_DT_B	561768	481087	481087	304349	303772	5864	5864
CH_DT_C	497410	421811	421811	271427	271075	3664	3664
CH_RS_B	658488	545371	545371	303356	302111	227512	227512
CH_W_A	853946	701569	701569	332023	330823	326188	326188
CH_W_B	873978	710557	710557	342564	341649	336457	336457
CH_W_C	847312	700825	700825	328760	327863	322347	322347
CH_W_D	711250	591699	591699	296394	295756	287800	287800
JP_A_D8	601820	510399	510399	341194	340976	46293	46293
JP_B_D8	662906	560828	560828	376430	376246	49390	49390
JP_C_D8	679890	570934	570934	386062	385902	66953	66953
JP_E_D8	581782	492200	492200	331180	330964	46452	46452
JP_RF_Lemna_B	825038	675501	675501	428228	423642	375050	375050
JP_RS_Spiro_B	596768	488465	488465	319655	316394	273757	273757
JP_RS_Spiro_C	554032	460291	460291	309956	306849	226659	226659
JP_RT_Lemna_D	671386	566458	566458	380951	380556	83162	83162
JP_RT_Lemna_E	554016	465970	465970	309569	309344	45983	45983
JP_RT_Spiro_B	395598	331575	331575	212471	212378	44155	44155
JP_RT_Spiro_C	609362	510389	510389	342319	342170	48406	48406
JP_W_A	857616	694200	694200	418857	414235	398852	398852
JP_W_B	512288	419340	419340	257295	254898	247187	247187
JP_W_C	694216	567680	567680	338946	335187	323728	323728
JP_W_D	825064	666542	666542	398009	394494	383903	383903
PP_CT_D	620880	526466	526466	355098	355089	8029	8029
PP_DT_B	545338	465608	465608	313931	313871	12505	12505
PP_W_A	373602	298330	298330	142395	140008	131305	131305
PP_W_B	996188	825594	825594	380782	374709	350924	350924
PP_W_C	842932	688270	688270	316190	311477	295948	295948
PP_W_D	658678	542047	542047	256343	251261	233284	233284
