feature_id	Taxon	Confidence
1fda12612740e76182d32a6689e51790	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	1.0
4efc42e0fe899f6bc2b6212f9c29f13d	k__Bacteria; p__Acidobacteria; c__Acidobacteria-5; o__; f__; g__; s__	1.0
5102d7c0f6822d39982579d413159700	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__	0.6
ada48d683f9eaa2a7af6c3ff8a43859c	k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__Chloroflexales; f__[Chlorothrixaceae]; g__; s__	0.6
825dd2197fc2f477bca70b36340056db	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae	1.0
bcaa621e83911c871b90f6b85292dc85	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__; g__; s__	1.0
c25d1a1b913118f56b70606fbe6bcb0a	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__; f__; g__; s__	1.0
fa494a4d4412a86f1e392213621b6a48	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__	1.0
078dfb155bfcaef10fd239cdc9e7715b	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Chryseobacterium; s__	1.0
67f702887a5ef24549f3ec0799209e43	k__Bacteria; p__TM6; c__SJA-4; o__; f__; g__; s__	0.9
c8af407706e8f69a6ddcc1be77b10ff5	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria	1.0
4825030e924c214d23dc1582e779c323	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__Gemmatimonadales; f__A1-B1; g__; s__	0.8
d0ee7ec1b8f2fab0cf27d252ed9e2c19	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__flexus	0.6
4fa65d870d27972c40a8b49cf2d81c05	k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__[Roseiflexales]; f__[Kouleothrixaceae]; g__; s__	0.9
c671310d58fd7d867d477c21803ce61a	Unassigned	0.0
b09abadac3cbaa675c99cdba21abe9a3	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__	0.6
c8c82c8c94c7d0d643dcf3b06ba820f7	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillus; s__	1.0
651c402e4f7b9df80d1c0004bf6ad561	Unassigned	0.0
b49cb8d9b1165473db4de4a222aa5c6b	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__	0.9
a422b52b4bbbc923750bb82c1cda53df	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__	1.0
153cd666484503b198b1e77ed0ec7c7a	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Nocardioidaceae; g__; s__	0.8
a98f41ffc6fcd7a7aad653c07666d2bc	Unassigned	0.0
c34677fd7b0b9de77eb692844b290c8d	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Rubellimicrobium; s__	0.7
595d723190cfdae41065e3bc5db861e0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.6
a5bac9dd1ed0040bf5230f105182b2dc	Unassigned	0.0
f273c066d616d54f3274e5e7a97b6ec4	Unassigned	0.0
171dda283afd4f2c4390b98b9a1feea8	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales	1.0
2a5b66db303b5d62b39a24ec94fbd0a9	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__	1.0
91b263cadbe6d6ba46c8411d3c32f5d6	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium; s__	0.7
33b1e0c6efa5ae59a5b144816d0e5600	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__Ardenscatenales; f__Ardenscatenaceae; g__Ardenscatena; s__	1.0
1cbaa7f193167694684ca1eb379a876b	k__Bacteria; p__Actinobacteria; c__Thermoleophilia; o__Solirubrobacterales; f__Patulibacteraceae; g__Patulibacter; s__	0.7
faba8c1b572d309937626e2c31b3bca9	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__EB1017; g__; s__	0.8
a66915bbab2bc299c553bf97e11f8954	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria	0.7
26010580e32c109d66f2e9ada1abd3f9	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria	1.0
3399d932e8d54ba47b08c6fc67cb57e9	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__	1.0
cae58ba06a7e82153cb2b702a80eb892	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__	0.9
230cab0e49423a2c7982576d7859d03b	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae	0.8
a08042fa6e14da8259cb112eda632ed7	k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiales; f__; g__; s__	0.8
e8970264170a74a7a30f68955fa36265	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Polyangiaceae; g__; s__	1.0
729aabc9ff4457718d0e8a91a9e15d86	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Streptomycetaceae; g__Streptomyces; s__	0.8
1df121a24cfbbebd81df5db9adfcba86	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Actinomycetaceae; g__Actinomyces; s__	1.0
f0768800fa304fee2a7447d5d7c11694	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__	0.9
cc33dd90e0541d3585b037a3a098fb92	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__	1.0
4f88e57869aea40537d5ad77127972b8	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__	1.0
61d85abf5d72970a26782068f89a210d	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__	1.0
63790563c7f98e48656dd371d1edacec	k__Bacteria; p__Chloroflexi; c__TK17; o__; f__; g__; s__	0.9
f2a61174ae6ebab1c614026b90561f79	Unassigned	0.0
2c54cf8d06081d719e1986eda15942dc	Unassigned	0.0
622754325a38ebcbed95359d46f7a8f5	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__SJA-15; f__; g__; s__	1.0
bdc41486801fa7d16736d9a201080b39	Unassigned	0.0
315e5bf9d985efc84254de31659ece9e	Unassigned	0.0
3e633256d173084541394f6d65ea54bd	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__0319-6G20; g__; s__	1.0
05426d35618d1a7f493c04487207e2ff	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__; f__; g__; s__	1.0
eb25390a4b7d48fe7e9c30fe54af0468	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Spirosoma; s__	0.7
c4634d49359880bedf5f9319a52e74d9	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Dokdonella; s__	1.0
1a72558979d7547673c180e00b36b8fb	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__; s__	0.7
bf1bdc05537d3d03f75134d8336976c1	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Spirobacillales; f__; g__; s__	1.0
8fa88f5660b39a9a7804cbf678dfac9c	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Mycobacteriaceae; g__Mycobacterium; s__	1.0
781726538842b392e409c848a449a64f	Unassigned	0.0
b4cd2eb77884b4eedb470387d82fc466	k__Bacteria; p__Planctomycetes; c__vadinHA49; o__DH61; f__; g__; s__	1.0
de1464eb48c5314482429a73eae1c92b	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Methylibium; s__	0.9
4d7318c664dbe666d1f9439ed79f130a	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria	1.0
a9d2ef76f2cbe4a5a10f90c418d32824	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	0.9
2f53414d0d0375126fad4ad37129534d	Unassigned	0.0
d154420577f70b10255d2d7c60874a42	k__Bacteria; p__Chloroflexi; c__TK10; o__B07_WMSP1	1.0
d622bca2c33d213cc44b73cb25d521cd	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__Cystobacterineae; g__; s__	0.8
364585687132da961c44c09565cddf83	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Thiotrichales	0.6
9aebe259563a3e770e1a2569f240e2e6	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Coxiellaceae; g__; s__	1.0
77c9ec0a677f0e058e3e000412e46d2e	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__	1.0
ba8efe72f9b817986f6fec1807c3f2a6	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__	1.0
6752bb382f4114db003cc78e4482ea90	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__	1.0
979f5fed2a6a4ac468745a2da1bd64ab	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas; s__	0.8
7002c098a289a59b9e7e3705dd06f4c3	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales	1.0
7b9b8a948e1d68cd948836cef9413b64	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	0.6
1f668e3156e71cc467ab26b719228a98	k__Bacteria; p__Chloroflexi; c__Chloroflexi; o__AKIW781; f__; g__; s__	1.0
c0709a0158bdd32da59ff3e7bfd0d13b	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__	0.8
9c782e66f2da9c9cb079347c8e82dc25	k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Paenibacillaceae; g__Paenibacillus; s__amylolyticus	1.0
b9b96cb32e7c280790cda6258ded58b6	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__NB1-j	0.6
99d4cc08702302d40af11ad7d312f8c3	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__mitochondria	0.6
78862f6cf8026f5aa69453cac17a1797	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Chlorophyta	0.7
21bf4ee2f6ce313261c43955c7541517	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__	1.0
e6367cc165700663fa2de8bb02b53c1a	Unassigned	0.0
c0c4a2e2ade9bcae6cf74aa1e21f791a	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Spirosoma; s__	1.0
574a399500b90affb0d7697f6a72b559	k__Bacteria; p__[Thermi]; c__Deinococci; o__Deinococcales; f__Deinococcaceae; g__Deinococcus; s__	1.0
d1dbf79b2119888a281347e2c0b0ffc5	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Spirosoma; s__	1.0
fbd0c00b04a91c6d6769768e62cccd17	Unassigned	0.0
