PM_year1	Caldwell_House	Passion_Puddle	PM_year2	s1.china.guizhou_province.leishan_county	s2.china.guizhou_province.congjiang_county	s3.china.guizhou_province.liping_county
Salinibacterium	0.625	0	0	0.8	0	0	0
Mycobacterium	1	0	0	0.3333	1	1	1
Streptomyces	1	0	0	0.0667	0.1667	0	0
Dermacoccus	0.375	0	0	0	0	0	0
Gordonia	0.3125	0	0	0.7333	0	0	0
Arthrobacter	0.25	0	0	0	0	0	0
Micrococcus	0.125	0	0	0	0.1667	0	0
Rhodococcus	0.0625	0.6667	0	0.0667	0.6667	0.5	1
Actinomyces	0.0625	0	0	0.1333	0.1667	0	0
Corynebacterium	0.25	0.6667	0	0.4667	0.3333	0.1667	0.1667
Cryocola	0.0625	0	0	0.0667	0	0	0
Microbispora	0.0625	0	0	0	0.1667	0	0
Nonomuraea	0.0625	0	0	0	0	0	0
Cellulomonas	0.125	0	0	0	0	0.1667	0
Nesterenkonia	0.0625	0	0	0	0	0	0
Candidatus Aquiluna	0	0	0.5	0	0.1667	0	0
Rothia	0	0	0	0.2	0	0	0
Kocuria	0	0	0	0.0667	0.1667	0	0
Tsukamurella	0	0	0	0.0667	0	0	0
Modestobacter	0	0	0	0.0667	0	0	0
Terracoccus	0	0	0	0.0667	0	0	0
Phycicoccus	0	0	0	0.0667	0	0	0
Pseudonocardia	0	0	0	0.0667	0	0	0
Solwaraspora	0	0	0	0	0.3333	0	0
Actinomycetospora	0	0	0	0	0.1667	0.1667	0
Williamsia	0	0	0	0	0.6667	0.5	0.8333
Solirubrobacter	0	0	0	0	0.1667	0	0
Pimelobacter	0	0	0	0	0.5	0.3333	0.1667
Iamia	0	0	0	0	0	0	0.1667
Glycomyces	0	0	0	0	0.1667	0	0
Actinoplanes	0	0	0	0	0.1667	0	0
