PM_year1	Caldwell_House	Passion_Puddle	PM_year2	s1.china.guizhou_province.leishan_county	s2.china.guizhou_province.congjiang_county	s3.china.guizhou_province.liping_county
Spirosoma	0.625	0	0	0	0.1667	0.1667	0.1667
Pedobacter	0.25	0	0	0.2667	1	0.8333	1
Sediminibacterium	0.125	1	0.5	0.9333	0.6667	1	0.8333
Chryseobacterium	0.25	0	0	0.3333	1	1	0.8333
Flectobacillus	0.125	0.3333	1	0.8667	0.8333	1	0.8333
Flavobacterium	0.3125	1	1	1	0.8333	0.8333	0.8333
[Prevotella]	0.0625	0	0	0.0667	0	0	0
Porphyromonas	0.0625	0	0	0	0	0	0
Flavisolibacter	0.0625	0	0	0	0	0	0.3333
Fluviicola	0	0.6667	0	0.8667	0.1667	0.3333	0
Leadbetterella	0	1	0.5	0.2667	0.1667	0	0
Emticicia	0	0	1	1	0.6667	0.6667	0.5
Hymenobacter	0	0	1	0	0.5	0	0.6667
Paludibacter	0	0	1	0	0.1667	0.5	0.3333
Lewinella	0	0	1	0	0	0	0
Cloacibacterium	0	0	1	0	0.1667	0	0
Runella	0	0	0	0.8667	0.3333	0.5	0.5
Cytophaga	0	0	0	0.6667	0	0	0
Capnocytophaga	0	0	0	0.0667	0	0	0
SC3-56	0	0	0	0.1333	0	0	0.1667
Pontibacter	0	0	0	0.0667	0.6667	0	0
C. Amoebophilus	0	0	0	0.0667	0.8333	0.8333	0.3333
Haliscomenobacter	0	0	0	0	0.3333	0.3333	0.3333
Bacteroides	0	0	0	0	0.1667	0.5	0.1667
Blvii28	0	0	0	0	0.3333	0.6667	0.8333
Adhaeribacter	0	0	0	0	0.1667	0.1667	0
Sphingobacterium	0	0	0	0	0.1667	0.1667	0.1667
Rhodocytophaga	0	0	0	0	0	0.1667	0
Rudanella	0	0	0	0	0	0	0.1667
Segetibacter	0	0	0	0	0.1667	0	0
Prevotella	0	0	0	0	0.1667	0	0
