PM_year1	Caldwell_House	Passion_Puddle	PM_year2	s1.china.guizhou_province.leishan_county	s2.china.guizhou_province.congjiang_county	s3.china.guizhou_province.liping_county
Bacillus	1	0.3333	1	1	0.1667	0	0.1667
Enterococcus	0.125	0	0	0	0	0	0
Paenibacillus	1	0	0	0.3333	0.5	0.1667	0.1667
Staphylococcus	0.5	0	0	0.7333	0.6667	0.6667	0.5
Anaerococcus	0.1875	0	0	0	0	0.1667	0
Virgibacillus	0.3125	0	0	0	0	0	0
Exiguobacterium	0.0625	0	0	0	0	0.1667	0
Streptococcus	0.375	0	0	0.5333	0.3333	0.1667	0.5
Lysinibacillus	0.3125	0	0	0.0667	0	0	0
Peptoniphilus	0.0625	0	0	0	0.1667	0	0
Turicibacter	0.0625	0	0	0	0	0	0
Aerococcus	0.0625	0	0	0.0667	0.1667	0	0
Gemella	0.0625	0	0	0	0	0	0
Jeotgalicoccus	0.0625	0	0	0	0	0	0
Alkaliphilus	0.0625	0	0	0	0	0	0
Lactobacillus	0.0625	0	0	0.1333	0	0.1667	0
Weissella	0.0625	0	0	0	0.1667	0	0
Fusibacter	0	0.3333	1	0	0	0	0
Clostridium	0	0.6667	1	0	0.1667	0.1667	0.5
Coprococcus	0	0	0.5	0	0.1667	0	0
Veillonella	0	0	0.5	0.0667	0	0.1667	0.1667
Granulicatella	0	0	0	0.0667	0	0	0
Finegoldia	0	0	0	0.1333	0	0	0
Ruminococcus	0	0	0	0.0667	0	0.3333	0.3333
Salinicoccus	0	0	0	0.0667	0	0	0
Anoxybacillus	0	0	0	0	1	0.6667	0.8333
RFN20	0	0	0	0	0.1667	0	0
Anaerovibrio	0	0	0	0	0	0.1667	0
Caloramator	0	0	0	0	0	0.1667	0.1667
Lactococcus	0	0	0	0	0.1667	0.3333	0.1667
PSB-M-3	0	0	0	0	0.1667	0	0
Anaerovorax	0	0	0	0	0.1667	0	0
Desulfosporosinus	0	0	0	0	0.1667	0	0
Ureibacillus	0	0	0	0	0.1667	0	0
Moorella	0	0	0	0	0.1667	0	0
Sporomusa	0	0	0	0	0	0	0.1667
