PM_year1	Caldwell_House	Passion_Puddle	PM_year2	s1.china.guizhou_province.leishan_county	s2.china.guizhou_province.congjiang_county	s3.china.guizhou_province.liping_county
Bosea	0.9375	0	0	1	0.1667	0.6667	0
Bradyrhizobium	1	0	0	0.0667	1	1	1
Burkholderia	1	0	0.5	0.6667	0.5	0.1667	0.3333
Asticcacaulis	1	0.6667	1	0.4	1	1	1
Phenylobacterium	0.8125	0	0	1	0.1667	0.1667	0.5
Acidovorax	1	0	0	0.8	0.6667	0.5	0.1667
Polaromonas	1	0	0	0.4	0	0	0
Rhodoferax	0.875	0	0	1	0.1667	0.1667	0
Devosia	0.375	0.3333	0.5	1	0.8333	0.5	0.6667
Parvibaculum	0.875	0	0	0.4	0	0	0
Acinetobacter	0.875	1	1	1	1	1	1
Enhydrobacter	0.125	0	0	0.1333	0.1667	0	0
Perlucidibaca	0.9375	0	0	0.9333	0.3333	0.1667	0.1667
Janthinobacterium	1	0	1	1	1	1	1
Ralstonia	0.125	0	0	0	0.3333	0.6667	0.3333
Aggregatibacter	0.0625	0	0	0	0	0	0
Mesorhizobium	0.8125	0	0	1	0	0	0
Pseudomonas	1	1	0.5	1	1	1	1
Azospirillum	0.625	0	1	0.9333	1	1	0.8333
Sphingomonas	0.5625	0.3333	1	1	1	1	1
Dokdonella	0.9375	0	0	0.2	0.1667	0	0.1667
Rhodanobacter	1	0	0	0	0	0	0
Shewanella	0.0625	0	0	0.1333	0	0	0
Novosphingobium	0.625	1	1	0.8667	1	1	1
Sphingobium	0.5625	0	0	0.8667	0.1667	0.5	0.1667
Mycoplana	0.1875	0	0	1	0.1667	0	0
Methylobacterium	0.1875	0	0	0.2667	0.6667	0.8333	0.6667
Agrobacterium	0.6875	1	1	1	1	1	1
Xanthobacter	0.5625	0	0	0.5333	0.5	0	0.3333
Dyella	0.25	0	0	0	0	0	0
Achromobacter	0.25	0	0	0.2667	0.1667	0	0
Methylibium	0.25	0.6667	1	0.8667	1	1	1
Thiomonas	0.125	0	0	0	0	0	0
Rhodoplanes	0.1875	0	1	0.4667	0.6667	0.6667	1
Legionella	0.0625	0	0	0.0667	0.3333	0.5	0.8333
Polynucleobacter	0.125	1	0.5	1	0.1667	0.1667	0.6667
Paracoccus	0.1875	0	0	0.1333	0.1667	0.1667	0
Cellvibrio	0.1875	0.6667	0	1	0.3333	0.3333	0.1667
Pandoraea	0.125	0	0	0	0.1667	0	0.1667
Neisseria	0.125	0	0	0	0	0	0
Collimonas	0.125	0	0	0	0	0	0
Ancylobacter	0.125	0	0	0.2	0	0	0
Roseomonas	0.0625	0	0	0	0.5	0.6667	0.1667
Aquicella	0.1875	0	0	0	0	0	0
Herbaspirillum	0.0625	0	1	0	0.5	0.6667	0.6667
Haemophilus	0.0625	0	0	0.2	0	0	0
Kaistobacter	0.0625	0	0	0	0.1667	0	0
Variovorax	0.0625	0	0	0	0	0	0
Sphingopyxis	0.0625	0	0	0.5333	0	0.1667	0
Sulfuritalea	0.0625	0	0	0.0667	0	0	0
Stenotrophomonas	0.125	0	0	0.6667	1	0.8333	0.8333
Balneimonas	0.0625	0	0	0	0	0	0
Caulobacter	0.0625	0.6667	1	1	1	1	1
Zoogloea	0.0625	0	0	0.7333	0.1667	0.5	0.1667
Psychrobacter	0.0625	0	0	0	0	0	0
Hydrogenophilus	0.0625	0	0	0.0667	0	0	0
Skermanella	0.0625	0	0	0	0.1667	0	0
Rheinheimera	0	1	0	1	0	0	0
Azohydromonas	0	0.6667	0	0	0	0	0
Hydrogenophaga	0	0.6667	1	1	0	0	0
Leptothrix	0	0.6667	0	0	0.1667	0.1667	0.8333
Rubrivivax	0	1	0.5	0.9333	0.3333	0.1667	0.5
