feature_id	Taxon	Confidence
f67f9c824086b0e3444660b3bcd4aa50	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__Gemmata; s__	1.0
da30e481a09113dd110337f85624af48	k__Bacteria; p__Proteobacteria	0.6
4314d575c20a78efd41d2b8d42a8ed01	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__MIZ46; f__; g__; s__	1.0
c0aabe2a22b2a291f3d5f5e90b02225c	k__Bacteria; p__Planctomycetes; c__Phycisphaerae; o__Phycisphaerales; f__; g__; s__	1.0
99fb9587439f6ed73e6a4a5bc4a200a8	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__	0.6
fcd2a7c1b15d3512aecc9716a97d575c	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__; s__	1.0
7c746066c1ab6395cfedcf477627c733	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Rhodocyclales; f__Rhodocyclaceae; g__Zoogloea; s__	1.0
970927ad337478a37ee0af6770fde1ae	Unassigned	0.0
c45bc97900486933e8e2b21d2da6e9e6	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae; g__Parvibaculum; s__	1.0
70f365c3d12f8f61bdae826448bd5ab0	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__	1.0
db9c6d7049ddc02cea58c0dbfa714421	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	1.0
f6d98c1052b357c072bb20a27398f482	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__; g__; s__	1.0
3a57c1811264591b06a26b8faa043be9	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__Rickettsiaceae; g__; s__	0.8
c2bd55b0036230036ec20f50694a306a	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__Legionella; s__	0.8
91e8d58fff1d9cb6c46cd18fb09116b6	k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__	1.0
174d6c3f8942c777e81092be3cfe427e	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Odoribacter; s__	1.0
90fd50c2660bc0a9e4815cd823f617e2	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Janthinobacterium; s__	1.0
e978026eab1239b1557807440f21ce6d	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__RFN20; s__	0.9
14bdd48968974c68686c123cf1df7ece	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__; g__; s__	0.9
fd0afb64e337b471241e2f33b29cfe11	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Myxococcales; f__; g__; s__	1.0
1934fd4f5b17c04ca15259e367375a2c	k__Bacteria	1.0
806b55e8f0060a662a80079595d949a7	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__	1.0
d8104f144821496657b62559ad47c01b	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Methylibium; s__	0.6
8243204dd1f8cd083b393a6dde5e2a75	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__	1.0
467d1c192549116cf8c1afa729874ab4	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__	1.0
bda44ee37a69df5105dd5f471c88167c	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Dialister; s__	1.0
5151412c8c60e54af8dc2cdf4c1e4f1f	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__	1.0
d5f9628f9d51cd6ec2d9cdc9d7285040	k__Bacteria; p__Gemmatimonadetes; c__Gemmatimonadetes; o__N1423WL; f__; g__; s__	1.0
9870598aea0674847cd98389df8bba68	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Stramenopiles; f__; g__; s__	1.0
3cb8c1951f5194250fb25f0413426088	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__; s__	0.6
f266824598bf134dfea8b15687a4994a	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__; g__; s__	1.0
1d9775b8d6dd7fe07a93e80bff319903	k__Bacteria	1.0
51b19ffe124d1379d043cf086a7ef734	k__Bacteria; p__Chlamydiae; c__Chlamydiia; o__Chlamydiales; f__Parachlamydiaceae	1.0
feae8a3bdab20d818adadaf9036b430e	k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__; s__	1.0
9244af415d154b888973da982bb69d7d	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Hyphomonadaceae; g__; s__	0.9
12be01e333f744f88e2fd3649f8f273e	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Ellin6067; f__; g__; s__	1.0
aa64573a3709521293b67466052e8060	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Chlorophyta; f__; g__; s__	1.0
d86944294706146b167347acb7df0711	k__Bacteria; p__Chloroflexi; c__Anaerolineae; o__WCHB1-50; f__; g__; s__	1.0
8cd999bb377b7db4e570a758b67f18eb	k__Bacteria; p__Cyanobacteria; c__4C0d-2; o__SM2F09; f__; g__; s__	0.9
adafb6079da3accdba3d3bffd9433782	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae	1.0
77814415f524fe6ae15cec70ab6a241c	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria	0.7
bff3bef10d246d022f78fbd2d824f825	k__Bacteria; p__Planctomycetes; c__vadinHA49; o__DH61; f__; g__; s__	1.0
2ad1d5bfd00501875829ee30303a3308	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__; s__	1.0
03c37eede943c7acbb4501f96482d3fc	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__	0.7
3e511b7210beb007a366cc56bdc3ce36	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__	0.7
0bad1ce9bba7abfe72770f8dca4dc3b6	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Planctomycetales; f__Planctomycetaceae; g__Planctomyces; s__	1.0
dae901b1091e490cb00723c2a8c278ea	Unassigned	0.0
1ecaf6c5d8f33738dc71d1a2a2db9659	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Rhodanobacter; s__	0.6
c96549bdd441e91ee197dcdeea723178	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Hyphomicrobiaceae	0.7
04f89f8fcdd7378be1988a02105d5346	k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__	1.0
f6f7553061573cf85ed8fc7da6455ffd	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Sinobacteraceae; g__; s__	0.9
78989bf718243fbeb48f48e7fadd880e	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales; f__Legionellaceae; g__; s__	0.6
ec47bda03541658428daf891034e62b1	k__Bacteria; p__Verrucomicrobia; c__[Pedosphaerae]; o__[Pedosphaerales]; f__auto67_4W; g__; s__	0.9
575542b7d7e074f9b88560bdf0d27021	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__; s__	1.0
a0c512a0b89719cb8190be1a3347cc6f	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Novosphingobium; s__	0.6
507958d90156acb7f165d644b39a996a	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__; s__	0.8
19bb9f2fe1d901453c6163c0ebeaf5a0	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Microbacteriaceae	1.0
1bfcd9880bf0efa032cb5d4d42a50c45	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae	0.8
6544091f35a0813107832f1e798d53a6	Unassigned	0.0
56b9b9253a021fdf47c49df3a4b7adfa	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__	1.0
8a9ea077a65919c205ade247a093c79b	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Rhodospirillaceae; g__Azospirillum; s__brasilense	0.7
5221924f76f74442969c188398260b74	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Bradyrhizobiaceae; g__Bosea; s__genosp.	0.7
ad7467fb1f9afc1b696a76674d10bd52	k__Bacteria; p__Proteobacteria	0.6
147cfe3bd515f46789f82d8b2b33049c	k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__; s__	1.0
0df10f3f58edd34f46b50406e41070da	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__Terriglobus; s__	1.0
8216a2f5b302a568d58550b5d59c10f9	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Streptophyta; f__; g__; s__	1.0
66e544fab60a750a46a530db749f440a	k__Bacteria; p__SAR406; c__AB16; o__noFP_H7; f__; g__; s__	1.0
02385660300280e14444b3f01b47766c	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Isosphaeraceae; g__; s__	0.9
9b6187a4d10d6e3cb803043b376d76b4	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__	1.0
e99d005cddb81ad577bd7bdcb262c9ab	k__Bacteria; p__Cyanobacteria; c__Chloroplast; o__Chlorophyta; f__Chlamydomonadaceae	0.6
81e1e2392a43f17354c61a722582b3fd	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Legionellales	0.6
ebe37cc51a5785a302d8205f59af57d6	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__; s__	0.6
e9e8799eb13fedb5bf152c4a810af184	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Dokdonella; s__	1.0
fc4f91e274059e32aad8578a235a5018	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__	1.0
58e6c05406bc58db1b9f2f111f928976	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Frankiaceae; g__; s__	1.0
59a94a3029d004aa90d38adb2db3959c	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Phyllobacteriaceae; g__Mesorhizobium; s__	0.7
e37d525dc38d276929632fd5ab74d976	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Xanthobacter	0.6
47aa1d386ca84e24a5db21ecec7b8704	Unassigned	0.0
5b8fb046969db2d430813e1f019f8dac	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__; g__; s__	0.7
2b5859c1124eb26060c8842d3d85a8a7	k__Bacteria; p__Planctomycetes; c__Planctomycetia; o__Gemmatales; f__Gemmataceae; g__Gemmata; s__	1.0
16d3ec8f0fe7da102ae5209ccfb7f611	k__Bacteria; p__OD1; c__ZB2; o__; f__; g__; s__	1.0
676d65b5c9fd96a4f54ee99b6596ca69	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__johnsonii	0.7
44fa58506663b08657cd0f66ad19f1af	k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__; s__	0.7
e554916ecc6ac19f36fa6b4d35a16865	Unassigned	0.0
03e32790a1ac239e5667ddd6026b561b	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis	1.0
0a3d861a59fff015a73ef83e3a90cb9b	k__Bacteria	1.0
69ec09d2406966e765a657bf9845e91e	k__Bacteria; p__Proteobacteria	1.0
1aeebe34da0853ca45cac61cdc002416	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Xanthobacter	0.6
b1a342a54a6de98446286542b3890384	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae	0.9
e4188c9bebbf346c8a54684e2a843dfe	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__; s__	0.8
afeed30b4d2b2310c59fc2cfc43a5c7f	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rickettsiales; f__; g__; s__	1.0
53bf4cc8e5ea697e5af16584a975337d	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodospirillales; f__Acetobacteraceae; g__; s__	1.0
6aa75576b04c47df791c7e649a7acdce	Unassigned	0.0
926fc244c46e291ba079c43e021e00d9	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__	0.6
55b79e57d3ea13190caa6968015c43e8	k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__; g__; s__	0.8
c71024809e0f9c16b7d774cabcdf8246	k__Bacteria; p__Acidobacteria; c__Acidobacteriia; o__Acidobacteriales; f__Acidobacteriaceae; g__; s__	1.0
