sample_id	tissue	bacteria	type	treatment	time	plate	library	notes
T5_432_DAM370_1_W_A_C_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	5	ducitaplate1		filter; wastewater + Duckweed 432-9509 + DAM370-1; 05 days; 3 replicates pooled
T5_432_DAM370_1_W_D_F_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	5	ducitaplate1		filter; wastewater + Duckweed 432-9509 + DAM370-1; 05 days; 3 replicates pooled
T5_432_DAM370_1_W_G_I_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	5	ducitaplate1		filter; wastewater + Duckweed 432-9509 + DAM370-1; 05 days; 3 replicates pooled
T5_432_DAM370_1_W_J_L_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	5	ducitaplate1		filter; wastewater + Duckweed 432-9509 + DAM370-1; 05 days; 3 replicates pooled
T10_432_DAM370_1_W_A_C_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	10	ducitaplate1		filter; wastewater + Duckweed 432-9509 + DAM370-1; 10 days; 3 replicates pooled
T10_432_DAM370_1_W_D_F_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	10	ducitaplate1		filter; wastewater + Duckweed 432-9509 + DAM370-1; 10 days; 3 replicates pooled
T10_432_DAM370_1_W_G_I_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	10	ducitaplate1		filter; wastewater + Duckweed 432-9509 + DAM370-1; 10 days; 3 replicates pooled
T10_432_DAM370_1_W_J_L_2	S_polyrhiza432_9509	MicrobacteriumRU1A	ambient_water	none	10	ducitaplate1		filter; wastewater + Duckweed 432-9509 + DAM370-1; 10 days; 3 replicates pooled
5A_C_432_9509_DAM_2	S_polyrhiza432_9509	none	ambient_water	none	5	ducitaplate1		filter; wastewater + Duckweed 432-9509; 05 days; 3 replicates pooled
T5_432_DAM_W_D_F_2	S_polyrhiza432_9509	none	ambient_water	none	5	ducitaplate1		filter; wastewater + Duckweed 432-9509; 05 days; 3 replicates pooled
T5_432_DAM_W_G_I_2	S_polyrhiza432_9509	none	ambient_water	none	5	ducitaplate1		filter; wastewater + Duckweed 432-9509; 05 days; 3 replicates pooled
T5_432_DAM_W_J_L_2	S_polyrhiza432_9509	none	ambient_water	none	5	ducitaplate1		filter; wastewater + Duckweed 432-9509; 05 days; 3 replicates pooled
T10_432_DAM_W_A_C_2	S_polyrhiza432_9509	none	ambient_water	none	10	ducitaplate1		filter; wastewater + Duckweed 432-9509; 10 days; 3 replicates pooled
T10_432_DAM_W_D_F_2	S_polyrhiza432_9509	none	ambient_water	none	10	ducitaplate1		filter; wastewater + Duckweed 432-9509; 10 days; 3 replicates pooled
T10_432_DAM_W_G_I_2	S_polyrhiza432_9509	none	ambient_water	none	10	ducitaplate1		filter; wastewater + Duckweed 432-9509; 10 days; 3 replicates pooled
T10_432_DAM_W_J_L_2	S_polyrhiza432_9509	none	ambient_water	none	10	ducitaplate1		filter; wastewater + Duckweed 432-9509; 10 days; 3 replicates pooled
T0_W_D_E_2	wastewater	none	wastewater	none	0	ducitaplate1		filter; wastewater only; 00 days; 2 replicates pooled
T0_W_A_C_2	wastewater	none	wastewater	none	0	ducitaplate1		filter; wastewater only; 00 days; 3 replicates pooled
T5_W_D_E_2	wastewater	none	wastewater	none	5	ducitaplate1		filter; wastewater only; 05 days; 2 replicates pooled
T5_W_A_C_2	wastewater	none	wastewater	none	5	ducitaplate1		filter; wastewater only; 05 days; 3 replicates pooled
T10_W_D_E_2	wastewater	none	wastewater	none	10	ducitaplate1		filter; wastewater only; 10 days; 2 replicates pooled
T10_W_A_C_2	wastewater	none	wastewater	none	10	ducitaplate1		filter; wastewater only; 10 days; 3 replicates pooled
T0_432_B_3_2	S_polyrhiza432_9509	none	treated_tissue	none	0	ducitaplate1		tissue; Duckweed 432-9509; 0 days
T5_432_DAM370_1_B_H_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	5	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 05 days
T5_432_DAM370_1_B_I_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	5	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 05 days
T5_432_DAM370_1_B_J_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	5	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 05 days
T5_432_DAM370_1_B_K_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	5	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 05 days
T5_432_DAM370_1_B_K_2a	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	5	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 05 days
T5_432_DAM370_1_B_L_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	5	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 05 days
T10_432_DAM370_1_B_A_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days
T10_432_DAM370_1_B_B_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days
T10_432_DAM370_1_B_C_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days
T10_432_DAM370_1_B_D_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days
T10_432_DAM370_1_B_E_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days
T10_432_DAM370_1_B_F_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days
T10_432_DAM370_1_B_G_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days
T10_432_DAM370_1_B_H_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days
T10_432_DAM370_1_B_I_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days
T10_432_DAM370_1_B_J_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days
T10_432_DAM370_1_B_K_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days
T10_432_DAM370_1_B_L_2	S_polyrhiza432_9509	MicrobacteriumRU1A	treated_tissue	SD_treated	10	ducitaplate1		tissue; wastewater + Duckweed 432-9509 + DAM370-1; 10 days
